"commit id","commit date","commit message"
"30b0e22a4141a7c27eab9590bc500c10be3988f1","2013-07-12 23:03:30+02:00","updated
"
"2cd4ae9d74dacfac5993e60df9c8edbc3c45d68a","2013-07-12 23:03:56+02:00","vietnamese currency icon
"
"459cb4803e2207a7ed8bb41730ec53bc5fb24bba","2013-07-12 23:38:40+02:00","started translation of help to es and it
"
"66a5ac1842be45e77fef2d036faa64a10e9cd672","2013-07-13 10:46:15+02:00","we only show contrib button if we are not yet contrib enabled
"
"0dd8a0d9865f3ec374d630b288b3c000aff1a05f","2013-07-13 10:46:59+02:00","refactored strings to make translation easier
"
"73c2b19b3411c746c757c994f3464b44e62c7bc8","2013-07-13 11:58:00+02:00","translation of help to es and it II
"
"7fd4cf6787cfcc1eadd5a89f41a7bd627d427c75","2013-07-13 15:18:01+02:00","translation es,it completed
"
"86d64b6bac3aa30e67084bb94b78085f3e257cb1","2013-07-13 16:13:18+02:00","corrections
"
"ab3887c60db4e180a35f9963b6d1855628dde27a","2013-07-14 08:43:26+02:00","precisions
"
"d8fd5990c5a04ca3c141c5c8e9384d1e498b7454","2013-07-14 09:17:00+02:00","added links
"
"4e96dbcef9a2f0740090d49d57e8a0c9da51f64d","2013-07-16 19:41:40+02:00","user reported crash in updateBalance, when saving transaction: maybe in some occassions, observer is called before onCreateView, protect by checking existance of balanceTv
"
"e6dcc1839f4ce6dda4f2d4d6c474a04e5d9392e9","2013-07-18 09:39:21+02:00","update
"
"6733e27141d7d06c78ae5d1b5b389260ad895255","2013-07-18 09:58:36+02:00","save when ENTER key pressed
"
"a5a4649af6ac8d0884af5ca96d069116c0ce5253","2013-07-18 16:54:48+02:00","removed reference to manual
"
"c20ab44ac3a4459b02729b4a77ac05e7e73448c1","2013-07-18 18:00:17+02:00","use nickname
"
"02aaf0d5e5b2847802b9abd516ab52364f15b941","2013-07-18 18:01:32+02:00","typo
"
"7e2cbe589d586629ada18fcdf2d190c19b40eaad","2013-07-18 23:31:53+02:00","first step at split transaction mockup
"
"b23c90d60d0781693f1c27ca0d4c2f9f02d426d7","2013-07-19 17:47:32+02:00","split transactions step 2
"
"a0908fd91a9a68d47d971ac6e0c1fa95ac701947","2013-07-19 18:06:16+02:00","saving splits
"
"c23716ecbb4874213a81f0b64ba4d1b208e76c50","2013-07-20 00:33:19+02:00","make transfersplit menu item dependent, calculate and display unsplit amount
"
"f37a00fc878c2a64853b8aac458aec95d07572d8","2013-07-20 08:42:33+02:00","watch for changes of amount and update unsplit amount
"
"33835011808efba281885b6d9f3f6f743f7d6e61","2013-07-20 22:38:26+02:00","only add textwatcher when we are editing a splittransaction
"
"72d2ed9d646ab158caa522b9dea5bc1665bbcd97","2013-07-20 22:39:09+02:00","only add split_container when we are in a splittransaction
"
"c938b506089c560d0a6bd5ab791d21ff9d6f13d9","2013-07-20 22:51:28+02:00","from extras we get 0L instead of null, if no value is found; check first for Transfer, since transfers are also transactions
"
"1a31b2e5cda10ece3776f483e28ffce9cdff4cae","2013-07-22 00:05:32+02:00","finetune editing and saving of splits
"
"f8bcde8eded6af402700fef5067be46ed62d4527","2013-07-22 10:28:31+02:00","finish handling of editing splits
"
"4a14fe7b24a042bb6e38c557a720154424724ca8","2013-07-22 14:32:24+02:00","delete split parts together with parent
"
"a451f61957dd1aefa0c54be0cda020825732c721","2013-07-22 14:34:03+02:00","split context menu delete command
"
"0b3dfe3271b76665019c4a758db5e42f1ce91ac9","2013-07-22 14:44:03+02:00","only display commited transactions
"
"715f306b1d1dee182a80d5c41a6f56518667df3f","2013-07-22 15:33:32+02:00","separate commited from uncommited through db views
"
"fb7acf8244cda970d7a7c02abe705802f21dbff2","2013-07-22 15:44:17+02:00","special label for split transactions
"
"651e1a790f6a70aa83bb40ad43534588b9d215ba","2013-07-22 23:04:09+02:00","correct typo accross comments and object names; implement cleanup of uncommitted rows
"
"3f1784dedb21ad6a3037a56f2fe1c863035bab62","2013-07-23 01:17:43+02:00","splitparttransfer needs same treatment
"
"259faa742911ba66b2aacb624f3299c43358a51d","2013-07-23 01:20:14+02:00","fixed saving of split parts transfers: need to store status, and do not put transfer_peer under same parent
"
"483b9f48430a6ead7928bf37f2613f8bc4b79e89","2013-07-23 01:21:41+02:00","fixed cloning of split part transfers, we need to correctly clone the transfer peer as well
"
"dc72013e01533699fd2eb66f52177d53a509c722","2013-07-23 01:58:25+02:00","move context menu to fragment, and prevent splitparttransfers from being edited in the context of the peer account
"
"8f74575fb3d4dc7fafbbbd8f3679a68c31875efd","2013-07-23 13:27:23+02:00","split transaction as contrib feature
"
"6361e62a81ea2e8c8e6376899d44a2cf121196e5","2013-07-23 14:05:15+02:00","db upgrade
"
"3eb3e8de1091e3e45a63f155540db134dae6766e","2013-07-23 15:07:39+02:00","when start with amount=0;keep type as expense
"
"ffee0e809ca16382b6c94d327b9fead5440b8547","2013-07-23 15:12:44+02:00","update balance when toggling amount signum
"
"b980f7d2f5a0f7bc05b4ceb2d48d7a95b2b0b81a","2013-07-25 23:07:40+02:00","first trial at exporting split
"
"7c10f416d2918698d4f7b816cdf9e757421aebb3","2013-07-27 04:03:31+02:00","bug fix: password dialog was not stored in activity, and hence could not be dismissed
"
"8f68633507361e1b0b59eabf2fa0a7f7b3599671","2013-07-27 04:10:50+02:00","split parts need not be marked as exported
"
"3392b052d71283fbaa7240f19b5e8df35003fbda","2013-07-27 05:07:30+02:00","applying theme to password dialog when shown in transparent activities
"
"b26d8c6f19e55f1e2ea4a1d11a61fa689840426c","2013-07-27 05:08:22+02:00","on android 2, view.invisible has no effect with sherlock, view.gone works
"
"55d0bc303b542283d6b14babc5f08177d9520749","2013-07-29 16:22:50+02:00","create split icon
"
"a92f2aa73ae792fca718bdd9f80c8bb9966e2231","2013-07-30 12:19:25+02:00","corrections
"
"fbc5bb8f30389322d8c2b1456db30daead494240","2013-07-30 16:37:09+02:00","Corrections
I have not verify if the \' is always present.
"
"4c11393bdcc599b90a1f794ff46251a146a1fab7","2013-07-30 16:48:12+02:00","Corrections 2
"
"49365b4862615f8139fd1c99c502393d2a2f66db","2013-07-30 17:42:35+02:00","refactored wrapping of dialogs
"
"d73a54b06f48431e844165b7ac2bd141de5bbf17","2013-07-30 18:05:26+02:00","removed unneeded style for buttons; set texcolor for about_text in API 10 and lower
"
"4fb9f5e8e7d99da6e2aa0b4609fc8c070c82bc40","2013-07-30 19:34:41+02:00","only clone if necessary
"
"dfb31dfc85d6d29ab3444b7e2aa9b9f55bdbaaaa","2013-07-30 21:10:09+02:00","restore rowId of new split transactions upon orientation change
"
"7b4d39c5e6ef8802555aad17b1cf767365f1836a","2013-07-31 08:33:52+02:00","share screen evenly between form and split part list
"
