"commit id","commit date","commit message"
"5a9e9e388824bdd16f952ab166676d8cae23658b","2012-04-21 18:00:17+02:00","Inital commit
"
"53ce2141bef0ca101cadbfadb08036d1e28347aa","2012-04-21 19:27:01+02:00","Get API json and parse it
"
"3e53993bfc6509980aa0bbd468846793eb57ff0d","2012-04-21 19:50:06+02:00","Display image + status line
"
"b15a2c3694db84ae09d795529a80989e75dd8fd4","2012-04-21 20:20:34+02:00","Alignement and text size
"
"c21a859944700a05ad4f91541545f85f2d69ce78","2012-04-21 22:30:20+02:00","Use channel to grab file (incomplete)
"
"32db7bea04907cea205a09b36fe2eb3e56345219","2012-04-22 00:03:40+02:00","DownloadFile from NetworkDiscovery app
"
"cf5e65dd7d87afb523780208c4cf621ea0bfafea","2012-04-22 00:05:31+02:00","Ignore eclipse project file
"
"8d433861b121feca3173f2755f02a75aab0b3b48","2012-04-22 00:09:59+02:00","Make download file compile...
"
"df4b867b352cb2c0bb87f9fcd05349837d8a4530","2012-04-22 02:59:36+02:00","Remove SSL double verification and assume all SSL cert are valid loool
"
"ef3d923ce6a741e0c7c8c63556d05067266d31c9","2012-04-22 19:10:05+02:00","Use channel copy for image instead of a webview
"
"0758cc47f327a5c1ec404a7ce7bcb6ce826ec8e0","2012-04-22 21:18:51+02:00","Basic widget (does not work yet)...
"
"8fa5c5087529cdf4f1f55c1119e5478b57c79e85","2012-04-22 22:31:26+02:00","...auto indent
"
"965c14c578c42b4aa329b718550d6884cb0c9fe7","2012-04-22 23:02:33+02:00","Widget configure class, target version 10, compile on version 15
"
"12890e0779eae069abf63be2723e304ed2fa56d8","2012-04-27 19:48:43+02:00","WidgetConfigure uses the main Activit
"
"b0e5359d9da1309440844e17c963d0704d3b00fd","2012-04-28 00:22:57+02:00","Display list of hackerspaces in Main
"
"b21bb4b491c0b8c383be18d6b3f03ed0a967693a","2012-04-28 14:55:22+02:00","Save choosen hackerspace
"
"0247eb6e78c4e67e13926ffb7676837f71a2176a","2012-04-28 15:50:13+02:00","Fix hs list
"
"6ec9aca9ee3d538b6587d2125e8cbcd2f8b9b4f2","2012-04-28 15:56:03+02:00","80 column formatting...
"
"d025d19014190ad357d3105d1965d348f819fa58","2012-04-28 16:03:13+02:00","Use list for url, set spinner position with current api url
"
"89dae8b477000bf1662d2f44de6e491b5833617a","2012-04-28 16:10:15+02:00","Update hs api when selecting
"
"5029ff2551ab400af7e9c6af12ed1345187d76dc","2012-04-28 16:18:13+02:00","Better layout
"
