"commit id","commit date","commit message"
"9968185ab02ada6c28d77d09f130620a17c6d602","2016-01-28 18:21:57+01:00","Native cache method and field IDs
"
"b0319263f853a45bbeb2587b6981f5cde20fd7c7","2016-01-28 18:39:13+01:00","Native improved profiling
"
"aac945cb17799fa0388959e275497460f82c1f54","2016-01-28 22:31:21+01:00","Enable/disable traffic logging using a switch in the action bar
"
"da825d3c73735551068007c6698c35d8a7a7daf8","2016-01-28 23:07:51+01:00","Fixed switching filtering on/off
"
"c159141b4526dcd7ee67a4a96b890f457487f809","2016-01-28 23:19:31+01:00","Fixed hang on import
"
"d99bd709a00369ae582cb79fd10d0f2e6512abc3","2016-01-29 07:59:35+01:00","Native DNS compression, fixed warnings
"
"245afe91ea99e17c9684708735604c90f8acf481","2016-01-29 18:42:54+01:00","Updated permissions section
"
"fc936bc5463f9010640ff8ffead062cad649e689","2016-01-29 19:01:04+01:00","Workaround text/xml not handled correctly on some devices

http://forum.xda-developers.com/showpost.php?p=65045187&postcount=1074
"
"291c309a70c8c3a055e4516c63aac48fe27f4451","2016-01-29 19:10:23+01:00","Native parse DNS response
"
"1d2a6baaa1fd9d7e3e30027de1d922df5e00be27","2016-01-29 20:30:52+01:00","Native get name by IP PoC
"
"55042bedd3da6b083e5972b46738ad8522255070","2016-01-30 09:51:41+01:00","Send resource records to Java
"
"b2e7c69af7225d4c526dac55c3114be903a4977d","2016-01-30 10:59:19+01:00","DNS resolving
"
"3ae9474280958e6ba24af291aa678df4a32afcdc","2016-01-30 11:04:08+01:00","Crowdin sync
"
"08bbc907c93772f8f4bdf2a9d7af1df474657aa0","2016-01-30 12:46:00+01:00","Real time access updates
"
"79a51a9bc3cbedf62e8b57bb366a549450b18693","2016-01-30 12:58:15+01:00","Better method to determine if app is system app

Closes #212
"
"ee8acf11e779fa2ed299dfe45e186736eb9344fb","2016-01-30 13:03:29+01:00","Native reduce logging
"
"c7bd5292a8eda0eb1dafc122e3ab0d62d44d8bc5","2016-01-30 13:03:37+01:00","Log packets with unknown uid
"
"46fd086337a8765f72c9a7178e4d38571e5f7719","2016-01-30 14:26:30+01:00","Block/allow hosts UI
"
"07c74cf51fb2b470b5c8aee10feb9805a93ec1be","2016-01-30 16:54:18+01:00","Crowdin sync
"
"be61bbb782b300d34eb76bd27c9fc73ee8f385be","2016-01-30 17:01:53+01:00","Check if hosts file exists
"
"bfbaae804bcb9215027b38758609f9b444d7b07a","2016-01-30 17:08:30+01:00","0.80 beta
"
