"commit id","commit date","commit message"
"828643705563399d9209f6dacb790a52579456d5","2016-03-25 19:07:20+01:00","Translated using Weblate (Simplified Chinese)

Currently translated at 100.0% (108 of 108 strings)
"
"18301d8f8be10a3b30523c26bb594164d4727275","2016-03-25 19:34:47+01:00","Merge remote-tracking branch 'origin/master'
"
"2a7f729e7318f259054f3b3a58d496387b2f6ae5","2016-03-25 19:37:48+01:00","fixed unit test
"
"0cd56ddeb8ff3277f8dc8b0a002c60df8c03fb34","2016-03-25 19:37:59+01:00","Merge branch 'master' of github.com:theScrabi/NewPipe
"
"a3326dc5984e0ba66aa737f9bc861d0bab0ee85b","2016-03-25 20:02:42+01:00","another try to fixe shitty viewcount test
"
"44d2775437403dc824a46174e2275cd22c0f4f81","2016-03-25 20:03:05+01:00","Merge branch 'master' of github.com:theScrabi/NewPipe
"
"db6613f5623e13b0c191959a0075c00b6b8a104e","2016-03-25 20:19:43+01:00","yet another try to fix that test -.-
"
"8452f52da0e713f657453a18f0477802890fbc05","2016-03-27 03:40:38+02:00","Translated using Weblate (Korean)

Currently translated at 100.0% (108 of 108 strings)
"
"dbb4df598c5faaeac96751f425597b61bcb2eed7","2016-03-27 03:45:53+02:00","Translated using Weblate (Japanese)

Currently translated at 100.0% (108 of 108 strings)
"
"59f33a8def40d07f9416914ca07659ad5a6a1924","2016-03-27 16:19:49+02:00","Translated using Weblate (German)

Currently translated at 100.0% (108 of 108 strings)
"
"aa5c510c997902f7dd50b7e12ba0b2d165435010","2016-03-27 18:57:00+02:00","Translated using Weblate (Slovenian)

Currently translated at 100.0% (108 of 108 strings)
"
"f14f8c35b855a38bb280908c11ca428c8331060b","2016-03-28 18:06:11+02:00","Translated using Weblate (Slovak)

Currently translated at 100.0% (108 of 108 strings)
"
"a35590f9eae5b1b9f75422ec1bc81f6efe76712f","2016-03-27 03:24:49+02:00","Translated using Weblate (English)

Currently translated at 100.0% (108 of 108 strings)
"
"98afe79eaad5c7acc77a2d8495af066a091b7650","2016-04-06 19:40:11+08:00","strings.xml: Remove unnecessary punctuations

Periods, colons and other unnecessary punctuations should not be used in labels.
See https://www.google.com/design/spec/style/writing.html#writing-capitalization-punctuation
"
"2a6e7f300cd448612e2d753769c5fc0c91fe3769","2016-04-06 19:44:26+08:00","search_language_title: Change 'Preferable' to 'Preferred'

Why? See http://english.stackexchange.com/questions/128996/how-would-one-know-when-to-choose-preferred-or-preferable
"
"8060c6a775120d7a3ada78adbd20f4f9db379407","2016-04-06 20:06:00+08:00","strings.xml: Fix grammar

'Download path video' -> 'Video download path'
'Download path audio' -> 'Audio download path'
"
"a5fc6db1fae57da7494e12290fccdacc6240fdf7","2016-04-06 20:08:29+08:00","default_resolution_title: Fix capitalization

'Default Resolution' -> 'Default resolution'

See https://www.google.com/design/spec/style/writing.html#writing-capitalization-punctuation
"
"3071ebc0d518fb2a4f845f7e908346215ff68fb3","2016-04-06 19:15:18+02:00","Translated using Weblate (Italian)

Currently translated at 100.0% (108 of 108 strings)
"
"e2fac962f341b136b611de7f5e99e51bcdc1704d","2016-04-06 23:12:47+02:00","Merge pull request #261 from zhaofengli/ui-strings-ocd-cure

Let's tweak the UI strings a bit
"
"382bf5e9361459bb40a9dadf5c50242f56e50e23","2016-04-06 11:34:52+02:00","Translated using Weblate (Simplified Chinese)

Currently translated at 100.0% (108 of 108 strings)
"
"9c3f7a91399593c163a4718b597f8fa1d982b150","2016-04-06 23:12:51+02:00","Merge remote-tracking branch 'origin/master'
"
"c189933705b7872122bcb0bb96ba38a512985ae9","2016-04-06 23:14:35+02:00","Translated using Weblate (Simplified Chinese)

Currently translated at 100.0% (108 of 108 strings)
"
"4862fecb123f4a110370cf3c7e2aec43d22197a3","2016-04-07 15:10:45+02:00","Translated using Weblate (French)

Currently translated at 69.4% (75 of 108 strings)
"
"7077ebfde2c47bb3acb10235a0969a0d91239b93","2016-04-07 15:11:02+02:00","Translated using Weblate (French)

Currently translated at 70.3% (76 of 108 strings)
"
"cd622c9e06af5e6af91c50b223f44d2e6c779490","2016-04-07 15:11:45+02:00","Translated using Weblate (French)

Currently translated at 70.3% (76 of 108 strings)
"
"f4eee834770d6d8ebcf35ec567c1f1868297656d","2016-04-07 15:11:55+02:00","Translated using Weblate (French)

Currently translated at 71.2% (77 of 108 strings)
"
"2b51448b494d587878c084b75993603d9357a872","2016-04-07 15:12:07+02:00","Translated using Weblate (French)

Currently translated at 71.2% (77 of 108 strings)
"
"084fec08a6e6e0d14df010303801ac89ad22129d","2016-04-07 15:13:18+02:00","Translated using Weblate (French)

Currently translated at 72.2% (78 of 108 strings)
"
"1ddd0a333cdab22c44c47a79df37bc6bf8a8b67d","2016-04-07 15:14:27+02:00","Translated using Weblate (French)

Currently translated at 72.2% (78 of 108 strings)
"
"bd7fb9bbe4d0cec962f9dc681b52d9715eebb84c","2016-04-07 15:14:43+02:00","Translated using Weblate (French)

Currently translated at 73.1% (79 of 108 strings)
"
"a5383fadb107665e70a28be32eb302eabb33adf4","2016-04-07 15:15:17+02:00","Translated using Weblate (French)

Currently translated at 74.0% (80 of 108 strings)
"
"82b9e79d99f6702390a0b162b6d9c7779930e14a","2016-04-07 15:17:18+02:00","Translated using Weblate (French)

Currently translated at 79.6% (86 of 108 strings)
"
"b41e88f8f311a8bc211470c6b35d59ecbb162c38","2016-04-07 15:17:38+02:00","Translated using Weblate (French)

Currently translated at 79.6% (86 of 108 strings)
"
"0ea7b5526c74a4b3b4dd9997e3f79c098b5f3aca","2016-04-07 15:18:00+02:00","Translated using Weblate (French)

Currently translated at 80.5% (87 of 108 strings)
"
"1ce6a6e8c5533f43ab3e617517b4420a860d3be8","2016-04-07 15:18:10+02:00","Translated using Weblate (French)

Currently translated at 80.5% (87 of 108 strings)
"
"f245eedbdf0018c5687d23974e7a924d0db28d53","2016-04-07 15:18:48+02:00","Translated using Weblate (French)

Currently translated at 82.4% (89 of 108 strings)
"
"ad5a813a9a0de9b88094f6f724d940fde69eccdf","2016-04-07 15:38:19+02:00","Translated using Weblate (Japanese)

Currently translated at 100.0% (108 of 108 strings)
"
"23fd28afd56864337ffb40147ca50ff9a7dff8ae","2016-04-07 16:38:18+02:00","Translated using Weblate (French)

Currently translated at 86.1% (93 of 108 strings)
"
"0f1873e295fed842627be3c4ee0b0ab2c595bf31","2016-04-07 16:39:34+02:00","Translated using Weblate (French)

Currently translated at 87.9% (95 of 108 strings)
"
