"commit id","commit date","commit message"
"9a1a892ceca954a5565ea6d57449b807495658b2","2015-09-09 08:14:23+02:00","Limit the width of the neutral button in the login dialog. Fixes #393
"
"9948abba75b12f0552cb2e890ebf00b16502a29b","2015-09-11 01:41:40-04:00","[tx-robot] updated from transifex
"
"36cd2b53dff09fc5f8b8de664aff2507d692442e","2015-09-13 10:58:42-03:00","Merge pull request #404 from schaal/limit-dialog-button-width

Limit the width of the neutral button in the login dialog. Fixes #393
"
"cbb6bb0651710835e7597fb624bd8915921d9643","2015-09-17 22:42:34+02:00","Fix app crash
"
"c81928572b0e1f232690e8c94113f42271d40f91","2015-09-18 13:23:32+02:00","Remove youtube downloader
"
"d5c517c40e76ac22c8beded7a1e170212460b96b","2015-09-18 13:33:16+02:00","Update Build Tools and  add test libs
"
"be455634812797ec3afa772b7aa65c59b6ac5aa6","2015-09-18 13:37:48+02:00","fix hamcrest compile error
"
"34ae43833de24003fe77a0b54ebd7b9900b742a2","2015-09-18 23:44:44+02:00","Fix #407
"
"f3182a175d26d4c8beb1b3fe782dcaba1775fef6","2015-09-18 23:48:03+02:00","Add Ui-Tests
"
"feafc3612c88bd5ac6fa359d97cade5780a06886","2015-09-18 23:48:03+02:00","Add Ui-Tests
"
"1524be4581e577fd2d70c4b3d39f41cd1d23d3bb","2015-09-19 00:11:09+02:00","Merge
"
"760770139c3b04616397424789f2d17819d1d1bc","2015-09-19 00:13:51+02:00","Add unit tests again
"
"dd77d2b0e3fab44a03e3cd3976bb252fa89e9740","2015-09-19 05:32:12+02:00","fix inconsistency between ui and database
"
"bee5a86e5fab7e21a128a786c6952edee6300bd5","2015-09-19 15:58:33+02:00","Update chrome custom tabs
"
"5d9f2c9bc57c3c211844d810b2dbd06ee1d8bf40","2015-09-19 16:40:51+02:00","update greendao to v.2.0
"
"e95cf09e3172b2c2ed6329b8ce079fad15cdff02","2015-09-19 16:44:12+02:00","remove unused code
"
"ea711da6aeee5baada0d3bc99fcaece00c07a844","2015-09-19 16:48:12+02:00","optimize imports
"
"45aaa7fb2c5d91b0e7555a70e49f8e4abe8b1fdc","2015-09-19 17:00:33+02:00","Update to 0.9.7
"
