"commit id","commit date","commit message"
"fed586cd02dcbfe610cbe2d9535da6a286d336b9","2015-09-06 14:56:48+02:00","Initial commit
"
"a273d3d75e9d81e98dfa95016067390494ac23fe","2015-09-06 14:58:02+02:00","initial commit
"
"6da62577d8bf5ccb98832a217da0424e38f719e1","2015-09-06 15:01:39+02:00","Update README.md
"
"d83613f1a4f0bae8f54fbc98d803932a78f1ce34","2015-09-06 17:23:53+02:00","some test
"
"6024e1867be7fe4793a89f915f23ded879d19fd4","2015-09-06 17:24:14+02:00","some test
"
"0e3972f25c93f011722b3e8cd6835a6bb177cfd5","2015-09-06 17:24:55+02:00","Merge branch 'master' of https://github.com/KOBUGE-Games/Ninja-Training
"
"43407199cfcc6a055502a1101e4c19dac77406cf","2015-09-06 18:01:31+02:00","trying to add roate
"
"a88428aa90cd3d97cde738621b0f11662430cd4b","2015-09-06 18:11:18+02:00","fixed roate, added music
"
"379019cddfaa3dd8a6c83524c061dce290e17fc9","2015-09-06 18:43:44+02:00","added 5 jumping sounds
"
"cd1fef91dab01b3af1d0b32ab433f51d601b669b","2015-09-06 19:16:19+02:00","start screen and some other stuff
"
"8311d97bcc81a64f0ac92443c09f9e605226bf28","2015-09-06 19:28:30+02:00","added game over
"
"8cfba3563765918787c1d51c0611513dc6bc7228","2015-09-06 19:30:50+02:00","forgot background pos
"
"63f70bb12d9c59cc1504d6dbd13815e532fe7652","2015-09-06 20:10:48+02:00","did a workaround for collision
"
"167218dd3b58adad423d89c5dfe16e2ed2983265","2015-09-06 20:12:13+02:00","did a workaround for collision
"
"bb7a8dec9d2faeb9dc9d7d29f6d512acb5a497bf","2015-09-07 14:52:21+02:00","a fix, still 2 bugs
"
"804bc8a567732ec2d6b09eec8cdac987e350ab18","2015-09-08 13:15:27+02:00","RC1, mobile ready
"
"a3e8ce2fd169159e8f91c1c008a84de6d9f643d7","2015-09-08 13:43:16+02:00","RC1, highscores
"
"67d664a8b15dea0fb2b4fa64318f5c221cb700d7","2015-09-08 13:50:29+02:00","Update README.md
"
"a84aa87836fd66f96af895e4b6ec88ba858d2674","2015-09-08 13:50:50+02:00","Update README.md
"
