"commit id","commit date","commit message"
"89ea23cdf186e2c7bb39362ee56e6131253d0e8b","2011-09-06 19:47:59-07:00","Initial commit of Neandroid
"
"44347a2d7e6fc5943b61abe5f70106a7e8c3e6ba","2011-09-06 20:24:12-07:00","Added neapolitan rainbow piece
"
"4aaab2f359b95cd9ebf226454d51326426655df3","2011-10-04 00:16:23-07:00","Added live wallpaper, refined activity, added sound, added more graphics
to be used later.
"
"4429f5bc003b38dba98f0732257ee5c17d6b54a1","2011-10-04 00:18:25-07:00","Added a README.
"
"0f02b9980b8a7ed9bff52c872b2acf44fdec26d1","2011-10-27 20:00:28-07:00","Added settings for wallpaper
"
"bd222a4b614c2085a5e383aa759671345583b65d","2011-10-27 21:21:56-07:00","Made audio loop a bit better.
"
"6c4339c427bab99801374af074a29e667bf151b6","2011-10-27 22:56:37-07:00","Added settings to the App screen
"
"822bd567a135d79f53e0694900e7f248f35f4ea4","2011-10-29 02:23:08-07:00","Updated README :D
"
"25c0e3b1df8b31b1ba9e8d4b88ab1b09242eeaf7","2011-10-31 13:05:43-07:00","Added attributions to README
"
"dfd7c2d142dc764d5302b5b28c1a7d0f65b29834","2011-12-04 22:39:10-05:00","Added gitignore and some missing resources
"
"29ca407e70e871fc27d5df9c7641c6b269badcfa","2011-12-04 23:08:45-05:00","Added 'floppy' Nyandroid from ICS easter egg
"
"3aa21a133b28b218d46062130fe266a53c91ddc2","2011-12-04 23:57:06-05:00","Hack to make ICS easter egg droid size better
"
"7d6811fdad0913ca5a108b882402caa83f7720b2","2011-12-04 23:59:40-05:00","Added tardis EE graphic
"
"bd7f8a67fa3e3b02ecae32a08154a1acdec8d84a","2011-12-12 16:35:01-05:00","Added Daniel Sandler's floppy NyanDroid
"
"f3c40e8a0ba6cac9e5d954a3f31222d98a3e586a","2011-12-15 19:19:11-05:00","Added a hack for GTV
"
"1b6b1bda80ba1a43c8b7ce6a16beab2ee5713613","2011-12-15 22:16:43-05:00","Reverted GTV hack
"
"adaa152bb29c7389a880f8a97630b2342fb33617","2012-06-07 23:35:11-04:00","Added SeekBarPreference and allowed adjusting speed/size of
animation/image
"
"493ebf53ef4b3db09b181a182fe358a13546a18c","2012-12-31 10:29:20-05:00","Added Apache 2.0 license information
"
"a9a76ce94b6c4d8a2e5071a574add950758ca4f2","2012-12-31 22:43:30-05:00","Re-created 1.5.1 changes that I lost, oops
"
"046979e157f92b8be2925c5b344a7eca0bf28f24","2012-12-31 23:46:41-05:00","Made ActionBar transparent in NyanActivity
"
"474b1b44e71f73669afc12c8962ff7fadaaf2384","2013-01-01 00:27:04-05:00","Took NyanActivity out of manifest
"
"9af51bb22b67a9ec27fee997e29709502999f375","2013-01-01 11:23:09-05:00","Updated README, adjusted default values for preferences, added 'app' portion to manifest
"
"c7f7de02a036ff9f47dba0673ce287a0a9faae0e","2013-01-01 11:24:04-05:00","Removed files that I meant to be ignored
"
"8b200dd1a74ff93800a1f4831cb9662c401162d9","2013-04-16 21:15:04-04:00","Added grumpy cat and ability to change stars to the ICS easter egg
"
"5b615f5f14af4f92d387610c3fc106d95daa2de1","2013-04-16 21:23:03-04:00","Added ability to blank out sprites
"
"9ac39a2234bd8be0977605a9921f37b771e4a9a7","2013-04-16 21:33:48-04:00","Added some stupid magic numbers to 'fix' a bug because I'm lazy and terrible
"
"b4b4de9b85f8a103a45d11d4c4a61c85cb02302b","2013-04-17 18:19:10-04:00","Fixed a couple pixels that were transparent but shouldn't be. Realized grumpy cat isn't quite pixel art (slightly smoothed edges) but I'm too lazy to fix it. Please send a pull request kthxbai
"
"861f34c812a6e0d7126e058f314498535b70eac2","2013-04-19 17:10:13-04:00","Fixed a couple typos
"
