"commit id","commit date","commit message"
"203355d34b2e55e5f540244496300936c84d836e","2013-04-28 22:57:25-07:00","Initial commit
"
"5f9cfcd462a055764000005176ec95fe17b5a8e3","2013-04-29 14:54:24+08:00","Update README.md
"
"ff6615b7202a7b9f72e09e1efa918038b6eb94b5","2013-04-29 14:55:10+08:00","Update README.md
"
"3c4b102ea1b76697456c553364d732f88ad580a5","2013-05-05 23:27:16+08:00","update README.md and License
"
"bda746d44fdd6b9b5dc9518754c8d3a499a3342a","2013-05-06 04:39:40+08:00","update README
"
"8b075b0569d334afc573427ecf1fd3a9616b90df","2013-05-08 03:51:00+08:00","Update ReadMe
"
"5c1e1d1fadb5b3d4c116194138fbd0f44bcb83aa","2013-05-19 03:37:56+08:00","ready to commit
"
"d3bc2e1fa720ed5a1a19a317cd6ce8ffb0d7d323","2013-05-19 04:33:48+08:00","Fix FC and adjust AndroidManifest.xml
"
"05967fa2f7cd71239c2a78505b8245e89aa3bfe9","2013-05-19 05:09:54+08:00","Update README.md

fix donate button
"
"ab7801ceea6afc341c5029871b8d6b1fdcfaa133","2013-05-19 05:55:10+08:00","Update README.md

update wiki info
"
"72f1209986f32b5c8f01e32aab33ee0db0d8824f","2013-05-19 06:55:51+08:00","fix some issues on Samsung device
"
"e342e6453f02055ea15eca0386d535f27157156d","2013-05-19 23:31:53+08:00","- fix FCs
- add battery, memory and temperature
- add exit button
- add GoogleMap as a optional map
"
"10880fdd46afe0a3b59401b9a93168de25d67f7b","2013-05-19 23:32:51+08:00","remove Home.md
"
"3b105f3807aef4a595fa7b130f0b360f371a7b0b","2013-05-19 23:52:09+08:00","- prevent relaunch when start via notification
"
"abc5f00d99f0a3f8a80b15d04f1864d116d8dc23","2013-05-20 00:52:26+08:00","remove all requests before disconnect
"
"a2c2989cd901e5662575caefb616e8f78d10e338","2013-05-21 00:32:06+08:00","disable progaurd to fix getMethodOrDie
"
"4d55c9b62933cf7a3b6ecde1002f8d657bfd32d5","2013-05-21 01:16:22+08:00","Update README.md
"
"adc2efe8a8b8cb85f172abb3e4526fb3b03b95ab","2013-05-22 23:32:34+08:00","- fix FCs
- improve response time on switch message type
"
"35f74ebb9396a061e623b991526c9a002b42a41a","2013-05-28 03:46:02+08:00","- Fix FCs [Message]
- Add a shortcut icon on the notification area [Notification]
- Avoid to detect battery status when screen off [Notification]
- Add 'sort by name' [Process]
- Save last sort mode [Process]
- Avoid incorrect CPU usage [Process]
- Avoid background services to be killed by system [Misc]
- Add uptime [Misc]
- Add setCPU [Misc and Option]
- Better way to detect CPU [Misc]
- Fix memory display [Misc]
"
"0b625045f6ccaa8854eb9e7771d1ecd88bce6fd0","2013-05-28 21:35:31+08:00","- fix FC when unregistering battery event
"
"df013d94f4969405cb7b0310d62d5b1715de977e","2013-05-28 22:18:49+08:00","fix FC when can't get processor's frequency
"
"fa376481712d790a766deac0e2329941740a5f9f","2013-05-28 22:25:09+08:00","Update README.md
"
"e7b0b0e2e672099b9142ac6bb04360e0b6422637","2013-05-29 01:49:20+08:00","-Fix SetCPU FCs
"
"08e1341dabdbb815b877725aeea7376d5e28aea2","2013-05-29 01:49:42+08:00","Merge branch 'master' of git@github.com:eolwral/OSMonitor.git
"
"abb5acef6c11882f9035c1a6311148a8acc6d99b","2013-05-29 03:07:11+09:00","Update README.md
"
"12fe1da0bbd19ed6ea3438e666eaf0bf3a097ae4","2013-05-30 02:57:17+08:00","fix permission for processor
"
"04a13f99b8d32fa7525aaedea278e7592d336554","2013-05-30 02:57:58+08:00","Merge branch 'master' of git@github.com:eolwral/OSMonitor.git
"
"aa97841c976bfaf3f5527769af90e899b18ddb97","2013-05-31 03:31:55+08:00","- set default source as MAIN when executing 'Watch Log' [Process]
- fix multi-FCs when set CPU [Misc, Option]
"
"876eb51185bcb08b9f4ca41d39cf0f9e0e784d30","2013-06-01 23:19:18+08:00","- Fix SetCPU
- Fix Search (Message)
- Fix Watch Log (Process)
- Add Export when Watch Log (Process)
- Fix FCs
"
"3dc6f1e5679c733470859dcb5d64c0000abeca63","2013-06-01 23:23:07+08:00","- Remove max target platform
- Change activity name to full name
"
"9c37139038178f861a5eb091b42259e1397bbdbd","2013-06-01 23:54:35+08:00","fix android.view.WindowManager$BadTokenException
"
"e0c4d75cadea9828ea8624b5d41c1cd20c40e95a","2013-06-02 01:03:45+09:00","Update README.md
"
"66d52a68fc798137fee71a39421ee2d49d51bc77","2013-06-02 05:00:21+08:00","fix calculating CPU Usage
"
"cda4d59f8f2f90744619ac528e25d46c35d885cc","2013-06-02 05:01:10+08:00","Merge branch 'master' of git@github.com:eolwral/OSMonitor.git
"
"0380f14e7e5f01f89a50a99caceceb08f7faca05","2013-06-03 03:50:08+08:00","Fix FC on SetCPU (Android 2.3)
Fix wrong number of cores
"
"f2c0e1bb94335e961c11068b12329f9bbda040c4","2013-06-03 03:51:46+08:00","increment version
"
"667a709a0dd18e0f1d4a0d247ff456b74e529c8d","2013-06-03 03:56:37+08:00","Update README.md
"
"8e6805f3fc8504a7f5b341b544b4499cd6ca5a7d","2013-06-05 02:54:07+08:00","detect CPUs more carefully
"
"f8c0e47e802e0b5acd18955d1d0b38f935052d34","2013-06-05 03:06:38+08:00","fix IPv6 Address
"
"d60dd9e9c6bcd7c67612c97377465d3af136d544","2013-06-06 02:39:42+08:00","better way to detect processor's status
"
"ae2339c8d1effd1bc1dad8a468acea8192138be5","2013-06-07 02:54:18+08:00","add a extra function to get network traffic statistics
"
"c64ae908f219fbb461a1f604e09d856316ddca71","2013-06-08 21:49:53+08:00","fix error size of network interface and improve the convert function
"
"6df8083a2488bd488eb0937dd7ae56af86006603","2013-06-09 22:15:09+08:00","Avoid to use get elapsedRealtime, because its return value is
incorrect on some devices.
"
"d6af53d68a5be2b7612b5c9964c2cba3dfc8539d","2013-06-09 22:57:41+08:00","fix processes count and improve preference
"
"2dba3f116515a04e16accced8901e8173e81db86","2013-06-12 04:41:01+08:00","remove the restriction of long click when in Tool mode
"
"1034be3ef8e5d594f7f9e1e493c065b14ed7eb40","2013-06-13 03:59:29+08:00","unlock long click in tool mode and fix incorrect process name
on notification.
"
"5e047219d043132f58aff63b272a8fc6ba0120b6","2013-06-17 02:20:16+08:00","Add CPU Time on Process Tab
"
"330fc1659311c96f25ac59925ed5e1a9e0d1c19e","2013-06-17 03:40:14+09:00","Update README.md
"
"577b8e6c1c2d72b8eab5d6f12ba0f90f320f4e59","2013-08-25 22:42:39+08:00","support mips and use customize notification
"
"269d9a79102407eacb0249afa5118bf6dd1840e0","2013-08-25 22:43:06+08:00","Merge branch 'master' of git@github.com:eolwral/OSMonitor.git
"
"3315339da46b7192c49341af75e11bc72eb49772","2013-08-25 23:01:10+08:00","add a new language (Hebrew) , Thanks to Arthur.
"
"68364efea92a373c98ceb3f6827a7cc389d5fb41","2013-08-26 02:24:09+08:00","avoid to build notification object everytime
"
"825be904172d2c9b38e91c67b331bf02ea747b62","2013-08-26 22:39:34+08:00","fix web page error on some Android devices.
"
"8526b32f2090c91b4955a1a89035805493d42db5","2013-08-26 23:46:22+08:00","fix missed cputime
"
"eed72dc9a1260c50ca159fb022678cabbd30c88a","2013-08-27 01:08:16+08:00","fix customize layout warning and add CPU, memory and battery meter.
"
"a691473c37b149464ec150d9705dd708b9ad8911","2013-08-27 01:32:52+08:00","fix log format and empty log file when exports log on 'Watch log'
"
"4376db3c5dcfeb877ed20a627a782a29e1f3d64f","2013-08-28 01:10:24+08:00","final adjust the new notification
"
"c5c3ac3937262118734bfd91870a869eeb6e7403","2013-08-31 00:45:12+08:00","don't filter empty network interface
"
"1938782c147fbc1d16077e3fc5efd9da506ffa7f","2013-08-31 02:05:09+08:00","change Degrees symbol as Unicode symbol
"
"53bfd329306a5f667b7ae966e048e818e3a303f2","2013-08-31 19:20:50+08:00","fix AndroidRumtimeError and remove ')' from process name
"
"f77905c529f1cda30320ccfa79eb6088d48f086b","2013-08-31 22:12:49+08:00","update Help
"
"e2351937225583c0e6989d3ffc836311bd62ac93","2013-08-31 22:48:53+08:00","version 3.0.6.6
"
"f276170df17bead6d2ce40fae9c66f24db888cf4","2013-08-31 22:50:25+08:00","Update README.md
"
"403ab0b05b5d9015c31b32fed5d16c429b68ee5d","2013-09-03 01:36:03+08:00","Fix the way to detect CPU, Intel Atom is slight different. :(
"
"ba70afc1542ca3bb557252fca856889c5417a30a","2013-09-03 01:53:18+08:00","Merge remote-tracking branch 'origin/master'
"
"ce1e9787b356d585ceb7ff43230cf2dd2f12dd0d","2013-09-04 01:28:51+08:00","customize notification font color
"
"4e4032edc2d5bb652e2c16bb979135cf0ce1e28e","2013-09-05 01:25:36+08:00","adjust customize notification layout
"
"a5de183af589a04885a56d8c75a0fe718492a3ec","2013-09-06 01:08:42+08:00","add a option for keeping notification on top
"
"ddc1f6039f8a7735c25ee8ce6e75f7a24b6545dd","2013-09-08 11:30:09+08:00","Add ARMv7 and Chinese translate
"
"4a50341b777444555405b597f6a96b242f6d59dd","2013-09-08 13:06:13+08:00","Change kill mode
"
"54c4a410eca037062b8590b204b9661b56f6123f","2013-09-08 14:44:34+08:00","version 3.0.6.8
"
"d6f5cccc7a1420a34584e684ed9931342fa6837c","2013-09-08 15:45:35+08:00","add new strings (Hebrew)
"
"00590467105e966bfacd34b77611de9cc1ddf23d","2013-09-09 13:58:51+08:00","Update README.md
"
"1d1c6202d41694baea391d1acdaaa037dca11fe6","2013-09-13 00:17:14+08:00","Add Polish language. Thanks to  Jarek
"
"e2d326995e631e35091789dadbb83b477dcd94b7","2013-09-13 00:17:44+08:00","Merge branch 'master' of git@github.com:eolwral/OSMonitor.git
"
