"commit id","commit date","commit message"
"230b4f93fdf6bd0ce6baeed30a2c05025417de25","2014-11-05 17:10:44+01:00","Update Gradle build tools to 14.0
"
"3ea49dbeb6c82fe185d6751fc7798bfa1c58619e","2014-11-05 17:19:14+01:00","Add openbikesharing.org website link in Settings
"
"b2369ccf77ce332fdc6bdf675991180d9e1329f0","2014-11-05 17:19:51+01:00","Auto-update app.iml
"
"02bebbcc87383f80fff3d631d3d0143f4842e2ea","2014-11-05 17:33:53+01:00","Replace (c) with copyright symbol ©
"
"58388633082a8209c51da82001ea2d8db425090d","2014-11-06 14:59:21+01:00","Provide Up button in action bar for API 14
"
"90fa2fff6d47ffbe2c6ca69d688182c0ada9545d","2014-11-17 13:44:28+01:00","Re-enable fast-scroll in stations list
"
"18e3bf55cd2ba8c54672d16815c6b54e11b2d5f3","2014-11-17 21:51:14+01:00","Add option to strip id from station name
"
"1316178695ed084fd9cd46291f4b56802f6fe052","2014-11-22 00:01:26+01:00","Remove unused strings
"
"5014db2dc6346701379b171225aee4ae5d27a2d6","2014-11-22 00:06:56+01:00","Use CheckBoxPreference instead of SwitchPreference
"
"94729ef05bf506b4489f9987e881f1850e581a61","2014-11-24 17:32:53+01:00","Auto-update Android Studio file
"
"5a14fa98afe94dfac0cf37bf88ee842a9650d117","2014-11-25 12:32:12+01:00","Reword string
"
"5a5802770168f7d48ba03f001a22cb5f4de0007a","2014-11-25 20:49:49+01:00","Update Android Support library version
"
"9c51abbc6b152e04c3f7b4058871c24d9bb83652","2014-11-25 20:51:36+01:00","Update buildToolsVersion
"
"863037ce63af637e205688991b69c9316a63b81b","2014-11-25 20:56:20+01:00","Set Material theme on Android 5 (API 21)
"
"26203611d298750ffcfca2e8597300520ba0e4ac","2014-11-26 00:27:12+01:00","Rename '[not_]important' icons to 'favorite[_outline]'
"
"9f4dbf00423adc7ee0393d4893fc4e7da11dcefc","2014-11-26 00:29:54+01:00","Add Material icons
"
"08ace19b73f8bc1ed3f1ff007bbcbe4965534b1c","2014-11-26 00:34:55+01:00","Bump version
"
"06b3ad14aff4af663a5d810c68472f9ef02b7d50","2014-11-27 20:47:12+01:00","Set special version name in About screen for development apk
"
"a2f0367d0bd84e04ee80320a00ae5a53747aa980","2014-11-27 20:51:49+01:00","Simplify code
"
"b53086b2c0a2e299b726926e1ef1039ac8a56dac","2014-11-27 21:24:09+01:00","Reword welcome message
"
"29f8c806a08daa230a1f851cc90366244c2a8ec9","2014-11-27 21:24:53+01:00","Fix activity title
"
