"commit id","commit date","commit message"
"68d8dac8b8ba76428aa83afdd50c0057038faf83","2015-01-03 11:08:26+01:00","Update build-tools version for Travis
"
"8c5fc651b203cee83f9786566bcb0acb9f0ec289","2015-01-05 21:49:39+01:00","Remove comment
"
"556fddd6ae7f34a8601067da0afd6ffdf8c9156a","2015-01-05 23:50:50+01:00","Remove compile fileTree statement (declare libs explicitly)
"
"d4bd705977d74613a84cd96b65dcd30670f3ff98","2015-01-14 01:05:22+01:00","Add address support for more networks
"
"22f642220b33d80752a6c815d345e6dc2f48a849","2015-01-18 18:10:05+01:00","Prevent crash in networks list screen when pressing search button with an empty list
"
"2c0262a2752f5dff065f805817b678d7c39d8af4","2015-01-29 18:37:39+01:00","Update osmdroid version to 4.3
"
"6cf68968c161e36ea8bd8a871507d4e7e05c50fe","2015-01-29 19:22:19+01:00","Remove the hack to correctly center the map as the bug was fixed in osmdroid 4.3
"
"c1e8f85ba8cba4c95b1a86959ef618f0f63522c6","2015-01-29 19:26:33+01:00","Remove blank lines
"
"f1a9708a7c341fff47aed9a72a63d437537062e0","2015-02-01 21:58:30+02:00","Add Turkish translation
"
"b3f070397e1a555e29915bf3efd5d5ef4d170efa","2015-02-01 22:53:08+01:00","Merge pull request #8 from canerbasaran/master

Add Turkish translation
"
"7d555c97e50398651e563b20d791d0148ef1a738","2015-02-01 22:56:39+01:00","Merge branch 'master' of https://github.com/bparmentier/OpenBikeSharing
"
"d1c455767fe7f316d86b15990017457f0f7ea3a1","2015-02-01 23:42:16+01:00","Remove useless layout property
"
"f0de0e39c00e75be1b0d654e50198f6ef3a01cde","2015-02-02 12:45:14+01:00","Bump version
"
