"commit id","commit date","commit message"
"3c918591505d9cb7328fb758b7edafbf4a03a55b","2016-01-26 16:16:52+02:00","changelog update
"
"165999c15fd79c814d842e5637886c811e940afa","2016-01-29 20:11:22+02:00","Build tools are updated.
"
"7d55665df12c88136ab918e40f1cd574bf691c99","2016-01-29 21:44:47+02:00","Use CursorLoader to load items from the database.

Fixes #13
"
"5d067cf29f918e558d84f1815accee42f13e5772","2016-01-31 19:17:10+02:00","Grade build tools updated.
"
"8c18475081a9e2b1084bd90cb7b80ae085f1f57a","2016-03-30 18:01:19+03:00","Remove build time.
"
"341eb695b5122edea4d2b31a4edfc284d8101f31","2016-03-30 18:07:59+03:00","App name is non translatable now.
"
"4c8b8282009953602b0c2afc43e7ac17dc359735","2016-03-30 18:22:36+03:00","7 new translations are added.
"
"1ff86ffc53a8c79f2f08c9777c0e5abf510f5515","2016-03-30 18:24:17+03:00","Translation fixes.
"
"565ad41ee3c4c9f94cb636d15e3372fec3e5b06b","2016-04-04 22:28:34+02:00","Utils methods are extracted into Extensions class.
DividerItemDecorations is moved to misc package.
"
"abec9f45e0c40a4eecd8083460c8c3386fb42c0a","2016-04-04 23:20:26+02:00","Extracts PreferredAppsAdapter and AppRemoveDialogFragment into their own classes.
"
"48c2bce2cd404ce66f970cd8667d3655513124cb","2016-04-04 23:21:06+02:00","PreferredAppsActivity no longer uses TwoWayView.
DisplayResolveInfo implements Parcelable.
"
"8bbb3ede3e74c7d956f191f405ff83293be90758","2016-04-05 00:41:21+02:00","TwoWayView is replaced by own item selection support in the adapter.
"
"b6b51f9be633b5b783282169359b570416810b5a","2016-04-05 00:41:36+02:00","dependency updates
"
"d1225584d670e9c27d4e4257a62076c522aaa48d","2016-04-05 01:07:41+02:00","fi and ko translations are removed.
"
"ef5daa2ecc9f3493fa77828481a30876dd22b774","2016-04-06 23:23:06+02:00","Crash fix.
"
"c0a412f59b0094450da2ffa014866a8407146e67","2016-04-06 23:24:57+02:00","remove snapshot repo
"
"68f13958f712ea83caeccfa08ec8afce471cbe9b","2016-04-06 23:31:27+02:00","Fix Crash when the component of an intent is null
"
"f61608a2601ffec191f6d7d4c4ad5f293ff75ae3","2016-04-06 23:42:21+02:00","Fix crash when the host string is empty.
"
"d0d30c61104de17b201424875e3508bb6edd279f","2016-04-06 23:52:48+02:00","When a SecurityException occurs, remove the link and continue.
"
"55bf6d98ed076dfc95d8c38d36fed49bb932730f","2016-04-06 23:56:55+02:00","Ignore exception while trying to get usage stats.
"
"861dfbe9284165c33420179ca8256c02eb9d5e60","2016-04-07 00:07:40+02:00","Catch all exceptions to prevent crash.
When Usage Settings cannot be opened, display a dialog instead.
"
"c6acbe80db71c82ea73f85e8dad9f7d3bba55215","2016-04-07 00:15:17+02:00","Instead of null, return the first element.
"
"c7e8131c214413ce784545a45646fbd92ce07e2d","2016-04-07 00:15:29+02:00","Obfuscation disabled.
"
"ea970f73119f50cc899494791062a826c915796e","2016-04-07 00:43:08+02:00","Translations updated
"
"5896719f2d47a288c1d4e9d19eeb6c0dae565127","2016-04-07 00:44:24+02:00","Prepare for release 1.1.1
"
"a7a4ecd9eeba6d7aca150e117cd89113068af90f","2016-04-07 09:25:59+02:00","beta changelog removed
"
"af682b64710d79bcb2a3d8255096e1e7045dc704","2016-04-07 09:28:03+02:00","Version pref changed.
It has summary with version info now. And it is clickable.
"
"f3202c17a3a12cce2980003d1eb0d650234fed00","2016-04-07 09:28:20+02:00","Preference style change to remove dividers.
"
"c7360c7bc70bd338c4a75513671ecd76184b0504","2016-04-07 09:36:27+02:00","Localisation update.
"
"cda0caba1a7dd7b91cf92346f05351eb5e0b968e","2016-04-07 09:30:09+02:00","Prepare for release 1.1.1 again with couple of fixes.
"
"b1e7e4500e4d254d5eb7189bfbb388b9957be589","2016-04-07 23:18:45+02:00","Prepare for a BETA release with new support lib.
"
"dbb2eb2184b7e5f963b1642bfc476a6ba8102c3c","2016-04-07 23:19:11+02:00","Licences are updated to remove TwoWayView.
"
"eea12f6b49c787d50bed23c6a1926b2b126afb85","2016-04-07 23:31:35+02:00","ChooserTargetService is added to be on top of the list in Android M.
Fixes #6
"
"945b23f75364777c513391d0cace5e70f8565dab","2016-04-14 20:06:14+02:00","Fixes in Settings Activity
"
"dedc1eaa6daaf66d835df3661bcc78589364437e","2016-04-14 21:02:29+02:00","Fixes for Direct Share
"
"38932db754de3dc479ac81a97e140c4ecc2b0595","2016-04-14 21:02:47+02:00","Prepare for release version 1.1.1.4
"
"b630ddb3363a0a6c23a13db42b93831354159b17","2016-04-14 23:13:41+02:00","Crash fix related to Android M Direct Share class.
"
