"commit id","commit date","commit message"
"8db3784e9f417ed430fa684d06a723e494aa0254","2013-05-26 01:06:07+09:00","Add menu send item(not implemented)
"
"db9f908329e0a63e4a66296f1c7ddaaff33042ce","2013-05-26 01:08:52+09:00","Add comment form
"
"4c63c2c4ee985545a94d48c62fa4b78f1ca2225e","2013-05-26 01:10:32+09:00","Add getXml method
"
"e94db134785bc747c29931aaa54ef2d8f530f216","2013-05-26 01:02:40+09:00","Add setJournal method
"
"e6cb02287ec3f868aae613fdca139f3733c6097d","2013-05-28 00:58:57+09:00","Add missing class (lost)
"
"056ce9c03303fffcf32eeaedb763f44287a7f780","2013-05-28 02:23:45+09:00","Fix edit comment on the list
On press key send forcus request to webviews, then lost forcus from TextView.
As the result, by press a key, the word were commited.
"
"cb8504d5b5334d96f245d800cccd62bb09406a88","2013-05-28 02:24:17+09:00","Add post comment feature (#23)
"
"5da0013e56d0e6a7da0f744f3ba5423825e967c2","2013-05-29 00:44:34+09:00","Fix show version changes
"
"0cc78147b0e53d5af62984b1cd6ba3be9fe12098","2013-05-29 00:45:45+09:00","Fix post estimated time and version.
"
"0d58d486e72b0d8e620f6618451b335dbd3a4ba8","2013-05-29 00:47:47+09:00","Fix attribute to protected values
"
"bad0d86eb9c5c8eb4d9c06322ac75f2789a35ec6","2013-05-29 00:49:21+09:00","Fix edit estimate time
"
"d8540cbc8e0baa9632c63e6fe837c4a999d43d3d","2013-05-29 00:51:35+09:00","Add comment to issue edit form
"
"fdce0ff742cafed95086567122a827d54fb604ff","2013-05-29 01:02:24+09:00","Fix estimate time on edit issue and validations
"
"04e41ee3c9e07be4415b8ec40e3ea48dd5358774","2013-05-29 01:40:13+09:00","Update release notes
"
"6a355a6783bb27d3c1e4f1f920adf8c981d5c2ac","2013-05-29 01:40:34+09:00","Merge branch 'edit' into development
"
"52e3808db2d163628920b0cb49ced6f0ecb953bd","2013-05-29 01:57:57+09:00","Add start_date
"
"5a6f53cde625129d618c5bf7a41ec2aad4ff6d25","2013-05-29 01:59:36+09:00","Add due_date
"
"ea558d1cb910690618a9a4bc18b69c4d95e381e4","2013-05-30 00:54:45+09:00","Add priority
"
"1ee0773cb5cdb5b34eb8b4654ee29f27689cb246","2013-05-30 00:56:26+09:00","Add status
"
"75e0a4e5398b08626acec1e4c3e060dce4de4bd8","2013-05-30 00:58:49+09:00","Add tracker
"
"9275fbf4beb7b29d602524de90b117aaebf50fc0","2013-05-30 01:02:00+09:00","Add fixed_version
"
"55dfb7255147de21d095076d872b50468259eeda","2013-05-30 01:04:51+09:00","Add category
"
"7cdac37cc96bc848ce72e0e7bd3fc58596714282","2013-05-30 01:08:02+09:00","Add assigned_to
"
"52f204014102ccb0a85c734c89ac334f4f5289b8","2013-05-30 01:09:32+09:00","Add author
"
"c2a2e2c79a2ef44b2d58ad9b2bdef8bfd6613db3","2013-05-30 01:12:41+09:00","Add done_ratio
"
"260b4406290d85942dff1b0650cef5c254cb4638","2013-05-30 01:16:42+09:00","Add closed
"
"590f58f4434f85a8bcdb164d15ec879d6ff47299","2013-05-30 01:59:45+09:00","Add release note
Fix #26
"
"ef02d6541bbf423573872362af3ec107624d6f6d","2013-05-30 02:09:00+09:00","Merge branch 'sort' into development
"
"07cf0730dd8882a93ea9a861a1f3065a822570e6","2013-05-30 02:17:46+09:00","Prepare release v2.3
Fix release note
"
"6d9314b9c6f2386b457f3c4cdfc26cf3cb637844","2013-06-07 02:28:35+09:00","Merge commit 'development'
"
