"commit id","commit date","commit message"
"825174b7e026200ada578f2e45a952d8839b2a1d","2015-12-18 10:06:03-05:00","Update README.md
"
"625ed8bba615f94d24ded656a22b23145e71918d","2016-01-24 22:28:25-05:00","Update README.md
"
"f01f76fbd97375747ce32951df7ee29a0c2f7342","2016-01-26 15:01:39-05:00","Update README.md
"
"84f01b249922514dab983f8e63b82c7868709074","2016-01-26 17:18:24-05:00","Update README.md
"
"2b1a9e24922392d144da44486d055df181c8550d","2016-01-29 19:27:14-05:00","Migrating to undeprecated api. Possible bugfix for swatch crash
"
"30bc8dc1941a4e872e256aa842ceae09c53f305e","2016-02-02 03:24:45-05:00","Recreated comment parser

Fixes #32
Fixes #22 with sidestep
"
"3cd8cd4361c08622927df4dbb3c8dbdf57ad9301","2016-02-02 03:29:14-05:00","Migrated off deprecated swatch api
"
"a7ee77c58efe3a96c31d795f9a20356f920614ab","2016-02-02 03:53:02-05:00","Migrated off deprecated api
"
"f129abf6388244b488d3cd2b4dd3f0fe50f33512","2016-02-02 04:05:02-05:00","Merge pull request #35 from Luorrak/development

Long overdue bug fixes
"
"0ed2cb61df2ec5d9e063f1a368988d8a7815e6d7","2016-02-02 04:25:26-05:00","Shrunk margins, fixed a bug when there is no comment. Bump for release
"
"d1159b1d8a593de9a487bd830d6fc0fe48aad22a","2016-02-02 04:26:58-05:00","Merge pull request #36 from Luorrak/development

Shrunk margins, fixed a bug when there is no comment. Bump for release
"
