"commit id","commit date","commit message"
"34a94e080585166820f4dc927c6e1192bf9f13b3","2012-12-23 10:12:54+01:00","Added signing part
"
"a0c85c7f1a8e28c83633910de99518c2560b6f61","2012-12-23 14:08:56+01:00","Fixed incorrect references in prefs.
"
"7a50993b83fb6a769ed8d23f25eaaccafc032fb0","2012-12-23 18:05:58+01:00","Fixed ClassCastException on click
"
"4a4c415fcd35fcf5e76e38fa14e87692ebe65c76","2012-12-23 18:10:38+01:00","Removed log-statements that caused NullpointerExceptions.
"
"b8881f304020422b89cab608e35c3f9d0a31c0fe","2012-12-23 18:29:20+01:00","Updated Arabic translation to new format.
"
"9a67a0ac679b2d3f14842ee1fbb6446b255baa11","2012-12-23 18:35:24+01:00","Fixed race-condition between loading text and calculating page numbers.
"
"0af74ee7c6535dc7a9d07cae51e0c9b709f2de6d","2012-12-23 21:23:22+01:00","Updated Italian translation to new format.
"
"5cf074d2dcc26e44d4c6a78887b20d6002d9e5b2","2012-12-23 21:54:42+01:00","Fixed incorrect xml
"
"edba974400b8ea179d91af7f05c26ab1b3f26927","2012-12-23 22:31:50+01:00","Updated German translation.
"
"5d9ae937738b99c35c60b91d8e292b33a01ad1ac","2012-12-23 23:58:21+01:00","Version number update.
"
