"commit id","commit date","commit message"
"edbea2c2e1bf1eab1e5a2f5ecdeb26907b057a13","2014-06-10 21:47:18+02:00","Added logging for location provider
"
"6f82a0d7a4968c2208b3ca1dc9d093a15c421ae3","2014-06-12 11:59:18+02:00","PB-675 #comment Renaming packages for publication
"
"49f8a05094cb9be83335d0a88cc9a0539282f6ab","2014-06-12 12:02:00+02:00","Fixed compat library problem in pom
"
"e944118281f4de1d6cb294208250ac59d7e3cf58","2014-06-12 12:04:28+02:00","Fixed link compat library problem in pom
"
"74ad0b1ffdca31b480ff041b22da881b1d46a735","2014-06-12 12:25:09+02:00","PB-762 #comment added https in sms map link fixes #28
"
"e03e70ab22be2b7e2b87ae590282fe8a21aca107","2014-06-12 10:25:37+00:00","Merge commit '74ad0b1ffdca31b480ff041b22da881b1d46a735' into HEAD
"
"35627c257b52779f34083541eb62f81fb1e49362","2014-06-12 21:40:11+06:00","Message Scenario updated.
"
"edd674142b43ae9293d745fee3b551d768b710a5","2014-06-14 05:05:15+06:00","merge with dev
"
"35cfc3fcfd3eac40e9016179b2dedb2e09082bf5","2014-06-18 09:43:19+06:00","PB-756 #comment temporarily Fixed problem with security tips link crash fixes #30
"
"54613ee7d14962a4738e871fdc6cf8cd3094b692","2014-06-18 16:30:58+06:00","PB-756 #comment Fixed problem with security tips link crash fixes #30
"
"26d262b58799f87e847d6ef620581b603d5e5fa2","2014-06-18 17:41:54+06:00","PB-752 #comment message text updated when location not found.
"
"9e83748b322fb0d95525d9a188c66ba11a46938a","2014-06-18 21:48:45+06:00","PB-752 #comment fix failed tests from  Build #93
"
"4733159b95e891081edcc26bdf64f0b151157a76","2014-06-19 15:05:48+06:00","PB-752 #comment fixing new flow of text message location sending.
"
"dadc8fc3787dfdccc88721eef1680ebefcb5bb1a","2014-06-21 04:28:07+06:00","PB-752 #comment location sending flow improved.
"
"1c290734ab4b1b8fe38a05e885702409e42e9574","2014-06-21 18:34:42+02:00","Removing homescreen shortcut added by Google Play #35
"
"abfc7a247a27435725ddbf6b1616deef37155555","2014-06-21 19:00:49+02:00","Allows pressing Done to validate Pin code entry #27
"
"b499f2c80737b293cf5ebf95e7c6962359017b69","2014-06-21 19:41:09+02:00","Merge branch 'feature/PB-752' into dev
"
"b4c5514f7e98bd2017920c706c8bd40d27fedfdc","2014-06-21 19:47:14+02:00","Merge branch 'feature/PB-756' into dev
"
"9049733324f31bd573acb5e89ab6b5459d41236d","2014-06-21 19:56:53+02:00","PB-756 #comment Fixing link for security tips redirection #30
"
"c618e2dc064187f2a909c88877316ee8ced337c4","2014-06-21 19:57:47+02:00","PB-761 #comment Also fixed Wizard Code entry to allow Done key to validate. Fixes #27
"
"2920549d3408ed152bc9bde490232d8d92a3854f","2014-06-21 20:03:19+02:00","PB-761 #comment Correct filtering of keyboard Done key.
"
"07d12b1921caa8fe7f71da628926499de0090ee6","2014-06-21 20:18:06+02:00","Bumping to version 1.2.7
"
"32ebe40538d9e81dbec0b1636d74451d0de6c42a","2014-06-21 21:21:31+02:00","Improved process for generating APK, signing locally, updating version numbers and removing debug code
"
"236f9e16d2de2d613201656e1d82b17d1a80fd00","2014-06-21 21:21:56+02:00","Merge branch 'dev'
"
