"commit id","commit date","commit message"
"96037a6ec6f18b2446bc3eaa25992509cc13c5c6","2015-10-19 01:02:56+02:00","Use Espresso 2.2.1
"
"877f7846c5a6b3698a2435322b87c59efa0d69fb","2015-10-23 18:32:20+02:00","We also need to exclude guava for spoon-runner
"
"292b295f3ffa08ec1f4cd7d778cf41adbe0471c3","2015-10-23 19:32:05+02:00","Use assertj 1.1.1
"
"35456439cf0a6067248a6812fc08e8dc4f9fec12","2015-10-23 19:32:55+02:00","Remove dependency status from README
"
"24e027e695234e3972038f26d0e04b57e9ae8ea9","2015-11-04 10:54:37+01:00","Close the body
"
"fad3c88bda3de867345d738e7dd295090f97ff8b","2015-11-05 23:56:53+01:00","Use Joda-Android 2.9.0
"
"042ec58dc01464dc8e6ecbcfd9864723a974d9ba","2015-11-06 18:18:23+01:00","Use buildToolsVersion '23.0.2'
"
"dff33c029da0a17363bf458f5b74d04a060a53b9","2015-11-09 14:49:31+01:00","Extract update string
"
"d3d17a947f87b73f2c4d7524bd0a20275938a8f0","2015-11-09 14:54:12+01:00","Adapt transifex config to new project structure
"
"7de5846278b9d20b81d9c39dd680299c961e3b2e","2015-11-09 15:13:05+01:00","Same conditions for showing update icon and precondition
"
"cf07ce24d3a25163e2140e7c18d6c17379e973a3","2015-11-09 15:32:09+01:00","Use gradle 2.8
"
"de2ec23ac22f4d80e919e660721557f4fb123ccb","2015-11-09 19:18:17+01:00","Setting the Title is done in apply
"
"3efed3e5884dd86cb47b50484dfa81a973281cab","2015-11-09 19:34:58+01:00","Nicer access of PassFormat
"
"77120445471a84127bd6204291c18706c572be0f","2015-10-08 22:31:17+02:00","Add function to zoom in and out the barcode
"
"7022e3aa5ec3576c75d49e31af6fb400eaa5d9f0","2015-11-11 17:21:36+01:00","Improve barcode handling
"
"ea6f29f146b93cf424ecbde3fae2a181dd749d12","2015-11-12 16:13:37+01:00","Rewrite URL for Brussels Airlines
"
"08b40ebb35b9a41384eac4a8faee126b07119c40","2015-11-12 16:21:10+01:00","Move logic to controller
"
"57a160217f7ad9017c115bcee466915de7199e7d","2015-11-12 16:50:40+01:00","Add tests for the URLRewriteController
"
"2dc7f39c8715076783aec068b490ca23ac974fe4","2015-11-12 22:25:02+01:00","Bump version to 2.5.9
"
"4ff581ae5ada5299beb8dcfdae7a6e249395c75f","2015-11-11 23:53:10+01:00","Correct package-path
"
"f6a9c6c69ea4eb844c811630deea80ee43ea7d84","2015-11-11 23:55:06+01:00","Use Dagger2.0
"
"fbb7400bf349681daff2acef079c6da499ebfee0","2015-11-15 20:28:36+01:00","Use support 23.1.1 / add version-check plugin / change spoon plugin
"
"8ab9fee09092eb144a9907b981a91e25b40a1127","2015-11-15 20:31:35+01:00","@MockitoAnnotations.Mock -> @Mock
"
"d9b661a5b64139a6d63a76bf63b3358590e2b9ed","2015-11-15 21:33:29+01:00","Reenable some tests
"
"4ea103d38b6585e1b3b9b5f67ce04ac96ff3ff47","2015-11-16 22:36:49+01:00","Use newer version of some libs
"
"e5423c0224b4c028790641a8a6552cf904bf094c","2015-11-17 01:56:40+01:00","Remove assert that is not needed anymore
"
"178e098dbd3937fa0afc33c20094ca5ba9b31a0e","2015-11-17 01:57:05+01:00","Use dagger for settings and bus
"
"a1396e426b8d88e4c4002b23c929b15ad446c522","2015-11-17 13:50:40+01:00","Now that the spoon-issue with 1.5.0 is solved we can use it

context: https://github.com/x2on/gradle-spoon-plugin/issues/13
"
"bd9b4937ae15e72017cd163677e70752dbb9bba7","2015-11-17 15:35:51+01:00","Use spoon-plugin 2.6.1 to work in AS

context: https://github.com/x2on/gradle-spoon-plugin/issues/14
"
"27979d23f93aa4447b6b70e10364414f4fc83bc4","2015-11-17 16:36:26+01:00","Tracker via dagger
"
"df515048fecdf255554d910bde0d5335b76c403b","2015-11-22 02:21:06+01:00","Hide zoom controls when there is no BarCode
"
"ee4050ca2d392cf0cc4c7c96356a5435cb256e80","2015-11-22 02:42:27+01:00","Cleanup
"
"8f964c369ee4c05f60adc6444bcf5fbb3b281df0","2015-11-23 00:34:58+01:00","Care for the new server-structure of Air-Canada

Thanks to tom little for making me aware of this
"
"cc50ba3dd32677a55b55b8dae525acc2a448880a","2015-11-23 00:49:27+01:00","Bump version to 2.6.0
"
