"commit id","commit date","commit message"
"4c070ff39c52451f57c70aec69f4da1f2f05a5d1","2011-04-08 09:38:11-04:00","Fixed bug with spaces in username.
"
"9141ce38d41a614a01c79dec328f2d546b0e4017","2011-04-11 09:06:33-04:00","Updated Finnish translation.
"
"2c91076976e73c241158e96f562d3fec7310b6e0","2011-04-11 09:44:43-04:00","Fixed fc bug when trying to share a bookmark before an account is created.
"
"c7ccc302f3aa8d7a655169690b50853a086d976b","2011-04-13 13:01:45-04:00","Fixed fc bug when trying to share a bookmark before an account is created.  (for real this time)
"
"67bab220b256cb425e8c08ed1e82a0b4ec3e7c73","2011-04-13 13:16:01-04:00","Activity bases now check if there is a sync operation pending or running before requesting another.
"
"649661518fcfa6530ce5cac53f40ff1fcf916afc","2011-04-13 13:25:23-04:00","Added mark as read context menu item to browse bookmarks screen.
"
"ef6918a9b7c0d7d4bd75de28189e3640ec204ee7","2011-04-13 13:29:05-04:00","Added market description.
"
"284b7df3fd7c6c32b6c086933f953407e4cebdba","2011-04-13 13:32:05-04:00","Made market description an xml resource file so crowdin would read it.
"
"20a85a16101b2e9dc129f954ab6d34a05fd407d7","2011-04-13 13:35:46-04:00","Added Spanish translation.
"
"a659aa22a9bb9f4b0b388dca485d0fafbea4c21f","2011-04-13 13:36:46-04:00","Set version number.
"
