"commit id","commit date","commit message"
"a0253c49133873f9b83ad7bf812bb360f813390e","2012-12-08 14:48:46-08:00","Create README.md
"
"69940d2b15ce3d0eea259259ec74c770c6c8de6c","2012-12-08 17:49:21-05:00","Update README.md
"
"68db49d16ccdbe8155d10aa567144b2d8f2b5e00","2012-12-08 17:52:27-05:00","up she goes
"
"d3aaa119e23bae6fc6ce8e68c073797560f9dfc6","2012-12-09 01:19:40-05:00","rounding out the wireframes
"
"f3ab653d4c06da5eb241225afe074f3f982f8f18","2012-12-09 01:20:18-05:00","Merge branch 'master' of github.com:guardianproject/PixelKnot
"
"6485edd61f265e6783c207d48dd22ce29573c4ad","2012-12-09 05:00:43-05:00","adding aes for passwords
"
"8c762a71d5c174b15f56b5c6f724eec2dee87563","2012-12-09 16:15:00-05:00","hammered out last of AES password protection, some ui fixes
"
"0811d866750567797acb9bed0f99243ddc52d805","2012-12-11 16:01:01-05:00","share page now implemented
"
"bc31aa6cc288206faaf6a7e017da002566b035bc","2012-12-11 18:41:35-05:00","ui bug fixes
"
"398de1c6e75303f2e7645942d02212b02602cf43","2012-12-11 19:24:35-05:00","error handling for bad password (now with retry)
"
"75be0c7f8e74779d9756c3d137cdbc6a88097613","2012-12-12 13:47:27-05:00","silly bug fix for a loop in the embed method :(
"
"d110ec14fa7f69021e722dc235b480d87dd0c080","2012-12-29 07:53:24-05:00","now with mark's ui
"
"13325b3709411a366098dcd54c0be1d85ea2e612","2013-01-04 01:53:58+05:45","added submodule and external path
"
"ba6e3fe6a97264f6772f1a79d47767f0fd9fc930","2013-01-04 02:02:20+05:45","removed _PixelKno tag on files

We don't want to indicate that the image was processed using PixelKnot app
"
"b056fd43599acce2d1575b3eb5ffda70ea061bca","2013-01-04 02:12:13+05:45","made share mime-type more generic (works better that way)
"
"3366b16dc1745a54862d31f217bbb53a63ea944a","2013-01-04 02:12:26+05:45","added proper bluetooth activity package
"
"39c3c6f084c2651a32abe49d8196866c330a84d3","2013-01-03 16:09:59-08:00","Merge pull request #1 from n8fr8/small-features

Small features
"
"25edfe4d705d2310c1a9103616e093e3cb270ed9","2013-01-03 21:36:00-05:00","UI fixes
"
"8f4eb5acfce0dc196dd9ff196c0637c850d393e9","2013-01-03 21:36:24-05:00","Merge branch 'master' of github.com:guardianproject/PixelKnot
"
"137510bc485b371c2cbb76ee17826e3e7aff3952","2013-01-03 23:04:50-05:00","better keyboard handling
"
"59e8334981798cb2c2dd8eae15d2068d7cf1b3e1","2013-01-07 16:09:55-05:00","updates for debugging
"
"23bb6d80aa9c7bb012b6580dd09314334401da3b","2013-01-29 19:30:02-05:00","added in wait screens, updated fa strings
"
"5e16c9ebc7ac05f80cd39efd2fac672200c5f3b5","2013-01-30 15:29:47-05:00","Completed FA translation
"
"da4d4817a88bdea5a607501eaab21cb35fbd0659","2013-01-31 08:57:44-05:00","Update README.md
"
"c9b2725ca481d985abfba0220b17ec12b6fd624f","2013-02-04 15:03:49-05:00","got rid of PGP; user now warned about generating image without password protection (and prompted to fix that); added wait screens
"
"aca2f4d03ce477fae9834a0c4c4e1912f977db0f","2013-02-04 15:04:12-05:00","Merge branch 'master' of github.com:guardianproject/PixelKnot
"
"f75cef162c0eaabf1aec99f2fc8d45e6c36809cd","2013-02-04 16:50:09-05:00","better wait screens, small bug fix...
"
"bfde3a1be0c5a8aaa9272aecccad345373a5e539","2013-02-15 01:22:11-05:00","pushing latest changes
"
"b4ccdd5679794a1d0efe2729c517af4d63f0b591","2013-02-18 14:01:28-05:00","bringing UI up to speed.
"
"6aa4157f8e4016e1ef18b774a20c649acff55c54","2013-02-18 14:49:43-05:00","UI cleanup
"
"59b6ace57cdafdca3009dfa055d8bf5bd9e230dd","2013-02-18 15:55:27-05:00","better sharing via intents
"
"4e7855dcf769c09982e0e884692306173d0efae5","2013-02-18 18:11:08-05:00","fix Uri handling bug
"
"acc0868781788cbfadb9c2183253979230dcf0f0","2013-02-18 21:51:56-05:00","fixed content uri loading
"
"941078b4a787aaa153dcdde432a69483ba488ff8","2013-02-19 09:33:58-05:00","new assets, bug fix on restart
"
"5349b7b58c87aeb9fa4d9eeaf7bb94c0d9d4f51c","2013-02-20 17:43:08-05:00","better fragment lifecycle handling, but we still have that strange samsung bug :(
"
"fc97770a3c6bc0f9efca990a9499e4613de5c7a5","2013-02-27 10:55:12+07:00","changed inbound filter to mimetype not path
"
"e938ff21eb388ae7058a85fdd6b229749183297c","2013-02-27 10:59:08+07:00","pegging to F5buffers branch
"
