"commit id","commit date","commit message"
"9f4a9454b947eb2f2a2e8269cf1087095b80241c","2013-07-15 23:44:27-04:00","add config for Transifex's tx tool for downloading translations
"
"793759e47c6bd42ab1a3aae1b489bb1314124aa5","2013-07-15 23:45:22-04:00","added German translation
"
"80a8d9ae0f5f2aea80520be49c4aa397a1f7c27c","2013-07-15 23:45:37-04:00","added Greek translation
"
"568876079f3a7fdb85413e3f2609cdceb707dc70","2013-07-15 23:45:51-04:00","added Vietnamese translation
"
"c034ee3a32aba82df584d37e96d9fe9e2ae63ff0","2013-07-15 23:46:05-04:00","added Spanish translation
"
"3969fe4742462f333f7c0a223152765ff9dc0faa","2013-07-16 00:49:56-04:00","added strings for DE, EL, ES, and VI
"
"f31b3dc88f4c245509d43f87b9f4bf0d984a733e","2013-07-16 10:19:11-04:00","remove misplaced translation files
"
"83b10bc86d9eed1fa4c367ec5cb3efca4b0a329c","2013-07-16 10:47:19-04:00","update transifex config to work in app/res/, update lang_map for Farsi

I removed all of the unused mappings.  Currently we only need to map the
fa_IR up on Transifex to values-fa.
"
"a0e8967315948f21d02fb710ad094bcac38ecdd8","2013-07-16 10:47:34-04:00","make-release-build.sh: add ndk-build and make script run on any system

The ant.properties file is only needed when making a final, signed build.
"
"22f824f8c5105522c15c451b44df9f750ad1430b","2013-07-16 10:49:35-04:00","update version to 0.3.1 code 4 (code 3 used for reissued 0.3 build)
"
"83d9a0a7ccc3f15feff089617d2f098183a62f26","2013-07-17 09:56:10-04:00","updated intent filter properties in manifest
"
"76a8d0b8e568352ce60444e42492aa60caafce1e","2013-07-17 10:46:24-04:00","changing version name.
"
"02dee3d7ddea3494b490554bcdbee411de7bf492","2013-07-17 12:24:12-04:00","changing versionName back to 0.3.1
"
