"commit id","commit date","commit message"
"a6da5a3968c809a0526cf23f9d8fcebc5375b184","2015-06-26 16:33:35-04:00","update tx mapping for some languages
"
"751167f590db349e01b18a1028fdf89563f1906c","2015-06-27 10:04:40-04:00","new FAQ page; pin to latest f5 build (which includes another exception handler)
"
"7763de332c0fdc936c88c11d8cb041d69299cbe8","2015-06-27 10:25:46-04:00","cosmetics
"
"7a21bc2bc31cb66bb90ed91edcabf1be6abd34d6","2015-06-27 10:35:18-04:00","i am nitpicky about things
"
"05a08276dcc468a66b0a3bba8e3ffd61c48418bf","2015-06-28 13:01:29-04:00","more faq wording
"
"27c7e930bc10c0d0a2275bd2adee59d64d8f0862","2015-06-30 03:27:39-04:00","trusted apps clarification
"
"bc6a75ead619509e59d8f33c15aa55e8443f511b","2015-06-30 03:28:20-04:00","trusted apps clarification
"
"e7b045ad8f45d438a7d77612ec56584fe1b91fa5","2015-07-02 19:14:51-04:00","clarify that you also have to build the JNI lib if setting up in Eclipse
"
"6b242d8738e5e11cbf9473569bebb3a7c260107a","2015-07-03 10:24:17-04:00","changed version in manifest; failure dialog for non-recoverable errors; catching no-uri bug as per https://github.com/guardianproject/PixelKnot/issues/12
"
"b31dedf5939ec22d0fccf95378c82c17591d8ef5","2015-07-08 13:23:18-04:00","Merge branch 'master' of https://github.com/harlo/PixelKnot into harlo-master

Conflicts:
app/AndroidManifest.xml
"
"fdf49c9b30dfde1e36f3b8af226bcbfb2bb1b960","2015-07-08 13:23:50-04:00","Merge branch 'harlo-master'
"
"339594bc53f2948b46181515894253bf91d85afe","2015-07-08 13:24:33-04:00","add new language resources
"
"51127838f41345f69fc9e6d50bb16bc38cbaceea","2015-07-08 13:24:47-04:00","update f5
"
"3b97334d4c0849b02fa0f1f741b3a0f6b15be959","2015-07-08 13:26:42-04:00","update to latest F5android
"
"9a2eb513243a4a7729790fa0d33305f8f770c438","2015-07-08 13:28:55-04:00","fix vercode
"
