"commit id","commit date","commit message"
"b5df29103881a8f3164c9c9e08871de070633adb","2015-11-14 11:44:34+03:00","gradle: upgrade to latest support library
"
"23bf40dbf96580246bb404bad4db65b22cf4c958","2015-11-14 18:02:16+03:00","EpisodeViewHolder: fix elevation for episodes with empty description
"
"cf8eac9a960cdae57afc4a2dcf81d86ffc9b6a37","2015-11-14 18:11:22+03:00","use getColumnIndexOrThrow anywhere if no column ID checking follows
"
"ce86e693af3ae620f51fc7a6cded962be58a4342","2015-11-14 18:19:29+03:00","set autoLink everywhere to all to highlight emails and phone numbers
"
"aab0ad2fbbd34fab5efdeae736207b51f2f1f87c","2015-11-14 18:41:42+03:00","MainActivity: change snackbar color to make it contrast with cards
"
"2800d9194cd403ea1d105ec6acbbb7c418e07d6d","2015-11-14 19:04:23+03:00","subscribe_dialog: fix layout for non-default font size configuration
"
"6f194b630174a5b0904533fc27de6e5fa5c279c3","2015-11-14 22:48:29+03:00","make episode header adaptive and include podcast URL into it
"
"7841f9efadd4b7ad6fdf195ef7a19f7dbed118f6","2015-11-14 22:49:11+03:00","fix NPE in storage detection code for Android 5.0+
"
"6bc5c9c9865aa20c24a72153d74e8906f06f3549","2015-11-14 23:20:51+03:00","make podcast list element header adaptive
"
"34a5bb7f2e98dfc0abd9378b5760ffe13f20afef","2015-11-14 23:35:39+03:00","ImageManager: limit downloaded image size by width not by height
"
"28204dcec07251405279e5adb5f771a43cac7c42","2015-11-15 21:56:28+03:00","MainActivity: extract snackbar control code to SnackbarControl
"
"5d80858c681d586bf66bc6241c2f127bbf870a57","2015-11-15 21:57:03+03:00","MainActivity: add deleteEpisode (w/o dialog) method
"
"1408e46e1eb4ee6b28498e110ee681fc4a00a155","2015-11-15 22:02:12+03:00","pass podcast title from view holder to fragment
"
"db4cdd325af553cb7f9a0526a22a36684c9ce469","2015-11-15 22:06:27+03:00","implement 'show episodes of feed' feature
"
"66123d265c742fca7893dff9534be5e377dc91d3","2015-11-15 22:49:55+03:00","strings: put Google Play description into strings.xml for translation
"
"f02b50a4802661011b0199be3b646962b795a221","2015-11-15 23:06:44+03:00","strings: add French translation made by ackuna.com users
"
"18725aa8bb69a030915a886edef48f3065600cb0","2015-11-16 00:01:57+03:00","strings: remove duplicated string
"
"17c0186aaa6151e8b0d869a627e27f7283fa5627","2015-11-16 00:36:30+03:00","strings: mark OPML file name as untranslatable
"
"e9cb184453ee29a4999ea3beae4f0e59b9c9de6b","2015-11-16 00:38:11+03:00","strings: add Russian locale
"
"8155ead92295f4675940e5db641ecfc4ba7cf053","2015-11-16 00:58:46+03:00","gradle: lat lint ignore missing translations (English will be used)
"
"9ca2805151f551f2ce457d5e31b8531ef9dd0626","2015-11-16 00:43:16+03:00","gradle: bump version to 1.3.0
"
