"commit id","commit date","commit message"
"b65535e41f10d2989aef8647c0e180c54d569864","2016-02-23 19:47:09+03:00","Merge pull request #29 from paskalito/patch-1

added german to the translations ;)
"
"1438f31a1364c6e59df736a3aa754f57a1da0c15","2016-02-23 22:56:12+03:00","readme: add Croatian to list of localizations
"
"a683bad3c5fdeb9d6e8bf7998022f3beb8a9373b","2016-05-24 21:25:24+04:00","squid:S1192 - String literals should not be duplicated
"
"dd9f0c67dcf30158885816f1919a608225b94954","2016-05-26 13:28:11+03:00","Merge pull request #48 from DevFactory/release/string-literals-should-not-be-duplicated-fix-1

squid:S1192 - String literals should not be duplicated
"
"bec60b948a8db008b35d3a806d461ad760677d49","2016-05-26 15:18:20+04:00","squid:S1213 - The members of an interface declaration or class should appear in a pre-defined order
"
"47324e6c69a450785f41f149ed8a7b2aadaa8e50","2016-05-24 21:41:00+04:00","squid:SwitchLastCaseIsDefaultCheck - switch statements should end with a default clause
"
"0bc018ca7deb22f9dee670be562b90189fc417bc","2016-05-26 14:51:35+03:00","Merge pull request #49 from DevFactory/release/switch-statements-should-end-with-a-default-clause-fix-1

squid:SwitchLastCaseIsDefaultCheck - switch statements should end with a default clause
"
"3277f3a5fcf211affcadbd4cb55fc327c27271ca","2016-05-26 23:34:33+03:00","Merge pull request #50 from DevFactory/release/the-members-of-an-interface-or-class-declaration-order-fix-1

squid:S1213 - The members of an interface declaration or class should appear in a pre-defined order
"
"6bb00c67b7a9f052ea4e9139c3e890a90b6d5aa2","2016-05-27 18:07:58+04:00","common-java:DuplicatedBlocks - Source files should not have any duplicated blocks
"
"c5868e0f22b56f6b3e3487df0fd80cabcec7a390","2016-05-27 14:50:26+04:00","squid:S2142 - InterruptedException should not be ignored
"
"3cf6e59d770f9d68415cc427265b7cd8b3144334","2016-06-30 11:53:16+03:00","Merge pull request #55 from DevFactory/release/source-files-should-not-have-any-duplicated-blocks-fix-1

common-java:DuplicatedBlocks - Source files should not have any duplicated blocks
"
"9aa126c39a27e495263b8086651454ae496c7ae1","2016-06-30 11:54:34+03:00","Merge pull request #52 from DevFactory/release/InterruptedException-should-not-be-ignored-fix-1

squid:S2142 - InterruptedException should not be ignored
"
"cdd6c8875aedb7095abfe0ebd0e9e92a00c7ca66","2016-05-27 16:24:55+04:00","squid:S2696 - Instance methods should not write to 'static' fields
"
"f8f009ce01586e7d6f4bee46378233c2374991b2","2016-06-30 13:57:55+03:00","Merge pull request #54 from DevFactory/release/instance-methods-should-not-write-to-static-fields-fix-1

squid:S2696 - Instance methods should not write to 'static' fields
"
