"commit id","commit date","commit message"
"50a2db22ead76a0a61db221dc3b91915305e3347","2011-10-10 20:26:18-04:00","not sure why this stopped working: the skip forward button sent the restart command
"
"8c499bd2e42851fdbdd600b9f03abd7a2ab9ded5","2011-10-10 21:00:27-04:00","skipping forward moves to next podcast without rewinding current
"
"60c9eabf54b093e2f105beb3e9f688be71d5b2f3","2011-10-10 21:02:04-04:00","changed queue separator color to podax color
"
"5e319cbbc18474e6f0e9f5c38c4a84e15d9efdb7","2011-10-10 21:51:14-04:00","handle weird podcast download states
"
"619c5b2bbf702ee5b93f676b356fbe91dced9369","2011-10-10 22:18:44-04:00","refresh queue activity when queue changes
"
"d9e849ace1df75e6cadf18f5a53f6d06151134ec","2011-10-10 22:34:36-04:00","fixed bugs with playing podcasts
"
"409d20367f3e4526f45ff5f254562da9fbdbf411","2011-10-12 21:16:12-04:00","fix crash bug in active downloads
"
"7aae93b9cd34e2a0881c214bf09e31b748c48611","2011-10-12 21:20:41-04:00","fix crash bug in active downloads
"
"46c762b3058dd2aa832c062e88203547a600ea7a","2011-10-12 21:29:50-04:00","properly fix crash bug in active downloads
"
"8a34cc01d9381ddec6c82d77c65bcf35f4f7cffe","2011-10-14 21:55:01-04:00","sent to Android Market as 0.93
"
