"commit id","commit date","commit message"
"64476b2bcdde1d859b7d4b59c514dc6e5c4f5851","2011-07-21 19:57:54+01:00","Initial commit
"
"1cdee05cb76d3afe484b5755ef3b2eed38749dbe","2011-07-21 20:37:49+01:00","Add Event cursor wrapper
"
"23ef62b6a556198d0d9f4a081050d7c0fadb8793","2011-07-21 20:58:34+01:00","Use reflection to get calendars URI
"
"392d1545d512c0a04ef8917f57bbe9ce2f9001c8","2011-07-22 23:26:56+01:00","Add option to filter calendars
"
"ebcd898910e9c4635117e5b1bc78dc0dab93379f","2011-07-26 13:01:50+01:00","Rename CalendarUpdate to Update
"
"b71735236685cee2b74a6265dbf83e174171587e","2011-07-26 13:18:36+01:00","Add content resolver query guards
"
"c2ced8362ad3a9d4d33e15b3f98845989ea43412","2011-07-26 23:00:10+01:00","Fix update end event bug
"
"a73754a9e190a479c33a2ce23ffdbf938013c4b8","2011-07-27 23:58:01+01:00","Replace Toast.makeText with logging
"
"b8c48d5970d493b558f38a34ecb6ca39d4798b1a","2011-07-28 01:08:46+01:00","Add sound profile option
"
"e4e787e7bbc523a7b3f7feaded8b7f799dd4d043","2011-07-31 20:55:09+01:00","Restart update when any preference is changed
"
"5f21675401bf9e753b3fb6790fce7b66389aeac5","2011-08-05 20:33:24+01:00","Add launcher icons
"
"fb763aa4e4baf29d0bbe224ef4ea9a20324e7f01","2011-08-13 02:32:59+01:00","Send broadcast without using the alarm manager
"
"cc7bcbc72c229cd025fb79a78ea90613ba47d958","2011-08-13 02:33:45+01:00","Update ringer mode when sound profile is changed
"
"605e38510d15ca126baa481b9551948c62bcee36","2011-08-13 02:40:48+01:00","Unmute only if self muted
"
"dbf1301e3b73acecfbd9e6f03d4ab1ab42b56038","2011-08-16 07:12:50+01:00","Enable proguard
"
"e6852f8a5e5e360083b55b432a1fe66840687d4b","2011-08-16 07:13:14+01:00","Make proguard remove debug and verbose logging
"
"b9ac9beea10dfd3550eee223657d32b8e024aa2f","2011-08-16 12:30:37+01:00","Lowercase calendar package name
"
"1508885cff02289e068c8113af6864c363cfce32","2011-08-16 12:30:56+01:00","Change enabled option summary to match android's
"
"f95ffa86835180c23a3bfd7ddf159959d0633d82","2011-08-16 13:36:47+01:00","Swap sound profile option for vibrate checkbox
"
"617b54837f9e8375e5cf27c90291aac4df2fa5e1","2011-08-17 10:24:52+01:00","Rename package names
"
