"commit id","commit date","commit message"
"8c6bbf1b9437e491d417c4c3a1570c786115bf74","2016-05-29 19:39:20-04:00","Break out functionality to setup MAC related info and guard against null pointer exception if the mac address is null
"
"c6e22c142b5c510c0fa8f42ac56032d7d1ef528f","2016-05-29 19:40:33-04:00","Formatting
"
"0201c3899d247e1cb99d25ec9f0f70d1d3eb98ba","2016-05-29 19:41:59-04:00","Formatting
"
"a3cbea08e6c7acfb0c2c09ef7abd36f4bf8c8b8c","2016-05-29 19:42:12-04:00","Setup mac info
"
"5288f06f6c2b39eeb7cd6f052d758bbe48a6ae8f","2016-05-29 19:50:45-04:00","No final
"
"d814829965d4369196874b0b6badd1da8493fd9e","2016-05-29 19:59:46-04:00","Be more consistent
"
"ea1a3113000abbb4715592b2d933c054d017ecf5","2016-05-29 20:08:29-04:00","Statically set the list view items in the drawer via XML
"
"6abb9ae334fd864c2fad148f1ae4604a54ba7b0c","2016-05-29 20:09:16-04:00","Drawer layout background should be black on the landscape layout as well
"
"d416421872afcf3f59b25c24ec685912ac88bed7","2016-05-29 22:05:24-04:00","Apply heights to elements in the table to avoid the rows breaking up strangely when there are long values
"
"93885328f01aea4b5a19a34bee31aa05efe87502","2016-05-29 22:06:43-04:00","Merge branch 'development'
"
"0691eda30847650f5a23ae16852d72eee998f520","2016-05-29 22:11:00-04:00","Bump versions
"
"13874cfeeb004c9fd1d9d58535af608d08ea358e","2016-05-29 22:11:10-04:00","Merge branch 'development'
"
