"commit id","commit date","commit message"
"b66d64ed52e1c98d97fd5fdf3936d798200e83af","2012-04-15 19:18:51-04:00","first commit
"
"25fb0797a4a1701eb6dde5c3f521289f178e3676","2012-04-15 19:27:10-04:00","initial import
"
"684fc6647be28f5e39f6c0feb9dbf20257c20a5f","2012-04-15 23:02:01-04:00","basic save functionality working
"
"9ec812c54fa73f4d34378f3817c61d41dabe27b5","2012-04-15 23:04:37-04:00","removing some ignored files
"
"22c865ebeea27e580e41afc767ca6ef6e4855a0c","2012-04-16 03:16:48-04:00","did a bunch of stuff
"
"431ee92e0546a5b93aab9d273e91c74a1ae3cb76","2012-04-16 23:41:15-04:00","added layout inflating for port row
"
"25c7f079cfdedb1fd2ba86b6844d57159f8c4b0a","2012-04-17 01:58:52-04:00","added divider image
"
"936636c2bc7ba47f70fb3913a2af3eaa8cad6832","2012-04-17 02:40:31-04:00","updated host list view
"
"63a52d5f4e25ebe9c20fec0df1d877852d4745a4","2012-04-17 03:44:04-04:00","added positiononclicklistener for host list
"
"7ca682260d0fbf216b12a71f1ddd0571cb949bb4","2012-04-17 22:30:16-04:00","updated port_row layout
"
"0169fcbeb658f426f234e62ece06058be7cc751e","2012-04-18 00:07:07-04:00","removed TabManager and redid tabbing to use ActionBar tabs
"
"3e7f725cbbb93ac7971a60a4d38b0cd6ccd98bf6","2012-04-18 01:16:53-04:00","added menu option item for ports tab
"
"24799e0bf9bb6253a98a6ac020f91039ff271d07","2012-04-19 03:50:15-04:00","killed roboguice
"
"7ff42659fba1a8be9c347782015cf0469d9315ed","2012-04-20 01:55:18-04:00","fixed fragment issues
"
"7566ce226589359b1193e7728c4f9189fdc34fea","2012-04-20 03:26:09-04:00","converted portsfragment to sherlocklistactivity
"
"ed3b81947a777810ab9ecf5ae8bc1f60fd12f5aa","2012-04-20 05:42:00-04:00","added launch application spinner and some other cleanup
"
"fc2fe2a29a529f68d7da328dff633ae789276cfc","2012-04-20 05:51:02-04:00","fixed label in launch app spinner
"
"c1da542671661469fc05bb86662ae48136bd435f","2012-04-20 07:07:06-04:00","- deleting bin directories from version control
- fixed port create table sql
"
"07636c6b03b7b36f6084896758d6206a622d8484","2012-04-20 07:17:54-04:00","wired up delete host button
"
"db1aef20db1da1b7e07aa2bc12d7bbe9e93cde4a","2012-04-20 07:36:58-04:00","added transactions to save/update/delete
"
"a66fb9f8d4f01962ab3ff49589c4af7cd65e887a","2012-04-22 21:30:39-04:00","added confirm dialog when deleting host
"
"9604c50d8d67e7d145d2d76805a3b876f8291595","2012-04-22 23:05:20-04:00","- retrieve application list in separate thread
- added icons to application list
"
"e83efe7dc19bd15e1a8e587558f664c66607c652","2012-04-22 23:10:20-04:00","- limit delay field to 4 characters
"
"ca87719bb90f0cd92fd40f48ec6204a34393baaa","2012-04-23 01:48:17-04:00","- display confirmation when item is saved
- wire up cancel button with dialog
"
"22ee440879a0e02e4d89fbb6aaa53e7a72974d58","2012-04-23 03:05:07-04:00","- dont show 0 in port value by default
- wired up edit button and started loading saved data into fragments
- filter out invalid characters in hostname field
"
"412f82322c3a02c95d5cd0887cfe8b12508e8982","2012-04-23 20:59:54-04:00","- wire up delete port button
- implemented editing and saving functionality
"
"cbb6a4a6b43970f4cd484f1e1c0924914da9eb10","2012-04-23 23:33:30-04:00","added hints to edittexts
"
"018467f2eb56d0cbf4677f77b98f1fa46aed466d","2012-04-24 00:08:53-04:00","- fixed values getting wiped when port row was added/deleted
"
"11668302a60c1c493dafac12e34d560b7480debb","2012-04-24 01:40:37-04:00","- save values on screen rotation
"
"7dc0901614eff3def39d289fb6261bd23f93da94","2012-04-24 23:44:10-04:00","- implement knocking functionality
"
"2b966cec51607bb128c1a3d96d50b420a646470a","2012-04-25 02:35:33-04:00","- added titles for menu items
"
"1569829172fa5f3eb2ae304e9b97652be1f03537","2012-04-26 21:34:06-04:00","trying to fix progress dialog issues
"
"aa7985e1f2786168522f2c8d4f1a3ec5dac7af5d","2012-04-26 21:54:07-04:00","fixed force close when rotating screen while dialog was showing
"
"d5a6b5de8b09cdd022b0b514982279fe0ce98091","2012-04-26 22:22:41-04:00","when setRetainInstance(true), then savedInstanceState is always null.
store any values to save as member variables
"
"d20c725eb07e662d6708691c70e3cd7360f0b14e","2012-04-26 22:56:44-04:00","store list of applications as instance variable instead of
applicationadapter since the latter has a reference to the activity
(context)
"
"2088a4dc69bc43df6a1494aca9a9073a38276f4b","2012-04-27 02:59:06-04:00","- fixed ports list getting cleared when rotating another tab twice
- made all fragments setRetainInstance(true)
- added input validation
- removed arrays/protocols and instead programmatically populate spinner
"
"7b660828181d233a6f0f6e78a3d278e0d1130c48","2012-04-27 03:12:54-04:00","- set actionbar subtitle to host label when editing
"
"54ad98e1607cf99de8c9b21195a5516f22acc621","2012-04-27 03:18:39-04:00","- use stringbuilder for ports display on list activity
"
"a9ceb51395030e3573cf60ed71c7b9624594c22e","2012-04-27 19:47:31-04:00","- make list item dividers more visible
"
"23465f5334d8499f84f93dc501b598a70820133a","2012-04-27 20:45:23-04:00","- styling changes
"
"adf9eb8bb488fe9b7a545acee88e1ac26442ead8","2012-04-27 21:01:36-04:00","- added settings icon and menu item
"
"50cb73c09d17ff7c4f21a34c2153fb3bc0e16b50","2012-04-27 21:20:57-04:00","- removed cancel button in edit activity
"
"1a87665b53d8a4c4fb7389de50a0ac82c34a973b","2012-04-27 22:02:03-04:00","- moved RetrieveApplicationsAsyncTask into separate package
- added stub for KnockerAsyncTask
- in edit activity, made back button pop up confirm dialog
"
"d247706c4f42d289307d7fa730bd5236d487159e","2012-04-27 22:42:02-04:00","- converted HostListActivity to SherlockFragmentActivity
"
"803accdf7794cd9668ab2e96ca964602f78a7726","2012-04-27 23:37:00-04:00","- fixed some bugs
- started cleaning up knocker code
"
"50e1a113d7525efd41271a97fab1cc428852c251","2012-04-28 17:03:56-04:00","- added validation for port value
"
