"commit id","commit date","commit message"
"5fc40861019798653180e2882c4a1c7b9a95ef1b","2014-09-22 17:09:07+08:00","增加 Gradle 打包代码
"
"4f2e09e2eb3b0abbe285452b422bf9c303da1658","2014-09-22 17:09:37+08:00","修改菜单栏为透明，修复部分 Bug 以及功能
"
"a3caa242f3d02ec37da0dbee5025733cdf1c9f34","2014-09-23 14:26:42+08:00","更新 ActionBar 的间距
"
"7d4db6959717f22d788439650c82fab3365cb194","2014-09-23 15:03:54+08:00","更新打包脚本，发布 1.1.2 版本
"
"46d7168d4625401862c7119c4189ee540a6a8c7f","2014-09-23 15:04:23+08:00","Merge branch 'release/1.1.2'
"
"2badaebcd429368bac8955f89a338f741d836fdb","2014-10-30 17:53:02+08:00","Update README.md
"
"0c3a5ff942c55e2ce76117d730e4ae435c916d12","2014-12-26 10:48:17+08:00","清除本地的 jar 包，同时更新部分 gradle 配置文件
"
"92c55fd6b95c1f74eddf69750f9630cd25627ea5","2014-12-26 11:04:44+08:00","替换使用原生的下拉刷新组件
"
"846638836e61029776571be7a3a64fd6c25febb3","2014-12-26 11:05:09+08:00","更新接口名字以及些相应的配置
"
"a689b2b34d85b8d6c1673172848ed4f2f3ba1ffe","2014-12-26 11:12:29+08:00","清除本地的 jar 包，同时更新部分 gradle 配置文件
"
"5d65f94355af43c3075de615e5c7d4f6e2bccdeb","2014-12-26 11:13:06+08:00","清除本地的 jar 包，同时更新部分 gradle 配置文件
"
"985f7b59b74f420830e3ef573c1b5e0d777f4c99","2014-12-26 11:15:41+08:00","更新 Gradle 配置
"
"ef5cc53210283eebad7f2d0bcbe6f6e014b7be17","2014-12-26 11:16:11+08:00","Merge commit '0b42ee1dfbb75ecca480e9a8453d5a7496e090dc'

Conflicts:
build.gradle
"
