"commit id","commit date","commit message"
"bb9aa0a0c256a23c211a9811a3a0325bb28e1f2e","2013-02-19 12:10:06-06:00","Initial commit. Works for local files.
"
"0c1b468af6b4d130eedf1a1492c18a14267fc15e","2013-02-19 12:31:56-06:00","Adding qr code and fixing Windows newlines.
"
"2687d14473d0a6240b62760ae495ac573754ac78","2013-02-19 12:35:33-06:00","Add QR code to readme
"
"50123e56c0a2b0530e9d0feae1bed6759b00b195","2013-02-19 12:39:57-06:00","Add link to readme
"
"fde21aa03f67922ccdc7e2b91ac40238188cf072","2013-02-20 21:07:19-06:00","Update Readme.md
"
"60af5e6748b34eb908ff0194f98425efca83d969","2013-03-11 07:00:29-05:00","Adding logging info.
"
"884e00b48f97a0685e22d5f7b820cd5735ec98be","2013-03-15 07:35:50-05:00","Lots of bug fixes and use multiple sessions
"
"e09cf3e5601836b38a83cec3b45a2cc3ee13cb03","2013-03-15 08:33:49-05:00","Update Readme.md
"
"7a0f7a593afd66942347dcb3da86d6b5283d45a2","2013-03-15 08:34:35-05:00","Update Readme.md
"
"d5a0cc93b5e6fe4e9fe70e37a033138db8ab02ad","2013-03-17 21:05:00-05:00","Some general cleanups
"
"e50f03242d19fedf260faf2d3aba9837ffe01cc5","2013-03-17 21:34:49-05:00","Updating APK link
"
"30fb3b6da91486b80a314f81a7983038d6b0fb4d","2013-03-17 21:44:42-05:00","Updated APK
"
"c3334f33c75a45f72b445039452faee3bce14f36","2013-03-17 21:47:03-05:00","Merge branch 'master' of https://github.com/TheRealFalcon/Prestissimo
"
"a14684830a78bf21082497a27d30a6292456632b","2013-03-17 22:21:47-05:00","Better wording
"
"c362d727f0d930bf6909e5b42bbb8f2df648435a","2013-03-17 22:22:34-05:00","Adding license
"
"266abed2259e636c79ae218f85550c5088142f69","2013-03-19 05:50:32-05:00","Adding streaming functionality and adding source via URI.
"
"d32aa81e9f2b200ca8559d2a335060d999f49cf8","2013-03-19 06:00:40-05:00","Merge branch 'master' of https://github.com/TheRealFalcon/Prestissimo

Conflicts:
Readme.md
"
"3596acef6d4ad1bb8c93452649986a77c963254a","2013-03-19 06:07:20-05:00","Remove streaming limitation
"
"e31e7be56f96b7f9bcc64bdb4560aeea7484b34a","2013-03-24 21:30:57-05:00","Updating Readme to link to play store instead of APK.
"
"19fdfbfa61f7e5a3ea4f34888d0e8fe9c032530c","2013-04-02 09:07:04-05:00","New version with no queue timeouts and a looser 'end of track' requirement.
"
"2a661a41a642f9567703f31bc2d5e28d0d8dd3d7","2013-04-02 09:11:00-05:00","Removing apk in preference to play store link.
"
"3d5678e03531947d444ead62d5977310a201a3b6","2013-04-02 21:07:06-05:00","DoggCatcher fix.
"
"4031f54b198a97764ebcceeb9a59fb5f16caa07e","2013-04-24 21:19:48-05:00","Updating queue buffer timeouts to peg CPU a little less
"
"e1a0d59a06e4dae9f412ad06e2449d278fe06787","2013-04-25 13:49:05-05:00","Stupid me left in some print statements.
"
"66d460cf44c68381350fc90d0e32ff3f77f709d7","2013-05-01 20:26:51-05:00","3 major changes:
1. Add a lock to the seekTo method so that multiple seek threads don't stop on each other.
2. Prevent thread from getting interrupted if waiting on decoder thread.
3. Destroy method for the service...which should have been done a loooong time ago.
"
"9e4d07f19fa906b100abfa083539fcc39e9e9b3d","2013-05-01 20:37:36-05:00","Revving versions for play store release
"
"161a07c8eefe4885557adf42384a15c5c515a0e8","2013-05-17 21:29:47-05:00","Bug fix and better logging
"
