"commit id","commit date","commit message"
"808700e0e7d3742633dceb1c734242af6f7f7fe3","2012-02-14 22:30:17+00:00","Fixed colors/formatting.
"
"d62fb8a63b4f5a75d982f33a9b378d2a3f783c58","2012-02-15 22:47:33+00:00","Fixed another formatting bug relating to consecutive identical indicators.
"
"ee012b080e309a08ca57170c8171f69129ecb5fa","2012-03-13 02:37:29+01:00","fix some crashes, some ui niggles
"
"7b2dce472fe28d445f4691e07b7a84b62a6fd728","2012-03-13 03:23:16+01:00","use a separate status and icon for when we are still connecting
"
"09b071769496c3648a57c57a29307feff1999783","2012-03-13 03:57:15+01:00","fix removing of notification from shown highlights
"
"6d393fc000a423cb0741cf662c3c20d484187ccb","2012-03-13 04:33:18+01:00","remove the useless wakelock shit
"
"614c5309f7cdc1cd31a91c6c1d3f70c7a640dad9","2012-03-13 04:54:51+01:00","allow notification on connect
"
"bf64c410a0ae527505f36acaecb1c6015841406b","2012-03-13 05:31:12+01:00","allow one to set custom notification sounds for stuffs
"
"72576e6d35446492734e5ad392c1cf2a80184139","2012-03-13 05:35:00+01:00","remove unused code
"
"0882ffb93f2175a3d8d274b38a6009472435bfe1","2012-03-13 05:39:16+01:00","Fix unmarking of highlighted buffers
"
"1c8c6059b8355641078bd83153222f1e7cb91fe5","2012-03-13 08:01:32-07:00","Merge pull request #49 from aziraphale/fixing-formatting

Fixed mIRC Colours/Formatting
"
"c008e8fc9a7dd8b23fae09b798c3de8a089df105","2012-03-13 17:31:04+01:00","use different icons for offline/away in buffer view, optimize storing of networks and users in networks to speed up shit
"
"943455331c0631dbb1c74412bac3bb062a69d6b6","2012-04-29 20:54:56+02:00","clean up disconnection notifications, fix a crash
"
"077dc28f8f9bf39eb9aa63da2059d8af3bb9c9b7","2012-05-13 21:29:10+02:00","Merge branch 'master' of github.com:sandsmark/QuasselDroid
"
"516918040fe202674c3fcb9fc75260220ed376a0","2012-05-13 21:43:36+02:00","changed version number and merged
"
"46346992ec57e7f745a250cb29ed4aebd09701a9","2012-06-17 00:01:56+02:00","fixed an error with caps in buffer names
"
"5d017778b7dfc4364ebd91194a3e58d2641f909a","2012-06-17 00:02:33+02:00","Merge branch 'master' into release
"
"c29b7f84ce62ab8e47747417f9abe24df56949fb","2012-06-17 00:06:14+02:00","new release 0.5.11
"
