"commit id","commit date","commit message"
"3cb673912febfe5d6c1ef2bda3a922eb9a14fa45","2010-07-25 10:49:26-05:00","Rewrite of UI code.
"
"3c6e6d54c5c7c529c08941d68d93286515d6823b","2010-07-25 11:13:13-05:00","Added EULA.
"
"5d969aa434f38da21e6b77f37494071668799284","2010-07-25 11:59:35-05:00","Haptic feedback working!
"
"ceafc04f9ba83d46a53e0c1acddee9bf0b51d43a","2010-07-25 12:32:28-05:00","Added copy support.
"
"af6a63c38a61bc223e95dc2cf37e1e14b6f270f9","2010-08-01 15:30:17-05:00","Could this be 1.0?
"
"004357aba036084f2620c0a19a2e50540468827f","2010-09-04 15:55:32-05:00","RPN calculator 1.1.
"
"32365a29f2091410732fbbd69c73f4e239f45437","2010-09-06 22:46:27-05:00","New layout, second keyboard with keyboard shift.
"
"a63f5fc5b76eb4b6d3ee538fcc8501bbbc5decc2","2010-09-07 19:38:22-05:00","1.2 release.
"
"9298b135847cc7698ca211d3e108e60943b343c8","2010-09-10 06:11:45-05:00","1.3 with fixes for wide/tall screens (e.g. Droid)
"
"b1e30d1d364fa33617607e40b5433369501c38e4","2010-11-26 21:51:09-06:00","New icon artwork, fix for crash on non-integer x**y.
"
"0049951455d4276902417adf949d600d6c757700","2010-12-30 19:52:24-06:00","Fixes for Dell Streak, removed last button sizes from layouts, added artwork
for market.
"
"01f9fe46641deb985ff4c2f61780373f1e205762","2011-10-18 20:38:02-05:00","Move from bzr to git
"
"2942358696f2371e16d0c1fbfe5887e3a740aa5a","2011-10-18 22:19:32-05:00","Fix reciprocal bug, make landscape display 2-line
"
"40199115942978bd1fefe87e6db040211f95a5ae","2011-12-13 18:48:16-06:00","Add README, upload to GitHub.
"
"78ea439416d948285b878979d4410b50fa4dd929","2011-12-13 18:53:08-06:00","Remove some leftover bzr and Eclipse cruft.
"
"199a87f7319b685e59d6847f1ff2417613f69c6e","2012-02-10 20:52:40-06:00","Update EULA
"
