"commit id","commit date","commit message"
"ffad0667dd46161ba0565f48edebbb0177b93fd2","2013-11-05 08:43:25-08:00","Initial commit
"
"4691464d103eeafb5ebbbe79fa0144c71954163e","2014-04-16 19:41:37+02:00","Migration from Google Code

Everything from Google Code
"
"07520dd0b28376fe92bcb6030d99df8551200761","2015-07-28 21:35:27+02:00","Revert 'Initial commit'

This reverts commit ffad0667dd46161ba0565f48edebbb0177b93fd2.
"
"4c073d348e42c6fe6d2ffad3dce299369f14eb26","2015-07-28 21:36:26+02:00","Prepare fresh start in Android Studio

Revert to enable start from scratch
"
"f2ac1a92040cf06f1ad495118228bd9dde646bdb","2015-07-29 15:24:49+02:00","Initial Android Studio project
"
"8354aa32ea5ec6ccf09e0bddec28fa7b7ca96419","2015-07-29 16:22:44+02:00","Added logic initial package
"
"f859f1017345b6210e726bf01420914cabda98de","2015-07-30 13:14:53+02:00","Initial main activity: settings
"
"b46b4d466801bd7621a3ee747b7a5ccaca23253c","2015-07-30 14:26:36+02:00","Color boxes created
"
"3be6e4b2d376a3b9269ecb9705694ef47a2b2e0d","2015-07-30 14:28:06+02:00","Create README.md
"
"40719455238598ca48d5efc823dde153708fb80c","2015-07-31 19:51:26+02:00","Changed to gray default color
"
"a057f49e63d81ccc5ca2df5f4c0343f5c58e3684","2015-07-31 20:22:17+02:00","Added settings class
"
"bf51c2068daaa045584fde919d37a8cdf961abdf","2015-07-31 22:56:25+02:00","Merge remote-tracking branch 'origin/master'
"
"d264ee111ef10edcbace69cbf14ac896a2dbc22e","2015-08-01 09:58:16+02:00","Setting passed to GhostingActivity
"
"6b9db8fcd9576495ed438b7b65170d8f43ee500c","2015-08-01 11:00:10+02:00","Updated Ghost class
"
"af644ccc4bffa27d8823a46021770f736112b948","2015-08-01 11:00:47+02:00","Passed params to asynctask
"
"00c82405d8cd6c3f0e4a39cb1711880b2acb2693","2015-08-01 11:39:28+02:00","Countdownsquence working using onprogressupdate
"
"3268fab39b0646a602474248222835eaec1ba45e","2015-08-01 12:01:19+02:00","NextCorner works
"
"00c186d5d1ad63d1767467188908ea5844e59362","2015-08-01 13:44:36+02:00","Added results activity
"
"ddcd562d40dcf98a2f27edc3ec8382cfe0a39c7a","2015-08-01 21:56:08+02:00","Callback on finished ghosting task, started new activity.
"
"a762471eb1d524b25fc4627e71d42b40494f19a7","2015-08-02 10:37:43+02:00","Polished GUI, added parameters to summary intent
"
"90c220dcd95c53692337e214b6ef0e35094652d0","2015-08-02 11:03:04+02:00","Polished history presentation
"
"7472049efbad34a5ef6d97d274b43f28ce033700","2015-08-02 11:57:50+02:00","More info printed
"
"8bbb49f707eda40caa25c72559e97eaa2b578d5e","2015-08-02 23:22:20+02:00","Changed to red/green colors
"
"9aa22285fdf86e6e643663ef326cf8ad302432c6","2015-08-03 08:49:52+02:00","Initial javadoc and some cleanup
"
"3e4f6112e04e9262880694f9fddcdc860b122822","2015-08-05 23:09:43+02:00","Added a toast message between sets.
"
"fc4ba8c757074a200dd0b0ab8f3a43e7a8e2eac5","2015-08-06 00:11:39+02:00","Resolved issues 2 and 3.
"
"d1eff7f361c4a81493ab760ffbf729f731697dcb","2015-08-08 22:56:55+02:00","Changed keepScreenOn to right activty
"
"906479296f3ee555924df3b1160ace5a70840bf9","2015-08-08 22:59:46+02:00","Fixed author comments
"
"e9ad6db670bb757b2cf224256a7079ea8441bdf8","2015-08-09 01:00:58+02:00","Added LogHandler
"
"f612796443373e9508df75fe84f728811d326da2","2015-08-09 17:39:29+02:00","History logger fixed. Interval setting changed to milliseconds.
"
"8e2af6c5506d544bd4b7fa6a343966b30fbc74cf","2015-08-09 21:44:19+02:00","Added cancel(true) for btnStop. Fixed break between sets.
"
"a12380cf34b6f6f2e68f16b5ce2fe45508f5bb91","2015-08-12 10:24:09+02:00","Forced screen orientation to portrait.
"
"ca1315af99799a43608eecfa0fc4f9575533aec2","2015-08-12 16:01:04+02:00","Forced screen orientation to portrait - FIXED related bug.
"
