"commit id","commit date","commit message"
"e075ea6473afc12b392ee207647a9cb11e4bea4d","2015-10-21 20:49:24+02:00","Updates for release v.1.4.0
"
"c18184d8a4cd0e49e5358e62e1b5409517f652d6","2015-10-21 20:50:22+02:00","Update README.md
"
"7ad934f7432f4438a824b2e6eff04cc8abbd89d7","2015-10-21 20:51:58+02:00","Incremented version to 1.4.1
"
"a71f9d424c528b274c3731c14f28f92c0f8219ea","2015-10-21 20:54:33+02:00","Update README.md
"
"46786d0412c296090f650e49bea34c09d696dbd8","2015-10-21 20:54:36+02:00","Merge remote-tracking branch 'origin/master'
"
"4c4caa85541456bf9050766403a9dfc0283edb53","2015-10-27 09:57:42+01:00","Issue #25: Fixed the logger, now also (BA) is presented.
"
"92fcb1efd2575cbd72ad62fc473ae2863f069c32","2015-10-27 09:59:47+01:00","Merge remote-tracking branch 'origin/master'

# Conflicts:
#	app/src/main/java/com/markusborg/logic/Setting.java
"
"2d7df06d1ce83d879b0ce17bdced03fe393ab141","2015-10-27 10:01:55+01:00","Merge branch 'master' of C:\Users\Markus\Documents\GitHub\RacketGhost with conflicts.
"
"7549d30011416aa213c54b50885279b444a76aa9","2015-10-27 10:06:03+01:00","Minor edits.
"
"c3b1b64e9e93cbf0d292ee0d6da1090980ea8a06","2015-11-23 14:13:40+01:00","Issue #26: Added a listview and corresponding adapter to ResultsActivity.
"
"03048fcda09ea56354b808a52a114e314f1690ab","2015-11-23 14:17:48+01:00","Incremented version number prior to release.
"
"12073580a727719fb6199e8615dda1778c0c1303","2015-11-23 16:59:55+01:00","Update README.md
"
"29430bac998d47433474d71d5c2a663531915e1d","2015-11-23 17:00:17+01:00","Update README.md
"
"2fd20a27d48dfa204df2d458d8a654e3b7018d93","2015-11-23 17:01:15+01:00","Incremented version to 1.5.1
"
"588ffe3dc48b0e2c6554c47d8d425718a7a569f2","2015-11-23 19:16:54+01:00","Issue #27: Added first checks, but more needed.
"
"c7005182630233b2f077a831c3fc97781b44cb32","2015-11-24 15:46:43+01:00","Issue #29: Disabled EditTexts
"
"074fffd6139a7edf400470f4f0fb18ce4887d27a","2015-11-24 15:53:19+01:00","Issue #27: Improved string checks
"
"98c4cdec1d6e02ebb41706c4a654f95996d3260b","2015-11-24 18:43:17+01:00","Incremented vesion number to 1.5.2
"
"4e1f0d3ff2678c3dec36435aa0684baf28ad7892","2015-11-24 18:45:12+01:00","Update README.md
"
"c7b9a13733446448e38861b7cba7ad24ed9f7794","2015-11-25 19:22:42+01:00","Issue #31: Added default integers.
"
"3c05d3cb5a2c556e2b3c73a99555733fd3970d0f","2015-11-25 23:21:47+01:00","Issue #30: Missing call to getResources() added.
"
"f3e2d9a448783fcfee26de69e5c4fc7eecee25ec","2015-11-25 23:27:00+01:00","Incremented version to 1.5.3
"
"8b6a2395e87acd579606f6a33ca6b9409879b77e","2015-11-25 23:29:10+01:00","Update README.md
"
"8371252eea23df122be8e88e7015fb45654997ef","2015-11-26 21:25:00+01:00","Screenshots added

Screenshots for v. 1.5.2 added. Uploaded to Google Play.
"
"a025b03f02bfd931cdcfea029b8bdd79a5232ff5","2015-11-26 21:25:08+01:00","Merge branch 'master' of https://github.com/mrksbrg/RacketGhost
"
"764ed998389ab1aefa84e42f2f2872d94cf85f49","2015-12-22 09:24:27+01:00","Issue #32: Initial step toward solution ThreadControl
"
"63edd097778ec4e198862503eff178bdceb0f5f0","2015-12-22 22:38:07+01:00","Issue #32: Finished threading solution with ThreadControl
"
"a7ba2beb6be82a48c95a4a2d72dd8e992a475e8b","2015-12-23 00:38:37+01:00","Issue #34: Updated SeekBars
"
"5a92e23828bcd64c9bf10c2c140ee9ef53eb7e64","2015-12-23 10:02:23+01:00","Some pretty printing
"
"ea984988ce34ff8102ebd04fb81fcf75972f87f3","2015-12-23 10:33:19+01:00","Incremented version to 1.6.1
"
"8a925da63e3ad02b793d9a1a48836dcd4efadfc2","2015-12-25 11:27:35+01:00","Issue #35: Initial background solution
"
"f69edacd383c4d0df47def36fc91e5c327355831","2015-12-25 11:59:02+01:00","Issue #35: Images added to repo
"
"0c7a64d266c12ec5cc5d46e186edd9f799b98936","2015-12-25 12:28:55+01:00","Issue #35: Slight polishment
"
"e32400721c7ead26291a2b2f2eba4deab95adc9d","2016-01-02 21:31:59+01:00","Added logotype source
"
"e707b03d792c6b0d9b1babf023cc4131c35b6fee","2016-01-05 21:04:27+01:00","Moved graphics, e.g., screenshots.
"
"a834b59dd747bacc4138bd92f491fb919f3f221a","2016-01-05 21:51:01+01:00","Issue #35: Added improved ghost figure
"
"771747e0c164b3af85220bd5a74e79ef9a2c4775","2016-01-05 22:16:28+01:00","Incremented version number to v. 1.7.1
"
"1d4e68ab24dee2eaa308df5776fec1053411fe68","2016-01-05 22:18:37+01:00","Update README.md
"
"c7fce4fb675d998cee1501bfde54405bc92711ef","2016-01-11 19:23:43+01:00","Issue #35: Added improved ghost figure
"
"d7839befdd6fb1bca2f2812ee2f1e6f49a16de97","2016-01-11 19:27:22+01:00","Issue #36: Changed text color to black.
"
"65a6dd5c3cede48dcec5d42f00670b64e6f337c6","2016-01-11 19:29:02+01:00","Issue #36: More black text
"
"e325fe08faff88eada79072f2c22d5be4ea039d1","2016-01-11 23:06:48+01:00","Issue #37: Replaced the About Box.
"
"7ef1e5c6b4b36237b7af523d414de85218e19754","2016-01-13 19:43:39+01:00","Issue #38: Updated the RacketGhost icon
"
"a344059c0cb631f4a6d6aefbd4ccb42a6ad2cca3","2016-01-13 21:10:30+01:00","Incremented version number
"
"8948c17952b3c74fcbdf12c0546b8ad7d61a86e9","2016-01-27 17:05:09+01:00","Issue #40: Added new click sounds

Added recorder racket hits.
"
"932d4ec7640738a32aef2e6d1badb6cd6f601208","2016-01-28 17:07:43+01:00","Update README.md
"
"a391a03576ca309e9b61f0973108e92b9e54f8de","2016-01-28 17:08:36+01:00","Issue #40: Updated sounds
"
"c30674ad3d61071d820ff98dad988e6d675e0b92","2016-01-28 17:08:52+01:00","Merge remote-tracking branch 'origin/master'
"
"34e27a57ad36b0210be7b304e6131e60ed29ae65","2016-01-28 17:09:38+01:00","Issue #40: Added sport specific sounds
"
"91c95d3eea36811d590e11582d7dc842ba3b7ed6","2016-01-28 17:09:58+01:00","Issue #41: Added stereo effect
"
