"commit id","commit date","commit message"
"30d23354ba70a625b9a93b81b51eb259aae67b65","2013-01-13 05:59:17-08:00","Initial commit
"
"9a18518c23eba440e51985a1e51c3cc69f899049","2013-01-14 23:09:46+01:00","initial commit of new project
"
"ea52153d3e76df96ab8aa3c591cec70c7c0e59e9","2013-01-15 02:16:41+01:00","basis radio support with top votes list
"
"bb873d772114cbe191088d309f68bda3b40e5f18","2013-01-15 20:26:33+01:00","added m3u and pls decoding support
"
"bf1712a8d269a0d7be6e53e45211a51493f644ef","2013-01-15 22:51:37+01:00","added topclick list
"
"716a7d978fec220476e16652845b5a2e5b86a3af","2013-01-15 23:44:08+01:00","changed to simple 2 column view
"
"f19ad01758bfba816318912269323fbd443aeafe","2013-01-15 23:45:43+01:00","removed unused layout
"
"8b69deb7fcfdf0bd041732c9cae09a27325435a4","2013-01-15 23:46:53+01:00","removed unused layout
"
"3de7814e1945561e1b1f93a261556fb803b3f83e","2013-01-16 23:25:28+01:00","renamed package, added player service
"
"330f8b3c450ad05275f42cc8ec7c40b8043e1406","2013-01-17 00:24:37+01:00","notification changes, smaller icon
"
"cad39d3343372964ec729332e771ef19af806965","2013-01-19 20:53:27+01:00","set version info to 0.1
"
"e2859d479cf6266752bac2ac6f6214352828d03e","2013-01-20 15:13:14+01:00","added icons to list
"
"d9004f694471734785f79ef36b5e3e68b0df91d1","2013-01-20 15:28:06+01:00","more error checking on play service
"
"3e42e276be96c5d5613cc680b1b3b1c28ad1c69b","2013-01-20 19:37:10+01:00","set version to 0.2
"
"a3ef502383310924bffed885c65d6ee12c707289","2013-01-20 19:37:18+01:00","added image caching
"
"ca2bb71b9b1da750e17d17f8725f421cc74bc083","2013-01-20 19:56:27+01:00","added todo to readme
"
"333851dbf00a05022ddb357af8c004b6b0a6c04e","2013-01-20 19:57:31+01:00","readme update
"
"827fb711a49f7d0b2d72ff11701b5c508aa2f065","2013-01-20 20:00:25+01:00","readme update
"
"3508340e97bc9c7929fb6bd60d9f7cab8f26e1f6","2013-01-21 00:16:16+01:00","added basic detail view with translations
"
"0d055628c95fdfc53c44cbdbed9b42c33aaa6473","2013-01-21 01:29:13+01:00","added detail view
"
"b3ee583fc6bc6b38f592ed3e4c738b73b17f59de","2013-01-21 23:02:06+01:00","clickable www details field, start detail activity from list
"
"d326f95604e401d6609e1f05f15201d326da13de","2013-01-21 23:21:49+01:00","version to 0.3
"
"71b3964094f755ee4c167643c37facd707cb1fb3","2013-01-21 23:35:26+01:00","remove query string on decoding url
"
"b0b1bb9aeb430e7c7d21d0db742eb6085a94cd5c","2016-03-12 20:30:04+01:00","Create LICENCE
"
"3b0e91a0c06edb8a387df96bda8abee5fd15deb7","2016-03-21 22:19:10+01:00","Reimported as gradle project
"
"aa774a8175b310c2d14a4c5a2576b07e720acd50","2016-03-21 22:31:41+01:00","Support lib upgrade
"
"c7b2f0cc1614faf87cf2932041fd67ee69d9c1e4","2016-03-22 01:00:40+01:00","Renamed to RadioDroid 2
"
"4beefe7eeb033dcbd2045ddddf1a6ccb6a43ed56","2016-03-22 01:15:50+01:00","Added pictures
"
