"commit id","commit date","commit message"
"246135deae1eb03e3187e96ae42b9262024c4828","2010-10-02 18:40:13-04:00","[maven-release-plugin] prepare for next development iteration
"
"466408297a91be9d9af5b032fae4e63eefc97c0e","2010-10-03 01:19:39+00:00","nothing
"
"7afd53e655927bb412625c63b014cdce356ee05f","2010-10-03 01:57:05+00:00","a fix to be able to run Junit tests directly from Eclipse Junit runner
"
"cc28f637012cb0aea5e6e9b5e962b409afb95976","2010-10-03 02:16:23+00:00","version 1.6.1
"
"27a110a02b4bbad1f16ec60acabda743697b4934","2010-10-03 14:53:42+00:00","versi1.6.2 : critical bug fix for cache paths #75
"
"5572a06edcf867ea2fc30ba52d6bbecf185cc205","2010-10-26 01:53:13-04:00","moving one folder up
"
"1aac459b24034645ccf7a52037615e0c69a47869","2010-10-26 22:48:53-04:00","refactored to a maven project
"
"f48d2c3850aeb3c07d365e121c99d5193b09973e","2010-10-26 22:51:57-04:00","refactored to a maven project
"
"f60c843cf6e92d8f4955d489009718f9837f3946","2010-10-28 01:30:50-04:00","created an interface to regroup all remote operations
"
"d64f87f7985cfc6edbaa199e97422047758f30e4","2010-10-28 02:20:23-04:00","refactored package names to start externalization of remote pai
"
"5487da69887c4a4615e43ebf8bca306108283a0b","2010-10-28 02:31:31-04:00","externalization of the common api
"
"27d26c1463fffdc50d5c3e0e0ff9157f8bdc5fc6","2010-10-28 23:01:21-04:00","create new directory
"
"ad898ec7b14ff62b634e7203d0cd874545997c99","2010-10-28 23:03:50-04:00","adding g2-java-client and commons-gallery
"
"ece609ec59bce1c13dac2466f68caf4c355c93f5","2010-10-28 23:22:59-04:00","adding regalandroid-parent
"
"5ce3bfa27ffffb43c75b8d6d831975171097ff38","2010-10-28 23:43:35-04:00","moved README to the base
"
"9ce52fbd022d043e5c9dd55e7561c8b7916b07b1","2010-10-28 23:55:42-04:00","fixing projects creating all the maven standard folders in src
"
"db29d2af8c959629a3dfc9552ad0e600c750d534","2010-10-29 00:01:28-04:00","fixing projects creating all the maven standard folders in src
"
"6eb9a1ea9f5ec879167b664b702cb5bb6de4789c","2010-10-31 15:31:27-04:00","moving the unit tests to the g2-java-client and common-gallery projects
"
"6cd1be715cb409bc6a13daa29137e67f811bf43b","2010-10-31 21:45:01-04:00","adding list preference in Settings to let the user choose the type of gallery, adding the source maven plugin to create sources jar
"
"f1cff979e9815ad94f86882b78af9076df8ffee2","2010-11-03 01:00:24-04:00","added getSubAlbums functionality
"
"55a75a692405515447b9fada67448c2fa9c26b1a","2010-11-06 15:08:05-04:00","adding new findSubAlbums method
"
"e7b94bf72b762ebced8cae6e8b5b79f7c8c9f02f","2010-11-07 10:10:11-05:00","refactoring for AlbumAndSubAlbums started preliminary tests ok
"
"1cdb7afaa10a371182e54008a14a94f32cd2c266","2010-11-08 22:35:10-05:00","adding g3 support to ReGalAndroid
"
"9316bc12b387aba8bba92796699238332f9fe9af","2010-11-08 23:02:37-05:00","Merge g3-java-client as a ReGalAndroid sub-project
"
"df279d5b568913f18477a96ab30e44f4fe6b79d2","2010-11-08 23:07:32-05:00","Adding album and direct sub albums fetching
"
"846cd8de8ef8a1ff925de4430bdbb730dcb884c8","2010-11-08 23:08:09-05:00","Merge branch 'master' of ../workspace-rest/g3-java-client
"
"630af8ee2afa28d198c7a674f9009246d72790a5","2010-11-08 23:10:21-05:00","Adding album and direct sub albums fetching
"
"de2459ea411099e8d6216dcc888fdf0cc56a75b1","2010-11-08 23:10:27-05:00","Merge branch 'master' of ../workspace-rest/g3-java-client
"
"fa91c28bcde43a8212b349a2c5da53774be2e7fe","2010-11-09 22:56:25-05:00","refactored the G3Connection back to regalandroid project + deal with g3 authentification only if a username is present; regalandroid lists g3 albums
"
"57447079bf452d12d73553729546fa755c1d591d","2010-11-11 22:51:50-05:00","g3-java-client can now download pictures as inputstream
"
"c78a47cd242eb8ca71906291f98ae8543cbb019a","2010-11-12 22:30:45-05:00","ability to get pictures file stream from g3
"
"59fe50a4c7e77474990ca32011033d17cbd3f055","2010-11-13 23:48:44-05:00","g3 albums and photos browsing looks ok- use of  anew async task to load subalbums and pictures at the same time
"
"540c6fc076408e3fcb0afb9b5e7511a837f042a2","2010-11-14 16:20:20-05:00","g2 working - g3 browse albums and pictures
"
"9119772673078d2da161427747414fd6e00dc54e","2010-11-14 18:37:56-05:00","adding the jar signer configuration to pom and updating the README
"
"4bb856ac9f3b03e35aedf37cd2b37ddd51e3a576","2010-11-14 18:38:53-05:00","adding the jar signer configuration to pom and updating the README
"
"5df2b084b5d9646d5d272c83cbb42d47d79535ab","2010-11-14 18:39:32-05:00","adding the jar signer configuration to pom and updating the README
"
"348a91b29521bf952731caaeea6067d6182f8f29","2010-11-14 15:40:40-08:00",""
"e5c8f765250dfeb14f0cd35f3fa1be0bcda2024f","2010-11-14 15:42:54-08:00",""
"997cd4295b0825b3f636fbd4e2514bbe450f4230","2010-11-14 15:44:07-08:00",""
"165394949626a794d09d37816e54acb3de59fb2c","2010-11-14 15:45:14-08:00",""
"8759d47c3d7f207ce6c664966bc348f2d06588c7","2010-11-14 15:57:52-08:00",""
"ef479c606b280d8ce2ef230b0d0714d9e41c7778","2010-11-14 16:06:51-08:00",""
"3c8207c1067da363842b91fce7a5952befd88f40","2010-11-14 16:27:31-08:00",""
"590aaab75905b895b5852f25ae665d3fc25f0f58","2010-11-14 22:43:32-05:00","began refactoring of g2connectionutils to make it a standard gallery implementation
"
"8ed8ffcbd29179b5b33168e443ed68e498cd564c","2010-11-14 22:44:00-05:00","began refactoring of g2connectionutils to make it a standard gallery implementation
"
"f1f0044330c830e1c8669ccb616daccc9f157e50","2010-11-14 20:38:45-08:00",""
"e14cfc2de643be6069291b442e3427e5038ce161","2010-11-14 23:59:02-05:00","remote gallery interface refactoring : no need to add galleryUrl on each call as it is already provided in the constructor
"
"bcc3847ec4c3f98fa73e13dbbca618df688905f8","2010-11-15 00:00:06-05:00","Merge branch 'master' of github.com:anthonydahanne/ReGalAndroid
"
"2d367e6ce6bc44739af8af0e19d0d86f29cc5a15","2010-11-15 00:53:31-05:00","adding license info
"
"771d44e61328b74ecb9a01302e545188464de8b9","2010-11-22 01:08:45-05:00","adding logging with slf4j-android; stubbing piwigo; replacing g2 strings with regal
"
"a82fc4f9187eed3f1e2d9e0ae45066e646d005b7","2010-11-22 01:11:55-05:00","adding logging with slf4j-android; stubbing piwigo; replacing g2 strings with regal
"
"7fb8ac985e3d526affb93fc0c3ece048f82de8cf","2010-11-22 21:52:30-05:00","adding jiwgo-ws-api as a new module
"
"49800a5ec3c0889b355535a4d92395e469f09187","2010-11-22 22:34:41-05:00","replaced commons logging and log4j with slf4j
"
"1d3b44f5dfbeb7dd077897fec691de48521140da","2010-11-24 22:49:17-05:00","fixed the path settings, issue #1'
"
"f0de34dd03e44445c6f7a4cbd966f16ec70c04d4","2010-11-24 23:37:23-05:00","fixed issue #2 : incorrect download path for save picture to phone with g2-- fixed exception handling in g2connection
"
"32b3a70c31401bcab24f5c0929a7c79a17e2f45a","2010-11-26 01:12:37-05:00","beginning to add Jiwigo support, getting categories ok, but authenticating does not work because of cookies
"
"6410cc8a12246745b19a102da5dd2c92d326b9f9","2010-11-30 18:11:49-05:00","making jiwigo use httpclient 4; removing singletons; adding conversions methods between jiwigo and commons-gallery; regalandroid now browses piwigo galleries
"
"d71a1036dc82cadffe5cb7a2f89e27599a91dcf8","2010-11-30 18:42:48-05:00","removed the final remoteGallery instances that made switching galleries non consistent
"
"293b09a1ef71787df730cb6883ee1fa9538d3c57","2010-11-30 20:04:54-05:00","fixed issue #3 : resize_size false, with a test
"
"8c2711993fdc45f4447365bfbbed32ea3fe6b939","2010-12-04 00:01:47-05:00","cleanup of unused files, replaced strings g2android with regalandroid
"
"385109de7eff386e108d1797b6394aba7bb1f67e","2010-12-04 01:21:15-05:00","piwigo support for authenticating, browsing and viewing pictures : first shot
"
"c4cda1b6f81016c7e46cf79c9690816e3efbe0f8","2010-12-04 16:06:09-05:00","fixed a unit test, reviewed piwigo texts
"
"32073b2f568b1ade2569890de4f61e585bd7b1f7","2010-12-05 18:53:24-05:00","new art and screenshots
"
"fa76d8b2f89d303ad160992c15a74471c63ba0bd","2010-12-06 21:10:21-05:00","pictures as HashSet instead of ArrayList, for unicity
"
"2670c7e502d97277e7eb327463750237e148b1f1","2010-12-06 23:15:44-05:00","adding readme for art
"
"dec91bb18d26b8aca25ff3ad46c4c4429afa5a27","2010-12-08 23:20:03-05:00","fixed issue #11 , plus added pictures count in album activity
"
"fad7f442856fa98292504f3e53d087b6f6a743a8","2010-12-12 23:45:06-05:00","jiwigo api : stop using singletons; jiwigo connection : creating a new httpclient for each file download; ReGalAndroid file download : using the filename for saving into cache
"
"1817460864813a8cd3d7ba6a3bc5ac6c515ec12c","2010-12-13 23:35:01-05:00","added new public url for Picture, to fix issue #7
"
"6270336ff496b9ea858e2918945a830c6b4fd5cc","2010-12-15 23:51:15-05:00","using resized picture instead of full res image to share photos
"
"9af7539be1b54c149bc00ff40ae7fb1d98bfdf68","2010-12-19 11:56:49-05:00","new firstime activity
"
"565fb70078ff0f6ce76b932365e2d8f355b0597a","2010-12-19 11:58:51-05:00","new firstime activity
"
"95726238f15214541d5b43e2cac2d702104324f7","2010-12-19 22:50:11-05:00","small bugs fixed : fake album took precedence over its real counterpart
"
"893bcbf5b0c7e6226db0cafb7e15e0db2e846c3a","2010-12-20 23:30:36-05:00","compatible with large displays such as tabs
"
"dab85cd607e6755e3446a2e8975395f8371f87ec","2010-12-21 01:53:35-05:00","relooked Start activity to have a unique layout between portrait and landscape , because of the rientation changes problem
"
"2a9c2034c06a2b1dd6a340d077f89d759aecdc9a","2010-12-21 02:04:14-05:00","using the latest maven android plugin
"
"f8ceb3d659dffb79dc34d6a0c9e405c83769ead6","2010-12-21 03:06:03-05:00","official 1.0.0 release
"
"b8dee31d79db9160f0c40017ef250d5191bca61f","2010-12-21 03:08:02-05:00","official 1.0.0 release
"
"181cf9ea018678be4c5aeef4eb79c244fb95a63d","2010-12-21 19:43:42-05:00","qrcode to the android market
"
