"commit id","commit date","commit message"
"69c922468cd2188709fde7996213fac92891fde7","2012-07-27 08:14:34+02:00","Improoved security while downloading the files
"
"3b8eb36b13902e6c54f21db31dd1f686463441a2","2012-07-30 08:08:27+02:00","Added QR-Code Reader to SASAbus (busstops)
"
"e4a400744fa35cd3c6481dd41c28def425c447fa","2012-07-30 08:12:10+02:00","changed http-download into ftp-download
"
"2ab72927938cb7b09586513d46943ae63c02e700","2012-07-30 11:05:27+02:00","fixed some bugs for reading qr-codes
"
"1a7fd8bb66ee2a4ff85e643776cd952d8080ac28","2012-07-31 10:17:17+02:00","added osmanrender theme for rendering map
"
"dd90dbaec2e39e465ad612fc318b56c96e030583","2012-07-31 15:43:06+02:00","displaying time of lines when working in gps mode deleted
"
"d8c3c35c8fa285379b06e5cdaa84482074d8a73d","2012-07-31 16:09:41+02:00","added cmaera check before launching qr-code Activity
"
"645f5eb13b2827597c7049d8a921b6eecdc1c975","2012-08-03 08:16:22+02:00","added message when reading non SASAbus-related qr-codes, fixed crash when asking for lines in gps-mode (or qrcode mode)
"
"12a69387e119a384abaaf17cf505b2675109c7cc","2012-08-03 13:13:44+02:00","added timezone converter when updateing the database md5
"
"e829d5f49280a12c2e65c4b3824452d779d5df66","2012-08-17 13:12:06+02:00","added favoriten to modus, added some features related to the qr-code activity
"
"8e598049de8149267297f1015c9cefa48f8f9944","2012-08-17 13:29:34+02:00","fixed some bugs
"
"4b78a52188d5ab09ccd4454bb761edec2f956a44","2012-08-20 08:24:28+02:00","changed line-sorting-mode, 202 != 2, 202 >> 2
"
"fa44c2e7e72ae75fd06b9b37622a8a066539f9d6","2012-08-20 08:43:55+02:00","added some debug-code
"
