"commit id","commit date","commit message"
"ec194e387ff8d6fd3947d3f4e4c0984a0d6d3704","2013-08-17 00:30:02+08:00","[init repo] first commit
"
"7651bc9f9ff1806a17dc76dfe8a72c989e2a74ad","2013-08-18 01:02:04+08:00","[feature] add repo file explorer
"
"9d9b26372bda78238cb8e237f053bf653af9548c","2013-08-18 23:45:36+08:00","[feature] add repo file explorer back
"
"35f47536d85144f438679e82d3c2f06ad60cd0ee","2013-08-19 18:07:43+08:00","[feature] add commits list
"
"45f9361f072f3c86ab6722eefaac265c674afdd4","2013-08-19 23:08:45+08:00","[feature] view file
"
"10b09e065d426ce97b9f7d99020231236c6f69bc","2013-08-20 15:38:15+08:00","[feature] repo list
"
"6a204f87bf2082e45ad0dbbe2431e08a7b0cd61d","2013-08-20 21:40:16+08:00","[feature] repo list
"
"60e4da1521776909886e374b08816b26fa96740f","2013-08-20 21:41:19+08:00","[refactor] remove clone dialog
"
"8cc1259bfade76084dbd133759b91b526eb3303d","2013-08-20 22:32:34+08:00","[feature] delete repo
"
"c0bc6a13877310dbe3b1000b7926696dd548d40b","2013-08-21 11:44:01+08:00","[feature] pull repo
"
"e9e9a60784615453ab4ccaf0ef282ff69b771bd5","2013-08-21 22:52:14+08:00","[fix bug] restore repo detail
"
"497b2d1296d0fb09797b168a999ef2a2e094af88","2013-08-22 01:28:18+08:00","[feature] add line number
"
"c8307f64c58c4fe8f72693c7fdbea0e25bf6a705","2013-08-22 10:36:15+08:00","[feature] username and password
"
"d47577841e48aef42fb7d651651b99e44b3978bc","2013-08-22 18:11:07+08:00","[feature] private key management
"
"e8ef5415283849b043dbfe8327ea88451156cf52","2013-08-22 23:51:09+08:00","[feature] error notification
"
"176ee2e776ab293560e88134095fb2474e6b81e3","2013-08-23 00:09:30+08:00","[fix bug]
"
"1a58a23a7a58b1394b974bf01c1b5c685d013165","2013-08-23 11:24:07+08:00","[feature] umeng and feedback
"
"393c6bed0eed4b9fbd1788f730b65dea53caf010","2013-08-23 17:01:46+08:00","[feature] ads and inapp billing
"
"4a20b6df721a9097832c0e16fe9dcac92c88c63e","2013-08-23 17:42:51+08:00","[fix bug]
"
"5e3ea75de55e6e4405c9d73aba01291a234bcd10","2013-08-23 22:16:52+08:00","Merge branch 'dev' --- V 1.0
"
"ed1fc5030083cec212d6c1050d1d5c2c39dbc29a","2013-08-24 00:44:24+08:00","[feature] improve code highlight
"
"78ee4ca7de3b6495edc36d61663aa169df299e8d","2013-08-24 12:15:59+08:00","[fix bug]
"
"e8dec8aabb153435048090430b49e1768ffb2185","2013-08-24 14:41:20+08:00","[fix bug]
"
"ce538828f11a70db886167538324ca1d1430646d","2013-08-24 14:59:35+08:00","[feature] manually choose code's language
"
"333c571b7e5384a91b85752d2f5f8386af482065","2013-08-24 15:01:09+08:00","[feature] manually choose code's language
"
"ee66835e4c651e170d1c58a7fb79d37db33b6af7","2013-08-24 15:04:41+08:00","[fix bug]
"
"e8276c920fd28ddf2019df9ca7e988b29560d130","2013-08-24 21:59:04+08:00","[feature] diff (not finished)
"
"375eecf4fa4ac887d6711fed5afeddd2a98bbbf7","2013-08-24 22:09:37+08:00","[feature] diff (not finished)
"
"e5955a86f6cfab59515fa8afc2cd2f2373047241","2013-08-24 23:33:23+08:00","[feature] diff (not finished)
"
"a7cb581dc0ea68db6319d0eed174eda790efd22e","2013-08-24 23:41:53+08:00","[fix bug]
"
"85945ae1884aacaf2976937bbc63d062c3a546af","2013-08-24 23:42:21+08:00","Merge branch 'dev'
"
"cde1a66fd36ed7e7d3789d9042f0e503cbabc27f","2013-08-25 00:02:16+08:00","[fix bug]
"
"e1b935df30f5d4f676ffbcb4118403f64b61a187","2013-08-25 00:05:57+08:00","[fix bug] reset after pull
"
"17c62036af69fc1ba483933b90c1c34b11ad4c30","2013-08-25 13:26:03+08:00","[feature] support 2.3
"
"2626ac5b92ea64e90724bce246bb4732cbe19c5d","2013-08-25 16:30:01+08:00","[feature] support 2.3 fix bug
"
"c9f8993a380b0dbbf5fec6ff56c8d36a09d97a0c","2013-08-25 16:33:11+08:00","Merge branch 'dev'
"
"8871336378cd21cff577de155380b82e506bcc52","2013-08-25 16:34:24+08:00","set non debug
"
"c2ea592f4da4af1a424737719f55fd0eb8a32f3c","2013-08-25 20:19:42+08:00","fix inapp bug
"
"fa09f1ae08bebf4633d6daa213607df48117b4ff","2013-08-25 20:19:53+08:00","Merge branch 'dev' into version-1.0
"
"a04ba7a482b1448ab24274518dbae5a30c1ac7af","2013-08-25 20:31:06+08:00","fix inapp bug
"
"ceb46a30ce675a473354b6c85fa04fdf70f22922","2013-08-25 22:44:31+08:00","fix inapp bug
"
"115cc62ff2e467f9978dafda7557ed5091c63b4a","2013-08-26 17:48:56+08:00","fix inapp bug
"
"2b16e79af75f5e6ae577376496213f6066aba1fc","2013-08-26 18:03:37+08:00","[update] update version number
"
"b5ecae1eed563f2f5691bccabb6df5d479028ad5","2013-08-26 23:24:23+08:00","Merge branch 'version-1.0' into dev
"
"c090d8017852e7d719f5a649519d2323c6e7fc31","2013-08-27 18:14:25+08:00","[enhance] enhance file viewer and diff viewer
"
"6433989cb749b9334b022ffea803879760f55ff2","2013-08-27 18:15:21+08:00","turn off debug
"
"0eaf6671fe9f5f4683d8b2a4076417eda74ff15e","2013-08-28 16:42:34+08:00","[refactor] refactore file explore
"
"f3ac582183b686b284027dcf37813a82bb245a60","2013-08-28 17:15:42+08:00","[update] add import repo activity
"
"740aa7bbddacbc0aa33374a0d5701081c3e5d543","2013-08-28 18:09:39+08:00","[update] add import repo activity
"
"2f1629ea31bc5727f77cb69cbed351f4a1346426","2013-08-28 18:22:52+08:00","[update] add import repo activity
"
"15412a82814d8d0a0466cf227dde21f986b2a8c2","2013-08-28 18:29:05+08:00","[update] update import
"
"894274f848f17b6ea7276e32ec5f800104e56df6","2013-08-28 22:37:20+08:00","[feature] add import local repo
"
"946a24b6818e5b3a07706eccd440e0143cae91e5","2013-08-28 22:37:44+08:00","Merge branch 'dev-import-local-repo' into dev
"
"d5857535ba7bd355d0951fbcb986c5cb3cae1f69","2013-08-28 22:40:56+08:00","Merge branch 'dev'
"
"b567c99e27f83c794f962c466db7116eb5fd440d","2013-08-28 22:42:53+08:00","[update] update version number
"
"2f9cc0403a8b7cf1d9ed2fe25ce9f54a54e03c7b","2013-08-28 22:45:06+08:00","[update] update readme
"
"e49af3f33c89cac64e09f455e51e84a5b26087fe","2013-08-29 09:51:47+08:00","[fix bug] prevent two checkout thread
"
"18f3d56b14f1c3706f4c93a1a38c8e5fca0bd28d","2013-08-29 09:54:23+08:00","[fix bug] prevent two checkout thread
"
"49d9c1445087b76f715aff6984a7aa5867522927","2013-08-29 09:55:02+08:00","Merge dev
"
"ece39fdea394b82f768595e7746921c0d15b0941","2013-08-30 12:33:54+08:00","[feature] checkout remote branch
"
"1ffa4c066956664d6419cae2c44200924a3f42a6","2013-08-30 12:42:02+08:00","[update] update license & update version code
"
"d05dc0775e8d258743644c2e010a566eac69991b","2013-08-30 12:43:04+08:00","Merge branch 'dev'
"
"1786b9ea02ba6c28cd9b9ae42972a641872bafd9","2013-09-22 11:48:22-07:00","[fix bug] fix some bugs
"
"409404fc5dc71e7beb10cf8b9473021643adad55","2013-09-22 11:51:57-07:00","[update] make compile
"
"0e8959f5d477744b089adfc6b9cf2bbe9775eaea","2013-09-27 16:52:24-07:00","[update] remove ads
"
"59e2adde4d9c89586615ad27005edc319135b579","2013-09-27 16:52:58-07:00","Merge branch 'dev-remove-ads' into dev
"
"ad341177036ac4a9f865a1cf9c5b7e82d6601ef3","2013-09-27 17:13:01-07:00","[update] fix view file bugs
"
"f2d662c81b1ebb6c22a9ebafd12ac93551935aaf","2013-09-27 17:18:52-07:00","Merge branch 'dev'
"
"6202bd787c13820c9d2ba5892cd0f5cade0af64a","2013-10-03 16:42:53-07:00","[feature] push & merge (not finished)
"
"73207be170e06e587a2a4f756b1fae89f47a7569","2013-10-03 17:27:14-07:00","[feature] push & merge (finished)
"
"3686570bf53ee5e945fd57018bb144fe56e3a623","2013-10-03 17:27:26-07:00","Merge branch 'dev-merge-push' into dev
"
"20456ae8a0b6c73a834aa799ca081f236401ece9","2013-10-03 17:27:37-07:00","Merge branch 'dev'
"
"335e4507d1d9444331be42084ec112f4f88cd592","2013-10-03 17:31:12-07:00","[update] update version code
"
"cdcc89fb17c38060c861addcebe6cd831225dc8b","2013-10-03 17:31:19-07:00","Merge branch 'dev'
"
"29b7b4635b7b77bfdd01077ddb6ed393cda7432e","2013-10-03 22:38:35-07:00","[feature] commit not finished
"
"b3daf478bf62b2691c98acbcc818359cf34f1424","2013-10-03 23:11:33-07:00","[feature] commit (not finished)
"
"bac60d4f6b22ef2d11f11649ed7dbb3a54456fca","2013-10-03 23:55:22-07:00","[feature] commit
"
"cafaaca409a89e8547781e64c0d7191f99973697","2013-10-03 23:56:02-07:00","Merge branch 'dev-commit' into dev
"
"48759d224adb31406ae75cff76c19a6a797ee6ae","2013-10-04 00:12:51-07:00","[fix bug] fix some bugs
"
"d7c95ca90ca1236a2f88f85c2c7db392e1c431c5","2013-10-04 00:13:06-07:00","Merge branch 'dev'
"
"cedefee78462b47d66901d920e995b77c8fe831c","2013-10-07 15:33:48-07:00","remove something important
"
"e8460984fdbf548cbbeaa84a57afb4a26fcdfb97","2013-10-07 15:34:14-07:00","Merge branch 'dev'
"
"2b5e2ac00cbb0faafab9be705a8b0f3178e0cb2e","2013-10-13 19:03:35-07:00","[refactor] refactor and fix bugs
"
"a6279216d66b445edc18206d6e9bb9af918bd327","2013-10-13 19:03:45-07:00","Merge branch 'refactor' into dev
"
"2f055fa1ee4fe264c66cca6d1204553785697301","2013-10-13 19:04:25-07:00","Merge branch 'dev'
"
"4941e5df48633e0929df788f248d3714d99c1779","2013-10-15 17:40:25-07:00","[fix]
"
"86d2951adaadf343499e9717fea22b1760fc56a6","2013-10-15 17:42:25-07:00","Merge branch 'dev'
"
"967e7d85cbdb17f0b9162178ef6c5c4036656a50","2013-10-16 13:18:30-07:00","[fix bugs]
"
"0ed7871c65d027d38d2be09d5e051b95ffcd3735","2013-10-16 13:18:38-07:00","Merge branch 'dev'
"
"db8e186a9475b9f61939a401cbf01c72edeb2f22","2013-10-16 15:10:43-07:00","[feature] set username and email
"
"582f6af8db67611612bee08ee55649b2d83939bd","2013-10-16 15:11:06-07:00","[feature] set username and email
"
"47d74cd9252d0c8677441aee74b89483c2d840a9","2013-10-16 15:11:11-07:00","Merge branch 'dev'
"
"b4881d480c29d78fd96767a761d9e80674d20365","2013-10-16 15:15:28-07:00","[update] update version number
"
"820a9bdcd58beba15c24b0d6d35328072774a468","2013-10-19 14:24:56-07:00","remove repo utils
"
"b9201dfe8e30eea57a19e409d08a4c9dc04685d2","2013-10-19 16:29:51-07:00","[feature] prompt for password
"
"ad63d4558814b1a49af530c6acab4a57ec2b1b4b","2013-10-19 16:32:04-07:00","Merge branch 'dev'
"
"5c7724686fcbc31919c84ba9f921cff95da8f2fa","2013-10-19 16:37:34-07:00","fix bug
"
"eb98bac2834efddcb24f5fa6fc53b5aced7b8e80","2013-10-19 16:37:38-07:00","Merge branch 'dev'
"
"18c85a7a45cce4bfbc36b63f56218429190959d7","2013-12-13 22:24:33-08:00","update project settings
"
"ca665fd9954303cccac25baa22f8673c6050baeb","2013-12-13 23:08:42-08:00","change to eclipse
"
"b1f035588ef5516adcaf7a73b1fc5e3e9bbcec75","2013-12-22 12:27:38-08:00","update
"
"a155ada7a1c998378eb4f30ae4364b74c33fe5ae","2013-12-22 12:28:42-08:00","update
"
"1f4602c0860be16847123673a450e8f68420da5a","2013-12-22 12:28:55-08:00","update
"
"9aef40c5a6abba834e2dcc94c46041a61971d541","2013-12-22 20:09:48-08:00","[refactor] remove singleton
"
"c2ea7dea9e01fe5319dc29cd7c4aae49c0fbce06","2013-12-22 22:30:40-08:00","[refactor] in progress
"
