"commit id","commit date","commit message"
"8086960e4242f5e67f5987e82a2023baece5095e","2010-05-11 07:00:12+00:00","Initial setup
"
"54f2a7b1cb779f5e7cb8b2b0c80f694c7ab50a39","2010-05-11 07:18:20+00:00","Added settings file
"
"57f24f62368b7a73c42c408c6a64d23a76f2ca99","2010-05-11 07:30:16+00:00","Added license details to the files
"
"af2c5d2d37f0fafd50752c6d7398f98a1805d262","2010-05-11 07:34:00+00:00","Renamed Settings to Preferences
"
"2edbeea5c21d5237e33dd52c9f02e665fe6739b2","2010-05-11 07:41:31+00:00","Renamed preferences back to settings
"
"8485598f9c224711c701a37e7d530f1565ccffed","2010-05-11 08:12:41+00:00","Setting up settings window
"
"e7d1040fa7a8af103672303a1ef3e7988af1e029","2010-05-20 18:58:32+00:00","Added README file as requested by github
"
"7b38dda63b0c4fb0c61f521045d78818ec08658c","2010-05-20 19:00:56+00:00","changed An to A as needed
"
"957a1d543c4d9d726aa633c0a9c92d328685121c","2010-05-20 22:07:25+00:00","Added keyword filter to settings page
"
"c15458235ee182a25a7325bf5cd9a40f26cea9bd","2010-06-02 02:21:32+00:00","More clean up for a release
"
"ea205417c8362cdc33d92dfd186af047c18d89be","2010-06-04 03:42:20+00:00","Now can send smses to web service
"
"f11b6f5c6306ac21444c3b8a6d1331c3c4c8c254","2010-06-04 20:57:22+00:00","Syncing now works
"
"09da65135231bb4fa34d28598dd26a0f59587d42","2010-06-04 20:57:22+00:00","Syncing now works
Removed bin files
"
"9c37809c180742284570d540955314f5f9046409","2010-06-07 00:45:56+00:00","Fixed
"
"2f9fa3efcfa661256ed18720cb59ed1ad1812bda","2010-06-07 00:48:26+00:00","Removed bin files
"
"2242bdf06375b7b22082d11e23c9a5f0fee5ff14","2010-06-07 00:49:24+00:00","Removed classpath file
"
"f63deb326fc1888065ef6b145e003f3efe9a19b5","2010-09-20 13:32:04+03:00","Fixed issue with httppost request
"
"23961baaf5b5d8b036b120eb58c791b4d25308fa","2010-11-05 22:43:34+00:00","More enhancement
"
"b93a44f32f972df096e201be7e64fe991b521a1c","2010-11-07 02:04:01+00:00","Fixed in more modification
"
"04c812e1351c7d899b3f07318345732facc3247a","2010-11-10 15:57:39+00:00","More code clean up
"
