"commit id","commit date","commit message"
"f876fcb195f4eab7dab2e5bc85a4c75e25d15c3e","2015-03-30 13:25:07+09:00","Upgrade Android Gradle plugin
"
"aa5d3b4e238a7732dd0cb033447433820fa5b993","2015-03-30 14:41:45+09:00","Add time when phone device is shutdown to the log entry about shutdowns
"
"af638ca7b9df0282810716ac5f1486cc546c53a6","2015-03-30 15:01:18+09:00","Minor code clean up
"
"c30aa9be68cc212ed1ec7a0bcb4fa35100151f39","2015-04-08 10:16:47-04:00","Update PendingMessages.java

Changed ImportMessagesTask's protected status variable to a Boolean to fit the refactoring of ProcessSms.java
"
"4e3b6a3e04cf1565d7c1b3d0b60a4c40b5fabf86","2015-04-10 08:35:45-04:00","Update PendingMessages.java
"
"d73373ef39aad0414a7b588011e6b21611a46baf","2015-04-10 08:40:40-04:00","Update ProcessSms.java

Refactored to return boolean values (in the same patch as the Pending Messages' update).
"
"e11c8140cd28df5fd16764c3264d36568e8f33b0","2015-04-10 10:30:36-04:00","Update ProcessSms.java
"
"d2f6dd32622e5339ce7300aa1addc91f7cd994bd","2015-04-10 10:37:48-04:00","Update contributors.json

Added myself, thanks for the welcome!
"
"193877b7c793b7ae8dd6759517b27d8f51514d41","2015-04-11 16:02:58+09:00","Merge pull request #250 from blackcat42/patch-2

Update PendingMessages.java
"
"c08165204aa3f4b616178b82efd84667ff8723b6","2015-04-11 16:03:20+09:00","Merge pull request #251 from blackcat42/patch-3

Update contributors.json
"
"84bdc4ecca756fed840db8a107b1e24ac46e9b02","2015-04-12 09:39:46+09:00","Minor code refactor
"
"b523bab50ec750e6611902e53316d1460056656a","2015-04-12 09:39:57+09:00","Merge branch 'develop' of github.com:ushahidi/SMSSync into develop
"
"ccc941688948113a68fa9923bebf2327f937b416","2015-04-13 17:26:16+09:00","Update files with copyright info
"
"411ab2e8d4f7d202ca407955410f5fb48263129f","2015-04-13 17:28:41+09:00","Sort contributors list
"
"40b6fc9be95176921f1189271891640e999ebcbe","2015-04-13 19:27:33+09:00","Remove needless semicolon
"
"eb413f187427ea60c9bb0aede076c4d8922e373b","2015-04-14 16:55:31+09:00","Remove global number check validation

Since now the app processes failed SMS, it makes sense to let the
web service handle validation of phone numbers.
"
"8d2cda5ac0a6a19ed75078dbb0c90d1c54bdbc42","2015-04-14 17:08:09+09:00","Minor code clean up
"
"bc9f2632a49bc7b283cc13977084e44f2c87489f","2015-04-14 18:18:21+09:00","Remove start of task and auto sync service from a background thread
"
"3e2cb4ee8dae376e7c1f9b31aedd99a4f9aed00b","2015-04-14 18:38:40+09:00","Set inputtype for alert phone field to phone

Removed the 0-9 restriction on the alert phone number field and
change type phone to allow internation phone number input and
text based phone number
"
"b42fdd9ccd195072af101357c52a3361bcc7de0e","2015-04-15 00:10:04+09:00","Make EditText hint color darker on API level 8 to 10

The hint color on devices running Android 8 to 10 are
lighter on a lighter background making it invisible. To fix this declare
a style for EditText that overrides the hintTextColor to a
more darker one for older devices.
"
"6e9060d85423fd9caf9cf1cfb1e0a56bef179502","2015-04-15 06:42:43+09:00","Minor code clean up
"
"6eafdf95e68f818e0e80764d2aaf84ee2383097c","2015-04-16 11:20:12+09:00","Refactor a method name to reflect its intentions
"
"687c43e6612b18c63e30ca80a9a17fb5448c7566","2015-04-16 12:56:05+09:00","Make sure task and message results are started when enabled
"
"2bbf4a843ea382633622051cbc1510a83ac1dc2b","2015-04-16 14:55:21+09:00","Log Http Response From Task Checking When JSON serialization crashes
"
"5f9ff0c0ed0dc8edd7cb653d6f12d6a18688a1ec","2015-04-16 22:24:20+09:00","Manually fetch data in sent messages table and insert them into the cloned sent table.

This is a workaround found for a bug found in an earlier version of the sent messages table.
"
"9c0b6050372d512b49b0094dca08853238a100ce","2015-04-16 22:29:09+09:00","Migrate the sync url key during the data migration process
"
"820b62e04c662e4992f16c5b2060880276c1eea1","2015-04-16 23:52:42+09:00","Fix sent messages data migration duplication
"
"c1e690f03d93b18c2e328e78989eea20a2e282c1","2015-04-17 08:00:00+09:00","Properly align donation list items and display the amount
"
"0f7ed8b1f80f9728c9758e6bbfc92463de13d624","2015-04-17 08:19:50+09:00","Set max width for donation title display so it spans properly
"
"06423d9dc72751e4a9fb8ac9f342b1d99df1d5de","2015-04-17 08:35:10+09:00","Let donation item title wrap around the amount
"
"e2031a3ca2a986907eea9d6e01bef87faa2b5613","2015-04-17 08:36:59+09:00","Let donation item title wrap around the amount
"
"cc10c5b0d205468b3b8decf0cbc977ecc9234406","2015-04-17 08:42:19+09:00","Let donation item title wrap around the amount
"
"2231c446472c7aa6e3edd395d8c2214f845365c4","2015-04-17 08:55:53+09:00","Align the description to the left so it properly align in landscape mode
"
"2b076b00698604d5c02728fec0aebfe97c127be3","2015-04-17 09:03:00+09:00","Reduce padding between donation title and the price
"
"4316107e21e97e48cfe1e35985c7a72a10e45818","2015-04-20 15:14:45+09:00","Fix delete all sync urls so it prompts for deletion
"
"ac1386b629107fbfe6a032230cac2d637249cde9","2015-04-20 16:01:53+09:00","Remove condition to make delivery report a requirement

Since some providers charge for sms delivery report, don't make
it a requirement.
"
"c8f26bdf7fa52670cbb88195b6195a96766696bb","2015-04-20 17:36:54+09:00","Only update alert phone number changes the logs when a change happens

Launching the settings screen always log an entry for the alert phone
number field. Ideally it should only log an entry when there has been
a change to the value of the field.

To solve this, compare the saved value in shared preferences with
the one currently entered in the field. If they don't match log
the entry
"
"6ccbfc53da8f0045cbde1bd38393b3d09fdcc2ec","2015-04-20 17:56:17+09:00","Minro code formatting
"
"f4cd137fc5bdc40f3e0a528047fc7587a2e64887","2015-04-20 19:12:19+09:00","Update changelog
"
"8373feda8a101637ea0da3c88d533bc432955052","2015-04-20 19:13:26+09:00","Update version code
"
"fc07c090b4c5f9ac9d936f76399dd7ed30f26878","2015-04-20 19:21:07+09:00","Update changelog json
"
