"commit id","commit date","commit message"
"123efedd8c805d293acf1bbe8bb79dd438017bdb","2015-11-19 06:40:32+09:00","Fix #353 - Only send failed or unconfirmed messages
This was causing duplication where failed messages in the pending
tray get reprocessed after they've been published

Upgrade Raiburary which has android support library update
"
"97e595bec6fc1e59cea16d153f3ee49e2d43a672","2015-11-19 09:22:07+09:00","Merge pull request #357 from ushahidi/353-bug-fix

Fix #353 - Only send failed or unconfirmed messages
"
"d4c903ca058a3a00d07a042ad8cdaabc0ec3d79d","2015-11-19 11:41:36+09:00","Fix so server response are sent as SMS
"
"a0ea1c70b97accc5a450bd6f79b78aba2b89de79","2015-11-19 12:40:21+09:00","Fixed task checking
"
"e33c86270a081b6e0778f8574af40ea219a8a76a","2015-11-19 15:33:23+09:00","Fix #354 - Server response

Call method that sends SMS when a request is successfully made
"
"c9067a3aa5f731407215c628e72f2bf361e7a8f2","2015-11-19 16:05:55+09:00","Fix process sms model mapper
"
"0c51148654bf3f4aa4339946668862773bac77d3","2015-11-19 16:22:41+09:00","Merge pull request #358 from ushahidi/354-bug-fix-server-response-regression

354 bug fix server response regression
"
"017bae1e37e508b75b9898e0709a514f4670504f","2015-11-19 22:38:56+09:00","Set on change listener on switchcompat

This makes sure the changes to the switch state is caputured
thus enables it be set on or off
"
"e9d3a44eb2afed1c7ea3e723dc74c7655ecd0fae","2015-11-19 22:39:55+09:00","Clear previously set http param to prevent duplicate
"
"4414413ef3b69e49fbd4fa4a0d14132d3fb2c323","2015-11-20 09:29:53+09:00","Merge pull request #359 from ushahidi/356-fix-sending-off-all-failed-messages

Fix #359 - Sending off all failed messages
"
"2c33a4ef1a4574eec995e138f0770778b715adc2","2015-11-20 09:48:04+09:00","Update changelog with v3.0.4 changes
"
"44725a683905db1fea3a0fbdabb3eb128b41508c","2015-11-20 09:53:32+09:00","Bump version code
"
