"commit id","commit date","commit message"
"f90a0037cf84c5ebf582c8f44efb51ece61ae5ff","2016-05-23 20:51:18+02:00","Fix IllegalStateException
"
"8b010fd011b4a2d124d7a6ee77962c22b0d758a1","2016-05-23 20:59:20+02:00","Fix BadParcelableException
"
"64b694f7be006aa357c6030e25e2557c177c22ff","2016-05-24 19:46:39+02:00","Integrate Firebase Analytics
"
"3240eb41c9095892a30df122169575885f460166","2016-05-24 19:51:41+02:00","Integrate Firebase Crash
"
"4cf51f7b0b64053a14d001b7dbf47e4d8310434c","2016-05-24 20:01:35+02:00","Fix IllegalStateException
"
"2c071184b073c4b46d1c9fa37961fb449b065d17","2016-05-24 21:45:16+02:00","Use Preferences from the Support Library
"
"73b0f5e8bdff94bb108f42d73853b28c4a591b0c","2016-05-24 22:02:14+02:00","Add debug google-services.json
"
"e750b46d148a04b84845302895d3d97b399512d7","2016-05-25 23:23:51+02:00",":up: Realm 1.0.0
"
"9d6c787b5bc161b4fcdbc4dfc81bb277cb89d78e","2016-05-28 11:01:24+02:00",":up: Android Gradle Plugin 2.2.0-alpha2
"
"1f428303f39f9f678856cf35ea3f850417def745","2016-05-28 12:00:59+02:00","Fix statistics initial loading
"
"f3dcdf4e6e8435add4de4c6a501485ec6dcba246","2016-05-28 12:15:30+02:00","Fix initial show overview loading
"
"0342c2e85f69efd6c713d212e8e247e57dae1f20","2016-05-28 12:25:25+02:00","Fix episode detail initial loading
"
"92cde3e9d74c205ffe64a6c62d022f1d223dccce","2016-05-28 12:34:23+02:00","Revert '#18: Try to fix the refresh issue in Schedule'

This reverts commit 7d34dc318bdfb30e0bced6e667ae7edac13cd8df.
"
"ac1f2c2d941e049cd0a01d1189caf03c9ca1eb2a","2016-05-28 12:51:57+02:00",":up: Google Play Services 9.0.1
"
"ea02638fa9986ea08df1a47bee17a1110c229edc","2016-05-28 12:53:30+02:00",":up: Realm 1.0.0
"
"5b4f64825747bc47ad316d1efb872b4df6d5ee44","2016-05-28 13:21:04+02:00","Fix IllegalStateException
"
"ddbb415f92f8b3459786157de198987e94e7b962","2016-05-28 13:22:25+02:00","Fix NoSuchMethodException on Android < 4.2
"
"3fab45008f97263ad061d0352f4b6bc0841fe3f5","2016-05-28 18:03:46+02:00","Downgrade to Android Gradle Plugin 2.1.0 to fix design issues on Android < 5.0
"
"32095774929e6d502772e14b426931cba4e258a1","2016-05-28 19:13:06+02:00","Improve shows list refresh
"
"e2a7dc99d1492fbdca84b97a5e18194c4a3492bf","2016-05-28 19:22:25+02:00","Add Firebase events and fix Remote control visibility
"
"67b1d1e87a6f61a8ef06560cb5798f96125cca3b","2016-05-28 19:24:12+02:00","Move google-services.json at the root of the `app` folder
"
"72f79b5e326a008363f34eb760fbc7af34af3e26","2016-05-28 20:36:39+02:00","Update version
"
