"commit id","commit date","commit message"
"769dda2bfee37a698734bc9b55c2644e0a18bd96","2015-03-23 15:07:46+01:00","Update application name in Serbian localization
"
"4ed52c71ec53bc35ccb659f94de951e93ca9d609","2015-03-23 15:11:32+01:00","Update some strings
"
"c3586b393072bf8f1b8203affb9b7cc8bb93cdf8","2015-03-23 21:52:39+01:00","Update ShortcutBadger dependency to 1.0.5
"
"5879ca2b4ca2e5f8744fb777752a07826ed7f4bc","2015-03-23 12:32:51-07:00","fix crash on android contact weirdness

Fixes #2722
Closes #2758

// FREEBIE
"
"5d7d8993847f9b16d05ba05bbc9029cb0969a86a","2015-03-24 01:26:59+01:00","Merge pull request #27 from krt16s/master

Update ShortcutBadger dependency to 1.0.5
"
"32bbf01ada90dd10bb0c8dd51cdbef1ac2f38c82","2015-03-18 21:34:26-07:00","fix initialization of emoji cache

Fixes #2700
Closes #2719

// FREEBIE
"
"aa1953bd5abdd3fbf1e2cfe079a4bbea993e0437","2015-03-23 22:59:52-04:00","Merge pull request #23 from pejakm/srtr

Update application name in Serbian localization
"
"bde13f4d5caa56ce1afdf0584a7a93511c0678ca","2015-03-23 11:45:09-04:00","Change invite link
"
"9ceec3d2285bebcb775802766452d425f5f6ec60","2015-03-23 14:47:27-04:00","Remove strings and settings related to Outgoing SMS

For now the settings file has been modified to always return the
correct values.
"
"33a98716743554b1ef83be4278810b83826f0775","2015-03-23 14:52:03-04:00","Remove strings for auto-initiating a push session
"
"c6753a07648c2f21e1d6157883c876d1681b96ec","2015-03-23 14:55:37-04:00","Remove strings related to (un)registering
"
"f0060f8449d6bd842b5fbc95273412c677702627","2015-03-23 14:58:52-04:00","Remove device provisioning strings
"
"6f03f4d5db6168274fee7b69664b72f42eb8b498","2015-03-23 15:00:19-04:00","Remove strings related to TS groups
"
"cf46c941e1ec9f277ad5e97c80f13dc4e1524e3f","2015-03-23 15:24:21-04:00","Remove fallback strings
"
"b8aaad886346e108e7306c5a307ab4d16e3f0f32","2015-03-23 15:26:20-04:00","Remove push conversation related strings
"
"f7c95de0b7bc9645862400cfc09466cb9e65857b","2015-03-23 15:27:01-04:00","Remove GCM-related strings
"
"eeecf1327e90c316c85ccbfb70eb38341395c058","2015-03-23 15:27:26-04:00","Remove contact chooser push-related strings
"
"688fbcaef8ecf7b73eebc52d318325a8d26f6218","2015-03-24 00:46:03-04:00","Remove extra strings from all translations

Some locales were adjusted to match up with the Transifex locales. The
language menu was tweaked to match.
"
"b92141b0828a46b9c97d73f42248f88b904f1069","2015-03-24 01:34:25-04:00","Add Transifex project to the README

Closes #13
"
