"commit id","commit date","commit message"
"ea5b03c2e6000ece8092bcbb2b028b89d568972a","2013-07-30 08:47:17+02:00","Updating all widgets on settings save
"
"e06dad3b02c7b9fe9d8aad71a1a26895c18c2613","2013-07-31 19:22:51+02:00","New style of favorited activity
"
"60e62ab927d22b9480d2ca7aeea6fbee5398332a","2013-07-31 19:26:42+02:00","Cleaned up old favorited resources
"
"744eeae284b83572b9aa443d777ef67d899cb794","2013-07-31 19:34:52+02:00","Back/Up pattern for Favorited activity
"
"0c32335eb61e130ae06cf7234f529ae5deef667b","2013-08-03 11:58:14+02:00","Sorting favorited items on Preferences layer
"
"7e7b4ec55e661a35a0c5f9370a454f12cb6d961f","2013-08-03 14:28:38+02:00","Memory usage enhancement
"
"5e93d7bcea94885d18debaa8db1b4146c1980d14","2013-08-03 14:39:18+02:00","Fixed multiple NPEs
"
"a37cf8f0523c295f3413260dfc8d949b35b746e1","2013-08-04 22:20:58+02:00","Option to select downloads target path, with localization
"
"103eea06e47b59e3563fb4b715889ffdd96a0e7a","2013-08-04 22:25:38+02:00","Compatibility update, dependency on ABS
"
"d12f1b418f10df3a52994c24b1300f4d32a90dc3","2013-08-04 22:28:07+02:00","navigation pattern in settings activity
"
"72c255d7eec4309ec4b5c1a1d89901b27c2d213c","2013-08-04 22:29:03+02:00","Fixup
"
"cc3164e500b599830e5101f1ff49f0526f2fd570","2013-08-04 22:30:36+02:00","Layout fixup
"
"395592b0b5e5aa62fd8eb9ba476b61e4a66a0efc","2013-08-04 22:31:58+02:00","Resources cleanup
"
"bfdbfb61d3a2c208642ca54ce57b81d71aa89dcc","2013-08-04 22:32:04+02:00","Layout enhancement
"
"3c588cc69253ae05aeeb2309a0b742c1b733f13c","2013-08-04 22:33:29+02:00","Layout enhancement
"
"f06e0026f4da1210fadd72aefd3914896d3a2f64","2013-08-04 22:36:16+02:00","Releasing new version
"
