"commit id","commit date","commit message"
"b52bb6dd935f1cf27b17c9c531eefe3058781b31","2015-03-03 21:39:48-05:00","Revamped how the system tracks and stores columns in a generalized way in order to ensure that we can generate tables for different model objects (e.g. Distance, Receipts, etc) in a generalized way. This properly enables tracking for both CSV and PDF reports.
"
"ff11780a506dccb7a2038b82d80cd8b073ee3ccd","2015-03-19 10:07:38-04:00","Updated the report framework
"
"82a198ed5fb761b6ce2cae1b90c0ab1486800078","2015-03-22 20:39:33-04:00","Renamed a preference
"
"11d1936341ced7b0683c1633791c7f6c34dcdd66","2015-03-22 20:39:57-04:00","Merge branch 'master' into develop
"
"86a861035dbfcf1c119a34f4ea44bf27a9ed5af2","2015-03-29 23:53:40-04:00","Fixed an issue during which distances get lost when you rename a trip
"
"a6af5398123e90347c357276c009d58449d646aa","2015-03-29 23:54:30-04:00","Merge branch 'master' into develop
"
"33b1d5833635b4d5d36227e148a33a7fc1c2b7e6","2015-04-23 23:09:54-04:00","Added a basic material theme:
"
"1ec8ae27b8df108ed2fce2d03ef39e769ae81284","2015-04-24 19:59:00-04:00","Updated in conjunction for the new Android Studio version
"
"8e2e3f10cff467d1ba463ad7076b7ba2c86a21a4","2015-04-26 15:18:52-04:00","First pass at a view pager layout
"
"ef8844a3fe6a18e889a0ba5233c0908aec2d86cd","2015-04-27 00:07:50-04:00","Fixed a crash on launch for users with unexpected locales
"
"4470a27b7846dc47a77de9db178ddb7a567209be","2015-04-30 21:04:38-04:00","Added a very basic implementation of the floating action button to the new layout
"
"ba59e0710573ff037fc4659b433eac811039a3c0","2015-04-30 21:17:33-04:00","Added minor layout alterations
"
"dc16f50d60ea2677cd316cee57e6690653dcf38e","2015-04-30 21:43:46-04:00","Added a number of default text styles per Material guidelines
"
"228b77204eb17460ac6bf312a6f13101c89b3cc6","2015-05-03 22:30:58+03:00","Styled the generate report option
"
"f47b7a9e7f85fa55f930d2ffa26d0395c908e956","2015-05-09 15:03:49+03:00","Save the last trip more generally and pass activity results to child fragments
"
"7bcd272e2591666350a961c5854103da33585af5","2015-05-09 15:10:35+03:00","Removed old trip persistence mechanism to prevent duplciate work
"
"6a1a7b2fe6cc6b24cdda0879503c8f80cfd2817d","2015-05-09 15:29:18+03:00","Created styles for the FABs
"
"4414f2b16934ac6b00e56269bd716ea1081a0d2e","2015-05-09 15:38:15+03:00","Updated the distance fragment to leverage the new FAB and changed the menu layout
"
"c06dd41b421c24888d75a7ab7277a7cb0126faf4","2015-05-09 16:01:56+03:00","Wired some fragment actions to the different reports
"
"021f1d466abdd3cc74e61418fba567eaaba4af2d","2015-05-12 07:54:29-04:00","Altered the fragment behavior to remove the sliding pane layout (now that we have tabs)
"
"bc38a145131dca6fe4973f0ffa5e42e08d84ed48","2015-05-12 18:26:03-04:00","Refactored the app navigation flows to better support fragment stacks
"
"76fe0897ce005ab9a82d0297a623d28b19b8a77c","2015-05-13 21:33:30-04:00","Started creating an edit/new receipt layout
"
"d017ef8e2195bcfddd381865c8ba1c4ad59104e8","2015-05-17 16:30:19-04:00","Added a variety of new image assets
"
"e1b2d2514c7e4e57f2b4d74040874552905002ee","2015-05-17 23:23:26-04:00","Created a basic implementation of the edit/create receipt fragment
"
"7a2591c45afcffb6186584993ea2b38a11593e1a","2015-05-21 10:30:31-04:00","Added a basic pop up for receipt creation/editing
"
"564c838e7f115e99cc817cda1aad7445a6022466","2015-05-21 18:51:47-04:00","Updated fab menu icons and added an overlay to click actions
"
"b27678ceb2d76b97fec29d6bec73da7d88d31710","2015-05-21 19:02:48-04:00","Added support to view the receipt image (minus the toolbar)
"
"23efbd92e1c99a25423621663c075a62b51a324e","2015-05-22 16:56:07-04:00","Added support to pdf viewing via the navigation handler and made some changes to image viewing
"
"697f19441daa04b8df94577d48c7c2abbaadfe3a","2015-05-22 17:15:49-04:00","Added toolbar support to images and pdfs
"
"ff00067aa544835a26f54afda65f6cb3dfbb3b2b","2015-05-22 17:19:32-04:00","Renamed a variable and added pdf view toolbar support
"
"ab0f61e7da4f4c59526d2b5b5bcec66048ab93d2","2015-05-22 17:21:40-04:00","Fixed a compilation error
"
"4446035e0ff1698411eda98734a4e7e7d58c60fc","2015-05-22 17:25:05-04:00","Minor clean up work and removing unused vars
"
"6c44f6ce257c6af38d6c3e8c1f514396f3a871a4","2015-05-26 10:05:28-04:00","Fixed compilation error
"
"db7697bd9259f02fcf1d75de99d87cb62555d690","2015-05-28 09:39:21-04:00","Added basic animations to the new receipts
"
"9780a358681582092fe82c9e3ad412f06befe078","2015-05-28 09:46:38-04:00","Made some minor animation tweaks
"
"2f1581f96f71972bbebd4818199e2c724ea5f680","2015-05-28 09:55:42-04:00","Fixed a bug in which activity results were not passed back along to the proper resources
"
"1e5f2b7920bc950e6eb8ef1a5b004362b316ef82","2015-05-28 09:57:03-04:00","Fixed a typo
"
"124d13b39d996857fe98e32a1403ec64c389d908","2015-05-31 22:46:54-04:00","Fixed new receipt key baord launching/dismissal
"
"7688ec03db87f82dfb22c26aeb76ebe145d26a39","2015-06-02 10:13:09-04:00","Used the new receipt credit/edit fragment and deprecated the old receipt menu. Will remove at the conclusion of testing
"
"45421e3b46a180aa291d50a247438ac96142c924","2015-06-04 10:09:00-04:00","Updated the view mask animation and moved some logging around
"
"692b63aed912a0c12e304cea4234a017e3f76004","2015-06-04 10:17:38-04:00","Fixed a bug where the image did not load
"
"ce8f84cadfa17334f3b0cedaa22d859835ea59f5","2015-06-08 09:11:29-04:00","Added initial support for image imports
"
"b290b93e418e9a9237b48f1dcb02827df988bf07","2015-06-09 11:28:18-04:00","Created currency exchange rate tracking with retrofit

Conflicts:
SmartReceiptsLibrary/build.gradle
"
"c779c1bf12a2e9ea4fa2019eb15027ed049d1fa7","2015-06-11 18:58:24-04:00","Added support for exchange rates to the various builders and model objects that exist within the app.
"
"dd6de6e52e53c13f900086e1207105931b1ce88e","2015-06-11 19:00:58-04:00","Updated exchange rate builders to only support positive exchange rates. Others are ommitted
"
"7650a14dfc9d642051d0dd858d3f08bce6f11b07","2015-06-12 09:00:55-04:00","Updated the database to leverage exchange rates
"
"7054474361c2e838947f57886ccd9f226a2851d9","2015-06-12 10:14:06-04:00","Merge branch 'dev_currency_rates' into material_ui

Conflicts:
SmartReceiptsLibrary/build.gradle
SmartReceiptsLibrary/src/main/java/co/smartreceipts/android/fragments/TripFragment.java
"
"9c027b4eed2951489497ff61deab4381900751ad","2015-06-16 08:19:18-04:00","Built logic to show/hide the exchange rate based on whether the currency was the same or different
"
"8fd3292d2a651635e307974e050cc77033c52f05","2015-06-16 22:57:44-04:00","Slightly altered the insert behavior to better support generalized receipts
"
"a848acfa0f5f29bb9ab30d53fab1f86fa7469afa","2015-06-17 09:07:38-04:00","Made changes to update as well to ensure that new fields can be added more dynamically in the future
"
"e49e5723b8f77b313939d515bd22a45f1ee7ed62","2015-06-17 09:10:19-04:00","Added exchange rate persistence to the db
"
"13adefbecbb48731aca699509fd73efb7c34ef73","2015-06-17 17:27:52-04:00","Fixed a compile error in unused code (to be removed soon)
"
