"commit id","commit date","commit message"
"74065b0016014110e503574f4f2afdda071405d1","2015-05-27 17:50:08+02:00","Fixed a memory leak
"
"92ff835e0fdf4b04e6d03d887f01b7161db8f233","2015-05-27 19:08:14+02:00","Run SubscriptionRefresh callback on the main thread
"
"5b2b8882c4d8b2e2eb0c14e6b98aaeb793c0cd4d","2015-05-27 20:38:53+02:00","Reduced number of cached palettes to 20
"
"4c75ca4318c20629be4af8f5cd476ecacb8ac8f5","2015-05-27 20:39:20+02:00","Removed some dependencies on legacy code
"
"a8644196bd90216040eedb0c18df44ff149ffd83","2015-05-30 00:16:56+02:00","Rewrote large parts of the code to use Otto for events
"
"0c6eb2adb339d7c2d8ed1b3494bd287d788ea2c2","2015-05-30 02:19:21+02:00","Align icon in playpause button
"
"bd6488feead40fa3a1286cac584193710106c9ed","2015-06-01 17:14:51+02:00","Centered the icon the PlayPause button in the emulator. Verify this also works on a device
"
"803991087fe2c5fc6872a54afae146f7e1569c09","2015-06-01 17:15:31+02:00","Rewrote the 'Reset playlist' to use Otto
"
"b9623679bb5d6104bfa013e1b6cb338c8830016f","2015-06-01 23:42:13+02:00","Enabled option to only show downloaded episodes
"
"4dad745c12e3f221aa39f9964fdcef342a83743e","2015-06-02 00:04:21+02:00","Remove episodes from the (show only downloaded) playlist when they are deleted
"
"27f78942d64f0759e7dc2903da004ab9a9490d25","2015-06-24 18:40:47+02:00","Rewrote a lot of the event based logic to wirk with otto
"
"93bd501ba22f61d596548f46f9a647d5269a606b","2015-06-28 13:48:57+02:00","Updated dependencies and build system
"
"1e2b190775f1e8c5090ef48e39d5d71b15900429","2015-06-28 13:49:11+02:00","Updated headset priority
"
"7d5178912ed442fe553814dca9e3562ded38f564","2015-07-05 16:45:47+02:00","Updated Fresco and moved the queue button to the right of the FeedView
"
"660eadf416d9079b8158075ab084a56298478f7b","2015-08-14 16:47:36+02:00","Added ability to hide the episode text in the player
"
"57d9bbacb3511cdcc222a99cb704ad9da46756fb","2015-08-14 21:01:25+02:00","Updated Fresco to 0.6.1
"
"c7f211fc4839ef822aa07f320aa8aadfb0b6e2a1","2015-08-14 21:23:18+02:00","Replaced internal app communication with otto
"
"c3119c3be2005b4656c63191acef8d55d85a2e86","2015-08-14 21:23:50+02:00","Updated some build files
"
"8ba386ac3b3ceb7078f851196a0102be0ffb1fb1","2015-08-14 22:18:14+02:00","Fixed issue where the notification would redraw multiple times
"
"0ab498f45ea2bcac73d5fe126cc9b7cd9fe87d75","2015-08-14 23:54:02+02:00","Updated search result look
"
"93edc0eef4b2ced61557277eb280c80fb5df6525","2015-08-15 00:42:57+02:00","Updated the look and feel of the Discovery Fragment
"
"503c44a7db6143c24993de6fbcc92483735edac8","2015-08-15 10:40:57+02:00","Cleans out tmp folder
"
"e661ad315f15760f3c1e7a483ab6e301e6a5b835","2015-08-15 11:14:11+02:00","Added scrollbars to the FeedView, still no fastscroll
"
"b5eadb4cf78a0d795a70154d4e91b1cb1a0182e1","2015-08-15 14:35:02+02:00","Added animations to the FeedView
"
"7a8c9aee56f08b79b94e965db259a2ad7f31ded0","2015-08-15 15:41:17+02:00","Updated the Play/Pause buttons in the FeedView
"
"4957e485c61669adecbc5fd73e760a4f0157b428","2015-08-15 16:49:27+02:00","Added duration,filesize and date on the FeedView
"
"5c2047fde28c3399362db9debf9415c28abe5245","2015-08-15 22:43:03+02:00","Added a full circle to the playpause button for the episodes which are marked as listened
"
"9d8c893b0c94b390f7b793697952caedd94a6cad","2015-08-15 22:53:31+02:00","Fixed loading the correct state at startup for the topplayer cover image
"
"c31bf0c876fe2cdeab72eabb5c83fdf1e592eefb","2015-08-16 10:39:20+02:00","Moved the fast forward/rewind buttons down next to the seekbar
"
"24cabc7957c2f633ce2f96737460ae5bca37d57a","2015-08-16 13:44:43+02:00","Added a few buttons to the top player, still some aligning missing
"
"e5e3ec27e329bc6724a283f1f7c9ccb945ec5712","2015-08-16 23:25:03+02:00","Added the basic logic of keeping track of the TopPlayer fullscreen state
"
"383531e9f11d7cc5e29933e764cafac606befd95","2015-08-18 21:51:28+02:00","Added support for full screen player
"
"e2536d1aec6b9dfb8109547cca8a3437c2281e15","2015-08-18 21:56:19+02:00","Removed the favorits button
"
"19bb4eac2ff373c4402cbb7a767cc7e88f5765d7","2015-08-18 23:45:49+02:00","Added a filter button to the playlist actionbar (or whatever it's called now)
"
"076c31acae6df4be5f894011c54912fa1d8f1c23","2015-08-18 23:46:33+02:00","Updated dependencies to Android M
"
"85bab7d74117a707c816bb16c702517d3640ea75","2015-08-19 00:13:48+02:00","Crude mockup of the Playlist filters dialog
"
"1071c57243992bdc56d4e0a372304dc427b51fc9","2015-08-20 19:31:27+02:00","Added (semi)working playlist filters to the actionbar
"
"743ae04ae2cefeb5e9f46a4adeadaeb88792b19c","2015-08-21 09:41:24+02:00","Updated gradle and proguard files
"
"9a6446d00eb9e3d2c48547a5e1717ca02af87d54","2015-08-21 10:39:58+02:00","Very basic implementation of the sleep button
"
