"commit id","commit date","commit message"
"8bad84ae215031ad5e0cac22a2b26a7e89cc5657","2016-01-08 13:23:08+01:00","use a custom WebChromeClient to show JS alerts etc
"
"dec7c939738be6c4ace099063e99dcd1a2e1bb71","2016-01-08 14:17:42+01:00","show (empty) profiles upon viewing
"
"789f9acfedcf50b7910411a2fc78e0f85cea85ee","2016-01-08 16:37:52+01:00","created/won fragments
"
"21ca74b7d8dafe5d9b66756c1595a1314aa585b0","2016-01-08 16:51:53+01:00","show the proper error message if you attempt to view a giveaway you shouldn't be able to view; show indicators for private giveaways
"
"e5c8e9487ec9f7ad8ffc0974eaa4983d568ad832","2016-01-08 17:04:10+01:00","prep for user loading
"
"6a600203ac0b0dcbb71b141b522660e323e79b5d","2016-01-08 17:50:20+01:00","show basic user details
"
"bf9bf564af728b0b994d6d3349e85344cfb14f09","2016-01-08 18:05:33+01:00","user avatar
"
"2ac429b5316556f2a31b657c4561151991d5785f","2016-01-08 18:28:02+01:00","link to user profile
"
"04677463bf31707ea892b901c4b615f5950dfe97","2016-01-08 18:32:26+01:00","Merge branch 'user-profiles'

closes #11
"
"ca863d78fe75d8c9a3e9d1c4e4c008f558ad2c7b","2016-01-08 18:38:23+01:00","compact header
"
"9fae2c83aabc003f41245f6a773ea0ffca4b0688","2016-01-08 18:38:49+01:00","bump version
"
