"commit id","commit date","commit message"
"9de00f4464e5cab586c578ce6ccb337d3c9416d9","2014-07-15 15:31:18-07:00","#368 When trying to enter Admin tab, confirm password for admin users
"
"d04a5041c3467e5a289f6af3b07fbcb20a6ea078","2014-07-15 15:51:49-07:00","#368 Added util method to ask user for credentials
"
"f851f1421a9fbeec065df4ee06042e7513eb30b8","2014-07-15 17:49:13-07:00","#368 Finish up requiring password for admin tab
"
"9e33865a18d55ac1cb4a5b6c2445221d762d990d","2014-07-15 18:10:07-07:00","Don't close dialog on input errors
"
"d3a6d5974a98cdd6ce1944b67cffa0666c62c56b","2014-07-15 18:23:33-07:00","No point in inheriting from RESTMusicService, use a single error message
"
"3f74c6b9523125ade8f93fe3803de0a36cf1b251","2014-07-15 18:26:38-07:00","Get rid of background errors on each user with no avatar
"
"6f5dd47ef78be4caf578040ea7d3c3e72ad9df42","2014-07-16 18:02:47-07:00","Fix crash on GB by only using system selectable background on ICS+, default to blue Holo version for GB
"
"7d42213e761b44d4a3071ccf31555acd2089b904","2014-07-16 18:10:53-07:00","Re-release 4.7.2
"
"3eaf90cd71fc9ab4ab48207b725c242ae212d2e8","2014-07-16 18:12:36-07:00","Merge branch 'GB'
"
"1893c819430bee25de412f0cee8c1d0afa910a59","2014-07-17 07:26:46-07:00","Fix another GB crash case
"
"9c5f9b3ac86f3aee81c8ab91960f1d30267b9c5d","2014-07-17 10:33:58-07:00","Move to displaying less generic sync title
"
"4586729a9280076072be4450bdd653ab66a317e8","2014-07-17 10:36:16-07:00","Make the sync notification titles more descriptive
"
"c51abfe67316ec5be9b8b5b90d59417de7125dba","2014-07-17 11:20:35-07:00","Fix case where sync reports new content from failed download
"
"fe2a21686c9b46f8ec6decd01d909983dd7f96bb","2014-07-17 12:54:45-07:00","Play Now from starred list should include artists/albums
"
"bb638864dac16544b9fd8d1e63b8b40be524ddc1","2014-07-17 13:02:07-07:00","If id is null, then looking at starred list
"
"90b263f2ac1d028c9769c27fde6f7d755c00b8f2","2014-07-17 13:06:56-07:00","Populate album dataset for features which check on it
"
"98c21907354686a9cb1b7adaeb1ff0a9705e1aac","2014-07-17 13:23:14-07:00","Use artist arg for starring
"
"e8a9ef6119105069140261bbfeda7f6efa1dd55d","2014-07-17 22:03:59-07:00","Revert 'Use artist arg for starring'
"
"a3186e28ce8acfe18aed8827bcd42e4a09b10b42","2014-07-17 22:10:15-07:00","More changes for more descriptive sync notifications
"
"67128eaaa45f8c1f17c9e96fd05ce5452f210047","2014-07-17 22:12:57-07:00","Fix crash in trying to share
"
"7e3e9b0df05e4d899d07e1382a15871dc31e5c80","2014-07-17 22:19:32-07:00","Fix song menu items showing up on small album art for album lists
"
"593587d14aa170bdefa3c10664cd7175c5142359","2014-07-18 07:36:39-07:00","Update translation
"
"3b6151bf21ec988f8013e5700ef48a7788d2e266","2014-07-18 07:38:59-07:00","Release DSub 4.7.3
"
