"commit id","commit date","commit message"
"7e9120d6e98574011ffad30017c1e9c6941924b7","2014-01-29 12:08:17+01:00","JS Beautifier, Phonegap packaging
"
"b8ca37985bc192ccd74907985859dc813388d6a9","2014-02-07 21:35:26+01:00","Minor changes on FoodChain, Abecedarium, Maze
"
"0cd624b0f0c3dfff18129f25a8c9cca5acc9f316","2014-02-09 23:36:31+01:00","Add Activity Template for new Sugar Web Activity
"
"cb870bc191a937c039e28dde0689038b71431d93","2014-02-15 21:47:50+01:00","Update template to the last sugar-web version
"
"9a1b87591f528249095925b9f725591dac2b285e","2014-02-26 08:49:05+01:00","First step of merging Sugarizer sugar-web with Sugar
"
"7fdc4e9ee20075f7cb8924bd530311fe786e107e","2014-02-26 22:13:47+01:00","Use Sugar merged sugar-web version for desktop
"
"c0a565a8d61fcd0d6a40f3ebb89163a2ce2952bb","2014-03-13 22:54:32+01:00","New attempt to merge Sugarizer/SugarOS
"
"789999c1b7b6952ddb0a9032083cd17522b296d9","2014-03-14 23:06:50+01:00","Automatically update activity list
"
"4d68e5c4e924e69bc23a808331f2a4cc63a86c85","2014-03-15 08:41:14+01:00","Add Tank Operation game
"
"601bd2893597cc39126698786021f81a08f042c5","2014-03-16 22:46:00+01:00","Once again a new attempt to merge Sugarizer/SugarOS
"
"5b97a572de2be334f0151921970844b219abd613","2014-03-21 22:45:56+01:00","First server feature: dynamic activity list
"
"f432451e8c5608f569c3014a37ce845f9b14c6f2","2014-03-23 09:19:47+01:00","Integration of back office in Thin Client, fix sugar-web
"
"711fed4a7c8ccf60fd6fb628dd6f928b307d23f8","2014-03-26 22:31:16+01:00","Add user handling interface
"
"43b2f1a9f3d86cb2300af9af778494b86f215262","2014-03-29 08:51:08+01:00","Fix issue when server is not started - just log a warning
"
"b3637dcf50e6b92e11e00b39c62f20b3d5865d46","2014-03-30 21:32:06+02:00","Update journal view view for remote access. Fix floating icon at startup
"
"af9ee6514aad2e296e4d5608f201745ef1876cf2","2014-04-01 22:39:13+02:00","Add journal handling
"
"a6a04a2a374dbe6f6d98d61425983e060cf3f102","2014-04-02 22:52:11+02:00","Add popup on journal entries
"
"f48aaf4eabd079cc13219c7a307dfdd91ba2ab8a","2014-04-05 18:06:09+02:00","Use connection, journal entry popup
"
"0dd7acd3064e1f6aa84a4f0e78f041786af49283","2014-04-06 22:23:32+02:00","Remote journal implementation
"
"0965520880ddc7acb5a90ad1a2f6ac65da823ccf","2014-04-07 22:07:15+02:00","Add color and name in journal
"
"b8a5ffa2169f68bbafef3768cdaf65fc91b1385e","2014-04-08 22:19:26+02:00","Add ChatPrototype and presence server by Suraj
"
"f3073e6e50a71eee89be3e9ce29f72bf1ebebb1c","2014-04-09 03:20:54+05:30","Removing unnecessary code
"
"c0e844868438246eb42c3aa9f111f9f8b29b7bb1","2014-04-09 03:22:47+05:30","Running js-beautify
"
"4b1e3103b50283fa942a235d2d45ae552c9c1a11","2014-04-09 21:32:15+02:00","Merge pull request #6 from surajgillespie/master

Cleaning the code
"
"242f857928d61429ccb944f5b60ecd1775efe2ed","2014-04-14 22:36:43+02:00","Fix issue raised during my session at SugarCamp
"
"eb681dcb0796c081a21dddc1f90f81ecf76494b1","2014-04-17 21:25:19+02:00","Add TurtleJS activity
"
"ffa3475459349b07a3f54a7ed9985eb4e40c0fba","2014-04-19 17:07:49+02:00","Add Erase journal - local and remote
"
"0ba9a80bb724af9e7a1a2976947a04c3416bfdad","2014-04-19 22:34:23+02:00","Refactor server interface
"
"5f8967b03e90b4483dcd48177a2fa50b9513899d","2014-04-21 15:14:37+02:00","Add name update in journal for local & remote entries
"
"eec4d41a78f8c5652a4f83663fe3f1a4c0c2cd30","2014-04-25 09:12:54+02:00","Handling remote error, fix empty name issue, remove filter when switching journal
"
"53ea37df255e3ac9e969a0911a31d3ad399e1036","2014-04-25 21:51:14+02:00","Centralize server name storage to prepare server settings
"
"859363fc0611d63c71f7eabf9a23ba3f28cf1b73","2014-04-27 09:24:42+02:00","Add settings server dialog - readonly for the moment
"
"7fe471b2a2fd621fdea732196d21d75bc5029857","2014-05-02 22:43:56+02:00","Update settings with remote values
"
"d43d7da9df14a04efbd2527f3af701ad92049080","2014-05-03 22:22:34+02:00","Allow server settings change for thin client
"
"3b34d2f296207ba6e9308c15e5d081c6a0ae1caa","2014-05-04 15:36:44+02:00","Allow server settings change for client
"
"92a1f59c9d2b92803b4dca9c6ee5b50822ca5883","2014-05-04 18:44:51+02:00","Handle unknown content in journal
"
"5f424f74db25986381fae539275eca857155f35b","2014-05-08 22:13:30+02:00","Fix deployment issues
"
"65255471c912b434d2993973b938e83eedb33ee7","2014-05-10 11:17:28-03:00","Add new spanish words
"
"3ea7844043c129fde7982383078b28da5945cad8","2014-05-10 22:14:47+02:00","Merge pull request #7 from ignaciouy/spanish

Add new spanish words
"
"379bff4ae96122564d65fbc28bdcab37d78e0ef8","2014-05-11 15:40:03+02:00","Firefox & IE compatibility, update for deployment
"
"33eac110fa05928a85ab98ec8e494d699048810f","2014-05-15 22:30:07+02:00","Fix CustomEvent compatibility, fix clickToTap issue
"
"47ac860fae33da3aa423c3f5e5ef14d8b5cbb5c1","2014-05-18 00:07:30+02:00","Fix Android issues: audio, settings, duplicate canvas
"
"68c75b0c4d31ef14e7277ec2227c609c971b2b5c","2014-05-18 15:30:43+02:00","Update ChatActivity to wait connection
"
