"commit id","commit date","commit message"
"95d5a65fc1cdb2be8ef276b55b13a91066282347","2014-12-12 02:52:21-06:00","Don\'t need .idea
"
"f60759eb31e2b6b1f7a1c6206088475a14281816","2015-01-14 23:43:18-06:00","Revert 'Don\'t need .idea'

This reverts commit 95d5a65fc1cdb2be8ef276b55b13a91066282347.
"
"456f36b3471cf3bd36d1429704ebeff76ab7acd2","2015-01-21 20:08:36-06:00","Added 'Apply to all' checkbox
"
"05b55f9a47fbecab93d064ffa7fec471049b74a8","2015-01-21 20:09:05-06:00","'Apply to all' checkbox label, English and Dutch
"
"515e908620eb8c72b7fc3b56c46d5fcea30612b2","2015-01-21 20:22:03-06:00","Fixed Dutch translation
"
"4e21ca47f31cca076b039bc9558103bfedd3f45c","2015-01-21 20:22:15-06:00","Added Russian translation
"
"d7716bab4135c4713d992e891a4a7c1375d38997","2015-01-21 20:22:34-06:00","Skeletal code to toggle interface spinner accessibility.
"
"c13ae9703d231450ed88df7725182c2bb392d89e","2015-01-21 20:40:19-06:00","Move all interfaces checkbox in source to fit position in layout
"
"8dd997187115d5cae2b4b8804c86656c6734379c","2015-01-21 21:04:10-06:00","Better implementation of UI toggler
"
"b146e1c57ba843b8c980c6314ce1af4881832d3b","2015-01-26 11:04:00-06:00","Added 'RootShell' dependency for 'RootTools'.
"
"fe77bbae5883134b3407034d5e1bac7233702f98","2015-01-26 11:04:48-06:00","Merge branch 'master' of https://github.com/segin/TTLEditor
"
"3a43801e4454fa1d4ca73f46bbcbf20307f4ba31","2015-01-27 14:43:07-06:00","Handle NullPointerException crash in TTLEditor.updateIPAddress()
"
"c1dfcab3386761cab96beeda06a2c910487a2cbb","2015-01-27 14:54:59-06:00","Implemented logic for 'apply to all'
"
"e87638d6dd632fff9ceda1608df19f02fa1592ad","2015-01-27 14:58:41-06:00","Fixed logging tags
"
"be633d1daf3aacaadb666e3a765885c6c48f20cc","2015-01-27 14:59:22-06:00","Added app/manifest-merger-release-report.txt to .gitignore
"
"d7bd909a9a67530ed099169554a225ebdb6ea6c9","2015-01-27 15:02:56-06:00","Added missing character escape.
"
"ace9f240e07d1480aa713452e8e2d7bfec5bf1a6","2015-01-27 15:08:37-06:00","Added missing things
"
"eebe0c6514d052560422c3dd2317aed93635caf5","2015-01-27 15:09:36-06:00","Removed explicit type declaration
"
"8f0f4cbfbdf4b007a1c3d42f748964d0bc086692","2015-01-27 15:09:48-06:00","Removed explicit type declaration
"
"85d3d572c19e5bdd9acfae02c26f78744615884c","2015-01-27 19:03:30-06:00","Added IPv6 support.
"
"6cbf7474c8c6d5fb16a4ded86b3f52cc303e81ba","2015-01-27 19:05:01-06:00","Updated copyright notices.
"
"c08ca836e70f1e1fc1d22d2f4d562dcc1b945cbf","2015-01-27 19:07:37-06:00","Better way of doing IPv6.
"
"6f7e5cf81a5a8a4f13b97b788d2f77ed1b2a0de1","2015-01-27 19:09:29-06:00","Snapshot for 1.0.13
"
