"commit id","commit date","commit message"
"f5dd9a690772642e52251b5a7a63fcd1211b40f8","2016-06-16 15:16:12+02:00","moved to AppsManager
"
"104ead3fce1a99e82462c2d0bd95301ef2d7c460","2016-06-16 15:16:19+02:00","bigger submit button
"
"5b0933dc5f99f0d34b0dddd85b025dd253ebf773","2016-06-16 15:16:32+02:00","open url output
"
"4472b414139ffa70951564a17d0d4584454fc437","2016-06-16 15:16:56+02:00","bugfix
"
"790994964a7aa830c15de90a2adc39ff50e2fb28","2016-06-16 15:17:05+02:00","created
"
"6a4971b246b6276fa29e8971432a359e38c9614f","2016-06-16 15:17:15+02:00","fixed duplicated commands
"
"d11fd5572eda934f8204007e47fe6ea463dc78e3","2016-06-16 15:17:22+02:00","fixed some bugs
"
"f94a4f2d163a826f89c7a81ee50cb8c2c0bd3186","2016-06-16 15:17:28+02:00","keep instances of commands in memory (instead of labels)
"
"6a648b826516f0fc5bc45f589d1e24f94c4359bd","2016-06-16 15:17:38+02:00","new 'useCompareStringForApps' property
"
"a77ca1184686eea1278e1d73282635853182483c","2016-06-16 15:17:45+02:00","new param: -u
"
"4ec99bca7371f8a2a07ef43dace1c6d578ad0bb9","2016-06-16 15:18:06+02:00","nothing important
"
"96466226c043f2d56de760a6bd2330fd3b28b35f","2016-06-16 15:18:16+02:00","optional CompareString & suggested apps
"
"0d7887f56dc51ff9f51f3b16e81c156027567952","2016-06-16 15:18:24+02:00","placed a in.in call to activate suggestions
"
"4a71c39fc036ca38de5c8ad39215f83d27ceb2f2","2016-06-16 15:18:30+02:00","removed
"
"c69af1f4b76108bfa91ef53505071caf6342dbea","2016-06-16 15:18:37+02:00","suggested apps
"
"5d894cc07cfee3e9531e7f7964328b4759df6626","2016-06-16 15:18:47+02:00","updated
"
"788c2c4f6d0c0d216941aceb16c9096b9af11b50","2016-06-16 15:21:50+02:00","Create README.md
"
"3bea193c4cb90189807496f3c26142707bd81949","2016-06-16 15:22:30+02:00","Update README.md
"
"63225ef84db7a8c92e25e17f12e90c1e1bce6714","2016-06-16 15:23:37+02:00","Update README.md
"
"70dad0a2b8054635fecac5f83a347c289ac68ee3","2016-06-16 16:03:06+02:00","search an url
"
"ad4010f4865a4d9dda0b6a67fe33297b4fb918aa","2016-06-16 16:03:13+02:00","try to launch an app before all
"
"f3cb0b91b0c7e89ac04bec6dd0cb1ee46cd6d232","2016-06-16 16:03:20+02:00","updated
"
"31fd073e8fddf37e913a0dbd8b43b41e1aa32415","2016-06-18 10:45:36+02:00","scroll to bottom when opening keyboard
"
"1dc4009435268b67d788ddce6e308c45756ac20a","2016-06-18 10:45:43+02:00","new icon
"
"7c776783a1e64d45a820e99e24465c048719fc06","2016-06-18 10:45:50+02:00","updated
"
