"commit id","commit date","commit message"
"58a645b6ed39d11fd8a5bf986a40c8f58c5a67f0","2016-04-14 11:56:23+07:00","Fix clearItemsMethod: now it clears all items
"
"06473773a6f415c23fbd93d51996393b7e3ea626","2016-04-22 16:49:00+03:00","Update to 3.8.1
"
"fe9e23eccf3e7ca55e9b6d4dcdbd37e6a0276852","2016-04-25 11:39:13+03:00","Merge pull request #1406 from abcdeiko/actionmenu_clear_fix

Fix clearItemsMethod at ActionBarMenu
"
"1c74ed4587f9a7e086067165eaea0532a6c33cae","2016-04-25 22:26:41+03:00","Bug fixes
"
"f8ac14b414785d7f619405d341592130ba69e9b8","2016-04-29 13:39:03+02:00","Update Changelog for 3.8
"
"64036a76315918814be268bd2667911217f7ff52","2016-04-29 13:40:30+02:00","Update Changelog.md

Fix typo.
"
"9e51daf2a0ced5c8578f10dc964f24f225224961","2016-04-29 15:23:47+02:00","Update README.md

Include instructions for building the native code.
"
"168b05faeea670f30af58628ef28d97a7213aab9","2016-04-29 17:42:16+02:00","Merge branch 'master' of github.com:DrKLO/Telegram

Conflicts:
TMessagesProj/build.gradle
TMessagesProj/src/main/java/org/telegram/messenger/ApplicationLoader.java
TMessagesProj/src/main/java/org/telegram/messenger/BuildVars.java
TMessagesProj/src/main/java/org/telegram/messenger/GcmPushListenerService.java
TMessagesProj/src/main/java/org/telegram/messenger/GcmRegistrationIntentService.java
TMessagesProj/src/main/java/org/telegram/ui/ChatActivity.java
TMessagesProj/src/main/java/org/telegram/ui/LaunchActivity.java
TMessagesProj/src/main/java/org/telegram/ui/LocationActivity.java
TMessagesProj/src/main/java/org/telegram/ui/NotificationsSettingsActivity.java
TMessagesProj/src/main/res/values-de/strings.xml
TMessagesProj/src/main/res/values/strings.xml
"
"fbb52b79674ca5e097c331fb70fd91396777c41b","2016-04-29 17:42:55+02:00","Fix obvious merge breakages. There are more things to do.
"
"4fd5db68cba5bbb3b7d5ffe650ccf0b097b24602","2016-04-29 17:43:00+02:00","Merge branch 'master' of github.com:slp/Telegram-FOSS
"
"06595249c195c98070a97a74ef1c61bf580e3914","2016-04-29 17:50:47+02:00","Temporarily fix crash when opening loction link.
"
"001b09b7e821470980001aa3685249efd444b044","2016-04-30 17:20:52+02:00","Add generic shared by message to location objects.
"
"449a1345727024edd88722a907f89e87bb0cc06c","2016-05-10 14:15:52+02:00","Update openssl to version 1.0.1t.
"
"8dd9da6d0b24882e331e5bc8267d37173a2b7e51","2016-05-29 22:55:37+02:00","Use new F-Droid badge

Closes #99.
"
"e416d9c620fd80f24786493f780a41da9c116185","2016-05-29 22:56:41+02:00","Fix typo in Readme.
"
