"commit id","commit date","commit message"
"1efaae3a0bbec95975b2758864e933181358e713","2015-09-24 17:14:09+02:00","toolbar: Specify elevation
"
"455134a50466b275edb1b80674d381d31445dac5","2015-09-24 17:41:46+02:00","styles: Remove useless params

* They aren't being used on < LP SDK
"
"5768a4061d9bd777fa33f02083d3e3bd676b055c","2015-09-25 15:27:38+02:00","styles: Rename AppTheme to AppTheme_Dark
"
"4c81e6ccfcf95ab4b4f3b8328f1bca1724ebef4f","2015-09-25 15:42:48+02:00","styles: Add red theme variant
"
"0a0d93ec7c24df9f9290b4c5c8e86f022c56c0f1","2015-09-25 15:51:24+02:00","styles: Add green theme variant
"
"42fc413360c5ef529ee4f78c47b9a1ec0ecd3c70","2015-09-25 17:28:04+02:00","MainActivity: Implement getLessonTemplate()
"
"57370a1fa003f8c29861b5c571b1f98d361c3688","2015-09-25 17:52:58+02:00","styles: Add blue theme variant
"
"4be27c258d1f2d44a398a27c6ad89fac25792ddd","2015-09-25 17:28:30+02:00","MainActivity: Handle potential FC when view is null
"
"d2f334c87bb5c3d795be63e6b7f4897d4b1f775c","2015-09-25 17:30:02+02:00","layouts: Move widget.xml out of layout-v14
"
"997773db5191df57ec1cdd7522ef11e0475673ad","2015-09-25 17:38:30+02:00","Parser: Fix code formatting
"
"955d7d8b423067f3097be29d8a0de8c0d7ee41b3","2015-09-25 17:39:17+02:00","Utils: Use Activity for isOnline()
"
"23ce244192ead01bb41cdec7f750ca6d31b41251","2015-09-25 17:41:08+02:00","widgets: Replace for with foreach
"
"1fb7a1fe0cc7d278e122030b0192fa4aac40f5a9","2015-09-25 17:43:15+02:00","widgets: Do not specify appWidgetId while setting remote adapter

* It's deprecated
"
"d7395b07b32838ea187dba35f16136314e6145a0","2015-09-25 20:34:07+02:00","SettingsActivity: Split theme into theme and themeAccent
"
"c38684a5a0a65904fa2274956d8b8b2614112f7e","2015-09-25 20:39:42+02:00","Bump versionName to 4.8
"
