"commit id","commit date","commit message"
"4f024d4c32f3ed6dd006473c0526a3cc86fbfbd9","2012-01-09 18:18:05-08:00","initial checkin
"
"2aa78cd76a0ffc423061598fb3f2d2e9f22d8052","2012-01-09 20:05:38-08:00","added divider line between timer and lap times.  it's a bit of a hack
since the actual one didn't work...
"
"b7693860264c72469c0cbdae124f0a2de16fe805","2012-01-09 23:25:27-08:00","skeleton for countdown in
"
"10a4b87e97ef512df04c81fc1f204e748b99e920","2012-01-10 08:23:06-08:00","Change jar ref to be within project rather than absolute filesystem ref,
so that git syncs will work and still build.
"
"f8d5d52f02d34231a3e0f88a854c00ba744da296","2012-01-10 08:23:28-08:00","actually do the add
"
"235c519389b5d666bcd6c4b3623662c91e9d1113","2012-01-10 09:08:58-08:00","Make start/stop button toggle the input mode
"
"02704eec5144d54d31de42c8ea911562545d12b4","2012-01-10 09:19:48-08:00","Start making input verification
"
"48a28fbba44b0a9d8edb5f77bbac9a3cced5adb7","2012-01-10 15:45:13-08:00","countdown now counts down and plays ringtone / alarm sound at 0.
"
"e032ea9d040640faedb058af7f6b6e2b1b7343b9","2012-01-10 20:12:47-08:00","Add android notification for countdown timer expiration
"
"5a673afbef54a0e908e9a06a6a3cb69c26a0079f","2012-01-10 23:32:34-08:00","Mostly fix the countdown stuff.
"
"adc6d4d73c3784d9b2798b5dd7856b5d87c63639","2012-01-11 18:13:45-08:00","Adds countdown expiry system notification and tap-to-dismiss (via dirty
hacks)
"
"58f1a854c48292d52913e18c727ffa42d2aa03f3","2012-01-12 09:11:08-08:00","Fix breaking on rotation in the countdown timer.
"
"e81b83e5d51dca8c37ceef3dd89660231fb40231","2012-01-12 18:55:36-08:00","Start moving alarm tracking into AlarmService
"
"78d58ac8e6e4a3b51c5fee6d883f10fc160fdb72","2012-01-13 18:31:24-08:00","Extract alarm code into AlarmService.

TODO: start AlarmService on Activity startup instead of just binding,
save and restore the countdown input boxes state
"
"ac722542017e8bb27252096030198f2124512525","2012-01-13 18:44:01-08:00","Add save/restore state for the countdown inputs.
"
"5a606b1009e9902d9d2887d782a83127acf81500","2012-01-17 07:52:19-08:00","More AlarmService changes
"
"75126adc084303fe6a108d1ece2695711cb78284","2012-01-18 19:30:27-08:00","Migrated AlarmService to use AlarmManager... code is almost working, but
still need an AlarmService to manage playback of the alarm sound itself,
so that it will be cancellable - BroadcastReceivers have too short a
lifespan.
"
"83a890b9d7d208b72becc442b18103cd6f6edff3","2012-01-19 09:19:22-08:00","Reinstate AlarmService, but this time a non multithreaded version which
uses Intents for inter-object communication - much less messy
conceptually.  Also, change the stopwatch ui thread to target 60fps
updates rather than just doing Thread.yield().
"
