"commit id","commit date","commit message"
"3e0cd46924926cb276901bf879355e113bf4f213","2013-06-23 18:36:01+02:00","Fix compil with new ADT
"
"a9926b267d29662ac08f2c958cf808286c52bf2c","2013-06-23 18:44:33+02:00","Gestion des gros fichiers pour Rennes
"
"ea83ac9c4022313069bc20f997cdf9579a7c2744","2013-06-23 18:44:58+02:00","Mise à jour des horaires de Rennes
"
"fe1128c70cb1f2cafe9cddbf6cd582c272ef8c17","2013-06-23 18:45:15+02:00","Passage de Rennes en version 3.4.3
"
"386e41f98e10a500c2f94a482233f8681fc5dc60","2013-06-23 19:04:42+02:00","Gestion des gros fichiers pour Rennes
"
"c2d2afb77b491a63ee2be2aaf2be80880f6c5b38","2013-06-23 19:10:41+02:00","Mise a jour des horaires de Transports Bordeaux
"
"dba44d5144a405290f540efac299d6a41cd19b3e","2013-06-23 19:10:59+02:00","Passage de TB en version 2.7.1
"
"4a4aabf23045ecea4a2cfcfda07a45480da25fab","2013-06-23 19:18:45+02:00","Fix compil with new ADT
"
"8f51784d34ede9202b5c05ec382524adfaaa03ec","2013-06-23 19:22:03+02:00","Merge branch 'master' into noGoogleMap

* master:
Fix compil with new ADT
Passage de TB en version 2.7.1
Mise a jour des horaires de Transports Bordeaux
Gestion des gros fichiers pour Rennes
Passage de Rennes en version 3.4.3
Mise à jour des horaires de Rennes
Gestion des gros fichiers pour Rennes
Fix compil with new ADT
"
"8e3b0af3de14d9ce49c07817089d23920be2fa68","2013-06-23 19:22:46+02:00","Remove capptain
"
