"commit id","commit date","commit message"
"87ebeb7b32b2c4b6a90f8d9ae05aa7ed612fc7ce","2014-07-07 11:23:35+02:00","Initial commit
"
"ee33e26627298985592f9b25c03837e12986a1b6","2014-07-07 11:53:58+02:00","Commit initial
"
"60779420b59ce51fb21890d1eadfa154c8e44e4e","2014-07-15 17:08:04+02:00","WifiEAPSim : ajoute le ApiLevel minimal (21/L/Android 5.0)
"
"115e071a79e93cd91ac358f8a430309ec2affa8f","2014-07-15 17:09:45+02:00","WifiEAPSim : déplacement des fichiers dans la conf Graddle
"
"646e85ac0b569ba307ad2d0f2643513a13f21279","2014-07-16 22:35:12+02:00","Handle strings the std way
"
"81698d44582e5c322bf6a5b9147ed8ac9ada6e34","2014-07-21 13:45:04+02:00","WifiEAPSIM : MAJ Version SDK
"
"e5c527bbfba2f371acb5b6338af90643da0d0cdd","2014-10-22 22:46:01+02:00","Update to SDK 21
"
"b8b0e666a497f7d93b09696c9f2ae90bed843657","2014-10-29 21:55:33+01:00","Merge branch 'master' of github.com:SLoeuillet/WIFI_EAP_SIM_Conf

Conflicts:
.idea/misc.xml
app/app.iml
"
"3a6dcf398429faa3f459b509c22a1ae63bcc190b","2014-11-07 21:41:38+01:00","Update to NAI with suffix
"
"7bad2a09b52967beab15ea57c7f375d8796f6c63","2014-11-07 21:47:55+01:00","Update to NAI with suffix
"
