"commit id","commit date","commit message"
"9f025d75da223c8ea1fbccd803fc651d3ebf41bb","2016-01-16 16:01:59+01:00","Update CHANGELOG.md
"
"7551165882026e1ddfdd28c694bf78ad1f802a35","2016-01-16 16:20:01+01:00","Update README.md
"
"60562d1f40b3ce8f57f01135c0037e556c2ec5b8","2016-01-17 00:58:21+01:00","Update README.md
"
"2ceaf00fb7a041123ea69ca0ff05a872f2233629","2016-01-17 11:33:49+01:00","Update README.md
"
"aca7ccb76042fde93d09b5f00c05e7f00dfbc36d","2016-01-17 11:36:54+01:00","Update README.md
"
"429311ad6e12048ad9c95f75883a8b3e2f9e5ef7","2016-01-17 12:56:21+01:00","Add German language
"
"2c34ef6101dfd1199b86929fa644728ce14a731e","2016-01-17 13:08:38+01:00","Merge pull request #11 from nlsltz/german-translation

Add German language
"
"58c52d8ae9c541016f33612b81433f5cac72d16f","2016-01-17 13:17:35+01:00","Add Japanese language
"
"9be00430cd9d8c66d9a093e4267dd156731638ca","2016-01-17 13:18:07+01:00","Update README.md
"
"dcde0698d6dd4406670a5d5e98bf29da9654a9f6","2016-01-17 17:09:46+01:00","Fix donation currency
"
"a2c79a7c15e9df881323f39966b69616676fb297","2016-01-17 17:10:16+01:00","Increase versionCode
"
"59423ada27fdecd5198d2d56fe07adee29c364fd","2016-01-18 16:24:01+01:00","Update strings.xml
"
"4d40a3bba7dc98edd9fb81f81f8a32d069be5ed3","2016-01-18 16:42:17+01:00","Switch to another typeface
"
"1b2da2f141ba52c0f06f164c97e286b98163208b","2016-01-18 17:18:42+01:00","Allow cancelling the download
"
"330702c6577f254055c66c5489002971572500a0","2016-01-19 01:34:36+01:00","Update README.md
"
"43d52c4e9537c78160ade9aa147f5fba9c43fb41","2016-01-19 12:19:51+01:00","Update README.md
"
"cd09c84944fc5d94f320e5fac87ba18d35746356","2016-01-19 13:27:16+01:00","Update README.md

+translate on Crowsin
"
"55d098f4556737799b2523f75ed74908472ced1c","2016-01-19 13:36:12+01:00","Merge pull request #16 from Airon90/patch-2

Update README.md
"
"ce4f08fa272f32d422d5dc6acbe9f9500eb685fc","2016-01-19 23:31:09+01:00","Share APK when saved in 'Downloads'
"
"d8218616b03e2ac45352597420c2db0237e2b301","2016-01-19 23:31:17+01:00","Update strings
"
"514c8dac0edf82a056b43564e7f2b39a205b124f","2016-01-20 13:56:40+01:00","Update Japanese language
"
"54533332a28a7998be0d927a04376b58ebe1d33c","2016-01-20 16:23:42+01:00","Add Android-Arsenal badge
"
"8e534f84ab343ac78a6d9add3de5cfd282794e04","2016-01-20 17:00:10+01:00","Add Catalan translation
"
"8163231f820bfa42f8dac8369b6a199a8ce03c6b","2016-01-20 17:09:32+01:00","Update README.md
"
"866e981338113a82ff8b0e3b328196dd2ebb0b4e","2016-01-20 17:18:51+00:00","Update README.md

Fix small grammar mistake
"
"cf9b0afa83cabb3c4d78e43b3fb07bf44f8ece25","2016-01-20 18:24:45+01:00","Merge pull request #17 from ed-george/patch-1

Update README.md
"
"d787272a1675a7642d8b69af5c474e6a7dc4e02f","2016-01-20 18:26:11+01:00","Update README.md
"
"eddb2f0c4c1750afa5f8fc7fb30665bb23fecb46","2016-01-21 18:09:42+01:00","Add Snackbar when an error occurred in the download
"
"4aea38bc9df76559b28f41880ddcfc4e11c6eb85","2016-01-21 21:31:20+00:00","Update README.md

Further minor grammar changes and clarity to README
"
"951fa614092f0de9248f2e56dd8b5da841bbcbf8","2016-01-21 22:53:06+01:00","Merge pull request #18 from ed-george/patch-2

Update README.md
"
"80e48eb88c61061664703c31b3d4672ccb18aec1","2016-01-24 11:22:26+01:00","Prepare 3.1 (17)
"
"12a48b8d30c710136027f2638100dfeb11b38b48","2016-01-24 11:40:38+01:00","Fix a FC when using debug
"
"d0993d52b936ee1132a304c493839c6272f8090e","2016-01-24 11:43:16+01:00","Update Japanese translation
"
"a983710b9630ce51a60a930d57b94fed9d33f3f7","2016-01-24 11:43:41+01:00","Increase versionCode (18)
"
"85b0233d41d9b4d2cba3b6e6b4bd3766d99caa8b","2016-01-24 16:32:15+01:00","Add notification sound
"
"985b7cb1554193d5a394d93cdf63d298573c0495","2016-01-24 16:44:16+01:00","Add '1 hour' notification frequency
"
"5dcacd3e43e92041c6aa92a0d7e5092f2db66931","2016-01-24 16:54:07+01:00","Add notification sound to builder
"
"50eaf3feb61b2fb5abc1cc7986ad589bdb672593","2016-01-24 17:19:32+01:00","Update CHANGELOG.md
"
"11746bbcf0a1d6f9df4987aac79aec24728952e2","2016-01-24 17:21:44+01:00","Update CHANGELOG.md
"
"c0cb8e4b96992d3c8974f76fc28bbf0bb692407c","2016-01-24 22:25:23+01:00","Fix German translation
"
"e26bb49dd68e2c36d6c1e03570d98aa3daf9189f","2016-01-24 22:30:09+01:00","Add Dutch translation
"
"c0697b66cb980ed813561dcd3e768f856dd01224","2016-01-25 00:13:46+01:00","Fix some style issues with Android 4.x
"
"b2c344636f92beaee82ab2172c0374ff1eefde5c","2016-01-25 00:47:15+01:00","Some minor style fixes
"
"031e7697c6c14658822449184ec2ed2383c1cc81","2016-01-25 00:49:33+01:00","Release 3.1.1 (19)
"
"1ceead3ea1b337988ad04ec6482ee9a67bf9b526","2016-01-25 00:53:20+01:00","Update gitignore
"
"3bd9160bde1e016f1bd0e94b78d724c1645daf91","2016-01-25 01:01:04+01:00","Update README.md
"
"6812194c069220902f8aef1a757fdd49305f1fa6","2016-01-25 10:21:00+01:00","Update CHANGELOG.md
"
