"commit id","commit date","commit message"
"2f5e70c12e6ccc7ffdfa3667e3ab9f863d508bfc","2010-05-06 15:30:27-07:00","first commit
"
"74931eb76f042cda5a9dcadef3f5fa93a738adda","2010-05-06 15:43:15-07:00","actual contents
"
"28544466fa247e98bf03f8ab26b9c456c2fcea51","2010-05-07 07:37:05-07:00","0.6.3.1  Flaming Falafel
"
"70e2931abd654617415aefa888109b367f7dee8a","2010-05-07 07:41:24-07:00","0.6.3.1  Flaming Falafel
"
"0c3b46f8e179658d2bf79e25a11d24340b672706","2010-05-08 16:02:11-07:00","0.6.4p1

Fixed bugs with menus in WifiFixerActivity
Set watchdog for wifi toggle failures
"
"1d5a02624e9ee07bbf111ece5d6b43f572505eec","2010-05-10 07:48:20-07:00","Further fix to wifi toggle to prevent crash from multiple WifiManager.setWifiEnabled()
"
"23ef2a5eecbf44453fc153582548b55a5ff3ae27","2010-05-10 08:58:51-07:00","Added new http header ping method that's more efficient than
the Android classes I was using.
"
"3ad8b1a3a39e51371088f95b9715a9a77397b5e0","2010-05-10 13:33:49-07:00","moved icon and logging refresh to OnStart in main activity
"
"2dd51297820c86747fc5b9668ad358b248ca6bf3","2010-05-10 15:03:34-07:00","Release changes to AndroidManifest.xml
"
"85a19fa67dba43d7a087b3610fb152c04e34bd45","2010-05-12 13:49:03-07:00","Removed quite a bit from About to add Help.

Added Help, menu item, html assets, Activity class.
"
"d8a3c00fe1a9c54ea84dc096011c1134f92eb5c4","2010-05-12 14:09:07-07:00","Added proper type to email intent, whoops!
"
"b9b308910b8c806186251432441d2f9645d3a162","2010-05-12 15:51:21-07:00","Changes to copy in html help assets.

Added hooks for shouldOverrideUrlLoading to handle
external web, email and stop.
"
"f77bb95bec2f2a5d57671b4c6bf16c22e57540c2","2010-05-13 08:22:40-07:00","Release: Final changes to docs.

Manifest version change.

Minor tweak to WebView settings to disable cache.
"
"e5547bb56b8e217da12e0ccf6dff44ff5c7fe16c","2010-05-14 09:09:53-07:00","Release 0.6.5 Excellent Edamame
"
"992a373a02f10931b7b51e6fb8370edc9ad2776f","2010-05-17 13:00:31-07:00","Supplicant fix handling moved to broadcastrceiver

new post cleanup method added to Wifi toggling to avoid possible race

added WifiManager.WIFI_MODE_FULL to wifi lock because buh should've been doing that all along
"
"3f5fc4f06464cd84d56c2da858de3e78d678d5bf","2010-05-17 13:36:15-07:00","Fix for null supplicant broadcasts.
"
"e9b06d0b70d6b895da1235e57260c851e832b8d4","2010-05-17 17:23:32-07:00","0.6.6 Yiffy Yam
"
"d079c07e5219fd1e8b01739f039d4fd44192f28c","2010-05-18 08:38:20-07:00","Finished integration of supplicant fixes, still not finished.

Moved wifi toggle to toggleWifi; queued commands to hMain instead of relying on BroadcastReceiver.

Changed default to Performance 2  i.e. Wifi Lock on.  Default committed to SharedPreferences.

This may be stable, not sure yet.
"
"d15902757b9f3bf7b0f739022b939140ba05f69d","2010-05-18 13:00:55-07:00","Added new widget resources and XML.

Added real wifi state watchdog.
"
"2cff6847ad2de3d33c14b9ad4762fa973aeb37eb","2010-05-18 13:46:25-07:00","Added widget docs.  Tightened up the wifi on watchdog.  Changed where it sits in the core engine logic.
"
"de19b0309794330badb3027556c998f7cb95ea21","2010-05-18 15:55:58-07:00","Fixed a logic problem contributing to the flaky wifi toggle.
"
"177ebc10d0a8651485e9f4d6a44740d496f5e02e","2010-05-19 08:31:06-07:00","More changes to command queue to clamp thrashing.

Wifi toggle behaves now.
"
"e1273c19962146b34a77518fe75b48f9bd709960","2010-05-19 11:45:02-07:00","Fixed widget crashing wifi toggle if spasmodically pressed.
"
"a547d081c20c8ef719ce1db09d2f42b6e3d19e77","2010-05-19 17:25:42-07:00","RC2

Tuning.
"
"f6a77bdffc4aeac98d1af16dbac1897fe17f5d14","2010-05-19 21:11:18-07:00","Added logging for known network's capabilities.
minor opts.

RC3
"
"c78f6bb132d56b6a9b402beb031926753561f935","2010-05-19 21:27:33-07:00","Modified README, less lame.
"
"a193aabc097773329c2f8ab377281c070ef7161a","2010-05-20 09:39:53-07:00","Release changes to html, manifest

Added wifi toggle to unresponsive supplicant.
"
"b50ca2230a3c8c98d8cade5572ebdb7da27a8514","2010-05-20 16:21:19-07:00","0.6.6.1 Fixed bug where wifi wouldn't stay off.  Fun times.
"
"9b27e529f0171e9330c6cd6703bb77c1c1757eca","2010-05-22 16:39:33-07:00","Manifest changes to hide app from Android 2.2 devices.
"
