"commit id","commit date","commit message"
"6e2ce7d35b3415ee2de268aa75add8416c1151fb","2016-06-26 10:50:00-04:00","sync feature branch
"
"2b322c0fde3bdd288fdf5fe015357e4cd5000d66","2016-06-26 11:41:10-04:00","Allow WiFi band switching in specific menus
"
"1a39b222c92052ff7a4701c9c1961a4b727109ea","2016-06-26 14:16:37-04:00","display geo location warning
"
"8a70a259e1e4bd3ff09b2d478f6f0059d9991df4","2016-06-26 15:11:15-04:00","connection details layout adjustment
"
"0b6eb53232e97a9d911fb0e3a3f45a7b5dee6d5b","2016-06-26 15:25:33-04:00","added 36dp png images
"
"21fb9e379216cc062f7daccc6f8c51aaeadb9494","2016-06-26 15:30:05-04:00","change to use 36dp images
"
"02ff0d9c57cc0c2e0cddb5652ebb031ab6bbe5be","2016-06-26 15:30:39-04:00","remove 48dp png images
"
"bbd46f139085b22390e4555684e0148739d3f5ac","2016-06-26 15:48:21-04:00","added channel width to display
"
"bf0fdcaf50dad320e877baa7e4263831f316c980","2016-06-27 09:00:25-04:00","change application name in development mode
"
"d51df78a17d5cfc3705580344bfa319c90767830","2016-06-27 09:19:20-04:00","layout adjustments
"
"d525b872d24d6eb8e52b0e4f8ba9ac9f53014156","2016-06-27 14:40:13-04:00","remove duplicates in readme
"
"4b325909b7f7997e430830b4d77c333ebe9535b2","2016-06-27 14:51:12-04:00","merge new features into master
"
