"commit id","commit date","commit message"
"052de8484c64ca4b0712588822d965608c0ffd00","2012-03-23 00:04:43+05:30","Added full CREDITS for iOS and Android.

Conflicts:

assets/www/android/platform.js
assets/www/ios/platform.js
assets/www/js/main.js
"
"f0f45290da8b67c2d229ddade2c6dc48e87ed399","2012-03-31 19:14:17-04:00","Fixing ruined CSS file
"
"2d85752e6e05037fbef63bd443d520f3f92c63b6","2012-04-04 15:39:06-07:00","Fixes Android browswer --> Wiktionary VIEW bug

See bug 35677 for more details.
"
"37152589e7d93efef05daec89b17bf8b51cf3635","2012-04-02 11:26:51-04:00","Making order of menu items match wikipedia
"
"4c37931d6c6d0f4c152697b76138734bc6136a7b","2012-04-02 11:41:55-04:00","Adding icon for share
"
"c82119f65dc21a50cd004b6896ae5a07ad7d6720","2012-04-01 16:49:07-04:00","Fixing onPageLoad, adding afterPageLoad
"
"85432035b0eb8317056062970ff4950bb3c4adfd","2012-04-02 10:57:35-04:00","Now expands first section only
"
"3da7fef6a434527390cc9380a46f0e13082a195d","2012-04-02 11:08:50-04:00","Updating timeout, adding better explanation
"
"06400e7cbde1c30271ed10db995c6703fe84359f","2012-04-06 16:22:03-04:00","Updating comment
"
"3db0574ca7536b095e4bde4ae4cbaa307ea955ae","2012-04-03 02:48:42-04:00","added progress spinner when loading audio
"
"2392eeb468b8e7175dbda7516827c8e20be0face","2012-04-05 21:52:50-04:00","added in-list spinner show and hide functions in chrome.js
"
"e9e9884e95381508f8c2babf03a7f3c23e1d5145","2012-04-06 23:45:17-04:00","showing list spinner in the list item
"
"c38117862b24564c3c85b8c5c183087152e5c383","2012-04-10 01:17:09-04:00","fixed Forwards button being permanently disabled
"
"c6504f982e88607748dab8ac7eef1d12339060a6","2012-04-10 14:15:03-04:00","Fixing MobileFrontend.toggle for v1.0.1b
"
"4fb577f39a7fbc35ced7064f67a76052bbaa1ad1","2012-04-10 14:21:59-04:00","Adding xhdpi version of share for v1.0.1b
"
"d9f1d33df94dff80c153ebc327081b9118c04f80","2012-03-23 03:43:34+05:30","Fix extra space appearing at bottom of screen in ICS and iPad

Conflicts:

assets/www/app.css
"
"be039d44aa932831b20f5c5beb348d3b31856f2e","2012-04-10 16:27:38-03:00","Removing trailing whitespace in audiolinks-close
"
"0c32be91793aa8c853abedd4a6096054f6b41805","2012-04-10 15:22:02-07:00","Changing logo and icon

This is the version voted upon by the team and spruced-up by heatherw.
"
"558fc8d4f52e45538d90b77af415b3760a2acc24","2012-04-10 19:09:38-04:00","Trying to make buttons work on Galaxy Nexus
"
"9b4c48673e712b2cea3421929fd3a658b2c5eb29","2012-04-11 12:31:45-04:00","More button styling for Galaxy Nexus
"
"adb1fd6c6120cb0f1c6b80f22bafaa7540c375ea","2012-04-11 12:33:30-04:00","Removing unnecesary style for Hide button
"
"82102884a31d40d3e4b34c0702ca83a17db5de2a","2012-04-11 12:40:56-04:00","Adding comment
"
"89ca583881bf15c5936f7bf4e367c67f77413e33","2012-04-11 12:59:48-04:00","Removing unused strings, fixing typo

Conflicts:

assets/www/messages/messages-en.properties
"
"253ec14971c59ccb0b1bc9e34066bb34a47d8cb4","2012-04-11 13:06:16-04:00","Removing unused translation string
"
"6d605e7a15d62ce535e9b061e3651033c99bacb9","2012-04-11 17:21:01-04:00","Grabbing most current translations
"
"adc577817f8de8b3d683863f3f813a1fe23dedc8","2012-04-11 17:26:01-04:00","Bringing back menu entry for Listen In
"
"49bb548e81f5c897b88c37b4167e257426273386","2012-04-14 14:55:30-07:00","Newer icons with different resolutions

Also fixes the off-center problem from the toolbar search icon. It looks to me like the app's icon (displayed among the other apps on the Android screen) is the proper aspect ratio now, but if it looks odd to anyone, just let me know which way it's squished.

Conflicts:

assets/www/app.css
"
"a8edeb626e53cf914cb2f189ea694871b28f4969","2012-04-15 12:43:06+00:00","Localisation updates from http://translatewiki.net.
"
"45f0905da65868c42b2f2c8e1b55210417f34eb5","2012-04-15 16:58:24-04:00","Making loadfirstpage call the correct method

Chrome.loadfirstpage gets overridden as a platform initializer, so this is needed in order to make the correct call
"
"3c42da71756a6ae6a56aa8bef427715cc0b8833b","2012-04-15 16:29:56-04:00","Fixing the application intents
"
"c65c757951f2b9b46736a13e8c2562b499607eef","2012-04-15 17:39:51-04:00","Normalizing mobile urls before navigating to them
"
"5ac84dc4a41ad4030770602b9224f13c5459adf1","2012-03-22 23:02:53+05:30","Updated deduplicated AUTHORS list
"
"fd6ba5d8f82a09f9675610f3b67c87c1ba3d7620","2012-03-27 04:55:45+05:30","Removed my name from the AUTHORS list
"
"883bfb6a454b1b2bab02a9b7b458edb91c4a34c0","2012-04-15 18:53:32-04:00","Removing duplicate author
"
"8729a0e03fc4f6a1c9c9e947b0068079c1b8ecf9","2012-04-17 11:26:04-07:00","Merge pull request #31 from pfhayes/v1buttons

Fixing disappearing buttons on Galaxy Nexus
"
"265418a5f5e0cfdf09a99e788adfe59d5959abcd","2012-04-16 01:20:07-04:00","disables select text on android 3.0+

Conflicts:

assets/www/js/chrome.js
res/xml/plugins.xml
"
"2b4915e00fc864285a2d0dc48dfa1b6e1d5ed47d","2012-04-17 14:01:24-04:00","select text now removes, without the plugin

Conflicts:

res/xml/plugins.xml
src/org/wiktionary/WiktionaryActivity.java
"
"e8161f501260bf83115be3f6cf99b0ccbe6656cb","2012-04-17 14:09:35-04:00","handles undefined androidversion
"
"48549db88f9549a8c2fb384dba69d644b7d154a1","2012-04-17 14:33:47-04:00","Merge branch 'v1.0.1' of github.com:wikimedia/WiktionaryMobile into v1.0.1
"
"d7c09df7f5ef5bf0fbbc10a6403503c9f3d20fc0","2012-04-20 16:10:41-04:00","Turning off Share to Wiktionary for v1.0.1
"
"90242367651cd879464ff0097fb1e7f8d63f6a58","2012-04-21 10:31:06+00:00","Localisation updates from http://translatewiki.net.

Conflicts:

assets/www/messages/messages-ca.properties
assets/www/messages/messages-he.properties
assets/www/messages/messages-is.properties
assets/www/messages/messages-os.properties
assets/www/messages/messages-sat.properties
assets/www/messages/messages-vep.properties
"
"f1a7b3ff48d1dc4b2975e33f28cd5e55b1998a5d","2012-04-17 20:59:25-04:00","attempting to remove listen-in on 2.2
"
