"commit id","commit date","commit message"
"ee9f0e9acaa65af5e1a7a986b7781ac27c1778f3","2012-03-22 03:46:48+05:30","Fixed RTL bugs for settings page
"
"eb2d925fdd8799cfcdf3a37e63be0e4749813a6f","2012-05-09 14:20:41-04:00","Renaming 'Word of the Day' to 'Home'

Conflicts:

assets/www/messages/messages-qqq.properties
"
"242b015c2ba6f89f9944878beec390429b730fba","2012-05-12 16:35:01-04:00","Keeping Word of the Day

Conflicts:

assets/www/messages/messages-qqq.properties
"
"66e1dbf60e1704856e65a2095385278d4c4e3ea6","2012-05-12 16:40:59-04:00","Changing button text
"
"3c51122903bd600641df2104c55012a7b27d410c","2012-04-23 13:18:04+00:00","Localisation updates from http://translatewiki.net.

Conflicts:

assets/www/messages/messages-nan.properties
assets/www/messages/messages-tly.properties
"
"42f84dd22f23c57a26c5a836d17b3a7e8cc72b4d","2012-04-29 23:16:29+00:00","Localisation updates from http://translatewiki.net.

Conflicts:

assets/www/messages/messages-ca.properties
"
"f594fc1f3b47be4b3613517d806d58987698545f","2012-05-03 21:57:32+00:00","Localisation updates from http://translatewiki.net.

Conflicts:

assets/www/messages/messages-he.properties
"
"9affbeb1432b02e30e9c8a8471caa2cf579944a1","2012-05-12 17:19:28+00:00","Localisation updates from http://translatewiki.net.
"
"32ad93b89e0c0909e53774183316e74d39cb9a6e","2012-05-12 18:43:30+00:00","Localisation updates from http://translatewiki.net.
"
"7225548179d9bdd03815e167e17256b758f92913","2012-05-12 16:59:38-04:00","Bumping version numbers
"
"7e5e7b095ffddaa7b7760a9fc6e84fade0283751","2012-05-12 17:34:07-04:00","Fixing url intents

Fixing intent filter
"
"f9e50098b5d02dd42dd4185b047c87a22d11959d","2012-05-12 18:19:39-04:00","Allows opening main page
"
"eb6d8e2daeb9e3c2fb2dd2538898c81b01ee3d5e","2012-03-22 13:58:47+01:00","Links on license. Fixes #34030

Conflicts:

assets/www/messages/messages-en.properties
"
"d51290bf0ed3aaac18ff5fbd4be7d03e234e0538","2012-05-20 11:15:28+00:00","Localisation updates from http://translatewiki.net.

Conflicts:

assets/www/messages/messages-arn.properties
assets/www/messages/messages-cy.properties
assets/www/messages/messages-ky.properties
assets/www/messages/messages-sah.properties
assets/www/messages/messages-tr.properties
assets/www/messages/messages-uz.properties
"
"76aef7fc4b92d3bfc2393d7e5fc10e2c2db7504b","2012-05-26 21:24:08+00:00","Localisation updates from http://translatewiki.net.

Conflicts:

assets/www/messages/messages-hu.properties
"
"fb8496d0372715bb9311ef9fe2030778306777c1","2012-06-04 15:06:29+00:00","Localisation updates from http://translatewiki.net.
"
"1af5e64894ff6c6cf977c5885f89ae5f3b3d42eb","2012-06-10 23:49:47+00:00","Localisation updates from http://translatewiki.net.

Conflicts:

assets/www/messages/messages-tl.properties
"
"62466913087ca62dc3552b7fe69831b1c3c452ce","2012-06-13 13:19:08-04:00","Bumping version numbers
"
