"commit id","commit date","commit message"
"5f3dfae3950f8548c1505fae408ebdeca8d009b8","2014-02-19 17:13:16-05:00","Added hasActivity() check before requesting more notifications, just to be safe.
"
"606babdd74b43283c45ee5abd164125de153d2bb","2014-02-20 10:27:35+01:00","Merge tag '2.6.1'
"
"55a4b2aa62cdca9598026aa18ae9fac538246eb3","2014-02-20 10:55:07+01:00","Merge branch 'issue/927-illegal-state-notifications'
"
"4862f29dbc5b6c1fd4ccb60d81532fdb7c3cfc77","2014-02-20 06:09:43-05:00","Fix #930 - ClassCastException in WPAlertDialogFragment
"
"7fd8cbb4dc230b08518026e83fe35f4b2b41cae3","2014-02-20 07:31:42-05:00","Fix #247 - status icon should show error
"
"837d8866f28bc1c3a090ce01f97df0bd602e8958","2014-02-20 17:20:13+01:00","fix #938: check hasActivity in onPostExecute to avoid a npe
"
"973b73bcb509aed13cf7ad0206be7d735595dc6c","2014-02-20 18:26:10+01:00","move hasActivity()
"
"5b9989cb8e0d5a8476b595287a79901ba80a9c26","2014-02-20 12:31:50-05:00","Merge pull request #940 from wordpress-mobile/issue/938-npe-while-uploading-from-photos-app

fix #938: check hasActivity in onPostExecute to avoid a npe
"
"a2a412edf11f7ae702c583073b6fed9a71bdfef9","2014-02-20 18:35:02+01:00","- Do not get the video mimeType from MimeTypeMap if it was already set in the cursor.
- When both cursor and MimeTypeMap fail to retrieve the mimeType, try to guess it by using URLConnection.
- When all of the previous method fail, set an empty mimeType.
"
"f4e25f618e8e7f3811f20852b6f62fb1fdbd1d87","2014-02-21 01:01:37+01:00","Moved the code that retrieves the mimeType of a Media File to a utility method.

We can't live without mimeType.
"
"6da20c045eb485a74feb5a8fc4ae862a5e1e2dab","2014-02-21 01:04:39+01:00","Just renamed a variable
"
"ed405194efa70b21769776e126380509e739aca0","2014-02-21 11:20:33+01:00","fix #943: add default dimens for theme dialog in case Utils.isXLarge() returns true even if the device width is < 720dp
"
"71eea70d14630cac078113dcbacb660cc9c82642","2014-02-21 14:01:25+01:00","Make sure the file has an extension, otherwise WordPress (server) can't match the mime type by using the filename provided in the request.
"
"0cff7b4e74ae3bf971e659f70f357d45b1a04938","2014-02-21 08:05:59-05:00","Fix #945 - extra protection to ensure we don't request more notes before the fragment's view has been created. Also optimized adding/clearing notes to avoid calling notifyDataSetChanged() more often than necessary.
"
"6158f2b0a824038a89fdd5142872de351bf11d9b","2014-02-21 15:12:19+01:00","fix #944: use long instead of int for comment ids
"
"bd6d7299cf97cb28d8e750811ad11f05df44865a","2014-02-21 15:29:43+01:00","Split 'getMediaFilenameAndMimeType' in 2 different functions.
"
"1b8518709ae1e64db617e43a2cace64a2d43554f","2014-02-21 15:50:04+01:00","Fix an issue where 'getMediaFileMimeType(File mediaFile, boolean isImage)' is called with false on images
"
"2b8caa2416c3bc67923c11e2883bfe2468ed2d46","2014-02-21 10:01:51-05:00","Merge pull request #941 from wordpress-mobile/issue/926-NPE-video-mimeType

NPE - video mime type
"
"a77b1c2216ceb8cd3f16106688de3996275aee08","2014-02-21 10:14:44-05:00","Merge pull request #946 from wordpress-mobile/issue/943-resource-not-found

fix #943: add default dimens for theme dialog
"
"6b489dea852e17dfde6b47b508da94b507046be0","2014-02-21 17:01:08+01:00","Merge pull request #949 from wordpress-mobile/issue/247-upload-status-icon

Fix #247 - status icon should show error
"
"cdc25d53e3a1af9f7226ce76f503a28170f80a16","2014-02-21 17:13:43+01:00","Treat int or i4 as a long if they can't be parsed as 4 bytes int - in XmlSerializer.deserialize
"
"b0b008d8ed90efb2534f4c0f4fd37542038dc15f","2014-02-21 11:22:48-05:00","Merge pull request #948 from wordpress-mobile/issue/944-invalid-int

fix #944: use long instead of int for comment ids
"
"99e98c1e6dae1d1fa8a63b538c06f942e1cf22f5","2014-02-21 17:33:54+01:00","Merge pull request #947 from wordpress-mobile/issue/945-notifications-illegal-state

Fix issue/945-notifications-illegal-state
"
"ff8ce64c546d6b09b4dbb458f32a50d8af5a0b70","2014-02-21 17:58:21+01:00","Catch Internal server errors, and try to show a better error message to the user.
"
"060074e4b47a76efd704bd174238baf9b61a30e2","2014-02-21 18:01:41+01:00","Merge commit '732f81a8ca43ad7942a2573679dcd0ad2990795f'
"
"d6ef58940edf0c3d64c26c7620e945978379a7ff","2014-02-22 05:06:26-05:00","Added isFinishing() check before showing Toast on failure
"
"52505eb54081badf402d8e68035ca78374147fce","2014-02-22 10:04:58-05:00","Now making sure blog is valid before loading comments
"
"ccc28968b8a9be6935d023530b7ff157d8d28cd0","2014-02-22 10:20:22-05:00","onBlogChanged() is now called when all blogs are hidden
"
"ce1a2d7d9c5f48400b4142a10996a2016cdc384b","2014-02-22 17:03:43+01:00","Improve error messages. Do not rewrite the error if we're not 100% of the root douse of the problem.
"
"91c2f12aa35d8ce384ac384627c58f7c6d586405","2014-02-22 11:32:47-05:00","Merge pull request #956 from wordpress-mobile/issue/942-catch-server-side-oom

Fix #942 catch server side oom
"
"a489f6aab9199617868e126698dfaf35f4d206cd","2014-02-24 09:55:15+01:00","Merge pull request #953 from wordpress-mobile/issue/952-posts-illegal-state-failure

Issue/952 posts illegal state failure
"
"f076e6743fc70006b32fb2f96997a9e5785edff5","2014-02-24 04:07:52-05:00","Now checking for valid post before sharing
"
"af9caa35bdb959d9dfa53e979646f5ac86343268","2014-02-24 10:50:36+01:00","Merge pull request #958 from wordpress-mobile/issue/957-npe-reader-share

Fix issue/957-npe-reader-share
"
"76befd8f81cd31866cede7fe405229dc30621ddc","2014-02-24 14:23:23+01:00","Merge pull request #955 from wordpress-mobile/issue/954-comment-list-runtime-exception

Issue/954 comment list runtime exception
"
"cd976c44c8d73414adae171ad12f40498ffb83fe","2014-02-26 22:18:06+01:00","Use DefaultHttpClient on wpcom
"
"39a2543b6f235b636ce49db794a53d1781f2894d","2014-02-27 08:26:38-08:00","Version name and code bump for 2.6.3.
"
