"commit id","commit date","commit message"
"d01a2e5bfa2cdd70a21351f969ee5ab55b3500ea","2016-01-13 11:22:30+01:00","Merge branch 'release/4.9' into release/5.0
"
"8a9467b84c545a74533408b3a93a9a411d90e269","2016-01-13 10:52:34+01:00","drop android-cq plugin
"
"51be7050b6bbf6c945b3e808de1a418f63e1441c","2016-01-14 14:17:55+01:00","New resource file: key_strings.xml

* Moved key strings to their own file to unclutter the main strings.xml file (they're de facto untranslatable)
* Marked self reference strings untranslatable
"
"22a5fbaa3efbd75aaae17d0edb85532c6b0386e3","2016-01-14 10:52:54-08:00","Merge pull request #3609 from wordpress-mobile/issue/fix-untranslatable-problem

A lot of untranslatable strings appeared in GlotPress
"
"7490b5506037812b4dd8d9681762e5d5be8768ec","2016-01-14 11:25:17-08:00","Marking URL strings as not translatable
"
"5dc7db70444334c180766d535832cc78474f2b34","2016-01-14 11:29:22-08:00","Updating contributing documentation with directions for string aliases
"
"11784cf13f66bbebf3c106d3831970bd445e04bd","2016-01-14 12:02:51-08:00","Updating drawable resources section to push vector drawables
"
"95d31c991d1508b545f21e4ce808787b6e7de195","2016-01-15 10:16:02+01:00","Merge pull request #3612 from wordpress-mobile/issue/mark-untranslatable-strings

Marking URL strings as not translatable + updating CONTRIBUTING.md
"
"a41e2ab4e0c117c1ced5b34fdcb8466d4da0cfc4","2016-01-18 17:52:00+02:00","Reinstate missing 'none' string Fixes #3621

(cherry picked from commit bfebdd96c772cfc4ed3bbe2cceed3fa20bbd4d02)
"
"6124258e7b300b4d9a676a2aa254fcfec740f21a","2016-01-18 18:23:54+02:00","Move 'none' to the general section of strings.xml

(cherry picked from commit 1e31cd0b22061b855f749470e8c2223ef38513cc)
"
"23d7d289e2c0b39d70008a6bddad8ce182eeb814","2016-01-22 16:45:06+01:00","Remove unused debug log
"
"3ef238c3007985d28380463636f828da07c7bdb1","2016-01-20 14:52:14-05:00","Protect against null comment in click/press handling
"
"584b57e5965daba79c4bd2ec768508be5ecc885c","2016-01-20 15:06:30-05:00","Move click/long press handling to the view holder for more accurate position
"
"f69d77f50a62b530521a8fb32371083ab6f9a4fd","2016-01-25 13:03:55+01:00","Merge branch 'release/4.9' into release/5.0
"
"02d2d9eee2aa6b41e6f7cd0119268e52cd64224f","2016-01-25 13:06:24+01:00","5.0-rc-2 release candidate
"
"690f39dc651a82f49e7138d629d749b308618aed","2016-01-22 14:29:58+02:00","Keep postFormats since api call doesn't return it

Along with postFormatKeys. Otherwise the current values of those are overwritten by the mSettings.copyFrom(mRemoteSettings) call.

The actuall remote settings for postFormats is retrieved via a separate (XMLRPC) api call.
"
"e664a68e5055c9b8493528b41644f736abf6b744","2016-01-22 14:32:44+02:00","Cache the retrieved postFormats settings
"
"69546a62ec63dae4eefe0e8f5d0e58c8d22b7ce6","2016-01-22 15:00:28+02:00","Remove SiteSettingsModel.postFormatKeys

Keeping it around adds complexity and state handling. Instead, the data (keys) already live in SiteSettingsModel.postFormats. As a bonus, this fixes the issue of the empty list when tapping the post formats preference.
"
"3746473b3c5730cc808078608225abf831524c8e","2016-01-22 16:41:21+02:00","Protect postFormats in Selfhosted case as well

Same as in a dotcom site, the general options api call does not contain the list of post formats available so need to protect the cached list from being overwritten.
"
"0f97e89cc7c730ad1096cdb3dfb8f20aaffdcedc","2016-01-28 09:42:13-10:00","Catching potential NPE's when modifying settings collections
"
"1b7b5dbbfa8383d987e05eb93a37f3705b13f03c","2016-01-28 19:08:34-05:00","Merge pull request #3671 from wordpress-mobile/issue/3655-npe-sitesettingsmodel

Fixing beta-reported crash
"
"a8957c2457673ea4a43a376874205eda71ed770a","2016-01-28 18:56:27-10:00","Updating language strings and IDs, future-proofing mismatched arrays
"
"64d84fd36f0def441acd34771a1dae67ff5b2337","2016-01-28 22:55:02-10:00","Adding SETTINGS log tag and logging unknown language code error
"
"23f1442bcca38938ebecc2268380eec4e5fa7ac4","2016-01-28 23:24:42-10:00","Merge branch 'issue/remove-unused-log' into release/5.0
"
"f91ab168a4d91479ef13c4328b7f4c4e01423869","2016-02-02 09:37:35+01:00","Merge pull request #3673 from wordpress-mobile/issue/3656-languagecode-number-formatting

Fix #3656 - String resource updates and future-proofing
"
"d224dc4ece946ac1e521d70a6563a65cee08f351","2016-02-03 16:18:27+01:00","check currentBlog is not null before instantiating the adapter
"
"17247423060b93f5ac1fed5405a57e0d7463199b","2016-02-03 11:04:23-05:00","Merge pull request #3702 from wordpress-mobile/issue/3370-npe-in-PostsListAdapter

fix #3370: Check currentBlog is not null before instantiating the adapter
"
"455bc6343e8f30982c8376992784ea0ec859569c","2016-02-04 17:57:06-08:00","Adding field for switch description text
"
"1d0e99d418229e664095c3aebc85598ca2d80ba4","2016-02-04 17:58:40-08:00","Exposing a number formatter for NumberPickerDialog
"
"1dedf209be1fc2f602b4f69e7ddc7db1094042af","2016-02-04 18:03:27-08:00","Threading dialog updated to allow all web capabilities by adding switch
"
"7a6d4c20a9d2fe648f9b3dec8f4c172885dcaeb4","2016-02-04 18:51:15-08:00","Addressing issues with Close After serialization
"
"b1d0c088f7b4cab4935430ecb10a9bf456697cd7","2016-02-04 18:52:12-08:00","Merge branch 'release/5.0' into issue/3641-threading-none-sync
"
"2bf1b3283d70a3ab654ab7de25f8d71c136c2abb","2016-02-05 11:19:41-08:00","Removing None option from Threading dialog
"
"85b441f7f31eca218b1b27cdc4e080290cf37d9d","2016-02-05 15:44:44-08:00","Removing toolbar from nested PreferenceScreen to prevent potential crash
"
"529d8e17d2316a77b6a2998cb8c367ab030d6ac5","2016-02-05 16:13:39-08:00","Using correct calls to support Activity in both cases (not/destroyed)
"
"05b88585cd7be60866861ada5b55d07ff536e617","2016-02-05 20:35:15-05:00","Merge pull request #3711 from wordpress-mobile/issue/3639-more-settings-crash

Removing toolbar from nested PreferenceScreen to prevent potential crash
"
"716c61b2a220f7d3e1e471eb677defccfdeae3c9","2016-02-07 20:03:04+01:00","Merge pull request #3706 from wordpress-mobile/issue/3641-threading-none-sync

Addressing issues with Site Settings NumberPickerDialog
"
"c89810a1426bacc0a2ad5abac5b3a8f8deff0dd4","2016-02-05 11:27:15+01:00","update translations for 5.0 release
"
"2769ac0e5dcd5db7dde5a72c7b09dca2ecedfec4","2016-02-05 11:41:33+01:00","fix en-gb strings
"
"e05aa62866a099a6eb2b6ccfce35963a7f4e74fb","2016-02-07 22:01:11+01:00","fix string in Chinese (China)
"
"cc745721630af815a1bc1c1dbe562c46e7d8152b","2016-02-08 09:55:31+01:00","5.0 / 236 version bump
"
"763332f851c41e8ac8dd2d7fde5cf0f8a3b8c4e1","2016-02-09 08:12:17+01:00","fix #3720: by null checking mBlog
"
"867a9e2d0ee04fb03d7c81b8b8dd4286d053382f","2016-02-09 08:17:37+01:00","document WordPress.getBlog() call
"
"21e044c844b582210587d0fb165e5a09b89b64b1","2016-02-09 10:19:48+02:00","Merge pull request #3721 from wordpress-mobile/issue/3720-npe-mysitefragment

fix #3720: by null checking mBlog
"
"e8dd5767d8bdd19088129754d2f106c6f228535e","2016-02-09 13:26:28+01:00","5.0 / 238 version bump
"
