"commit id","commit date","commit message"
"9cfa151ba0db7bfa83b1d146bfe1e607b3df4ee0","2016-05-03 17:40:59+02:00","Merge branch 'develop' of https://github.com/wordpress-mobile/WordPress-Android into feature/plans-integrate-store-step-one

# Conflicts:
#	WordPress/src/main/res/values/strings.xml
"
"20c733578723f66f40ad069e1b09401a53d1e898","2016-05-03 17:44:09+02:00","Remove links to unused subprojects used during development
"
"27765fb20f5449f9d5b2bb8103f0685625e27288","2016-05-03 17:47:42+02:00","Revert unwanted commits
"
"ef9b80da330e56d9c029e7e50b1e4006be4b63d9","2016-05-03 17:50:50+02:00","Fix merge conflicts
"
"97baa8c5dbbc353ee353af96426753df19df35a5","2016-05-03 17:52:25+02:00","Fix merge conflicts - tentative #2
"
"7c2824359ec495a4d960241609aa29c4ca492742","2016-05-03 17:53:08+02:00","New plans strings
"
"f92de21efd393229246b378e8b1adaf78a5640a3","2016-05-03 14:53:50-04:00","Added referer header when making `loadUrl` call
"
"f4103d29672cafb60044a9b9ac1afc3c575bf4a6","2016-05-03 15:22:48-04:00","Referrer is now only passed to webView activity from reader, also setting utm_source for external links
"
"be25c648df9bf931e995da6187fb3052f7dcd628","2016-05-03 15:28:21-04:00","Cleaned up a comment
"
"5c9626cf6dae3d9c877343f4eca158de0e96457d","2016-05-03 16:23:50+01:00","Merge branch 'develop' of github.com:wordpress-mobile/WordPress-Android into develop
"
"a8755e907acf63d9a1c4dedbcb5c9b3297da667e","2016-05-03 22:27:33+01:00","Merge branch 'develop' of github.com:wordpress-mobile/WordPress-Android into develop
"
"51cf5f8c8f6359188b5291966ef1e2fd9ccfee55","2016-05-04 07:01:16-04:00","Merge branch 'develop' of https://github.com/wordpress-mobile/WordPress-Android into issue/3985-reader-tag-display-name
"
"5077ab6d6ff9f5d67f3c04d2daaa1bf300444a0f","2016-05-04 07:04:41-04:00","Merge branch 'develop' of https://github.com/wordpress-mobile/WordPress-Android into issue/4006-reader-empty-custom-list-message
"
"534ac7fb08d971bd8b4b89b9632b3c5dd6fa1949","2016-05-04 07:06:58-04:00","Merge branch 'develop' of https://github.com/wordpress-mobile/WordPress-Android into issue/3979-reader-referrer
"
"90e71a478a9115dac0025d812df050537e015f9e","2016-05-04 16:15:29+02:00","Do not show the Upgrade|Purchase button when the blog already has a plan attached to it.
"
"80246ad8abc5477372dfe1425428b2e5858ecd03","2016-05-04 15:51:07+01:00","fix a wrong test in deleteCredentialsInSmartLock
"
"a936451ceaba255f1e2607bf8a4e190d4a2cf19f","2016-05-04 11:41:30-04:00","Changed WPWebViewActivity to use ReaderActivityLauncher.openUrl
"
