"commit id","commit date","commit message"
"f1c1ec679f4228cf1a5236f2057275dc3acda03d","2012-11-16 07:13:20+01:00","Android 4.2 MR1 support and target project

* Android 4.2 MR1
"
"6f574c8e3aa82f4f48a1e5083287ce9b4d9e2718","2012-11-16 07:15:04+01:00","More Android 4.2 MR1 support

More Android 4.2 (API Level 17)
"
"7667668627b07fea2da82d947644e6ca2779579f","2012-11-18 22:02:59-08:00","Merge pull request #71 from CHEF-KOCH/patch-39

More Android 4.2 MR1 support
"
"0a910f33160ca5f1e0f458aeb1b8ed072f61387a","2012-11-18 22:03:29-08:00","Merge pull request #70 from CHEF-KOCH/patch-38

Android 4.2 MR1 support and target project
"
"1564a4dee1f5e72515abaf5faa496849c11a908e","2012-11-19 14:05:18+05:30","Update AndroidManifest.xml
"
"7408b84c43995f56646b33d8b73323e289154024","2012-11-19 14:07:07+05:30","Fixed chmod permissions(revert).
"
"24d93ea28a39ca2fd392655314326bbd36ff1062","2012-11-19 14:07:50+05:30","Fixed chmod permissions(revert).
"
"afac1c0045ecbb3e0b9112a648e784538af12ae1","2012-11-19 22:03:36+05:30","build tools and external from droidwall
"
"b2ee5b32dd0ff4d3332c0ae7bef531bbd412dd51","2012-11-19 22:16:06+05:30","translation germen
"
"fae43440d95fd8600a6a02ff8fa6d32fc4714799","2012-11-20 14:57:36+05:30","Fast scroll enabled on list
"
"94586216123f659fd9facb423c0877d2dde7d511","2012-11-20 20:22:51+01:00","Update README.md

+ added Acknowledgements
+ added travis support (build status)
+ added Screenshot (but we should better use internal pictures with [[our_picture.jpg]]
* re-added ToDo-List, i think it's better for all if we show on what problems we are working & what's already done .... to avoid multiple questions on xda/wiki
"
"bd1edf84dab725e820ecb0092b4962b7eaef29b0","2012-11-20 21:15:34+01:00","Update res/values/strings.xml

- CustomScripts -> wiki
"
"45f379f9a92ad4a7e65be36795eba99893934353","2012-11-20 19:00:42-08:00","Merge pull request #73 from CHEF-KOCH/patch-40

Update README.md
"
"e47eccaf2869e0485a6cea0fab2f05ee9e3a62de","2012-11-20 19:01:11-08:00","Merge pull request #74 from CHEF-KOCH/patch-41

Update res/values/strings.xml
"
"297f3a91b7d054cbd9c6139e8b537b538efecde5","2012-11-21 08:37:46+05:30","Fixed Wiki link
"
"c230c5f3e06c3d0c017873774c9181227a7f859a","2012-11-25 12:51:33+05:30","version 1.0.6a with bug fixes and Chainfire's SU library changes
"
"b413b8463c222b5deb771f9355ef4c995b3632df","2012-11-25 13:04:01+05:30","translations changes
"
