"commit id","commit date","commit message"
"971e2ec7d31175496c80f11b6156cc9a6905b5dd","2012-08-14 16:51:16+02:00","[maven-release-plugin] prepare for next development iteration
"
"c14820c22b18e2b838c1f2d8a07673f814e81e1f","2012-10-25 21:29:49+01:00","Upgrade to ABS 4.2.0

https://github.com/JakeWharton/ActionBarSherlock/issues/617
"
"7738ec5403ee5b488f621a180be72fd7432d4d68","2012-10-25 21:34:42+01:00","upgrade to AMP 3.4.0
"
"f7e08b6f44811ccb1edcbb38955cb9f09e808291","2012-10-25 21:43:55+01:00","update to roboguice-sherlock 1.5
"
"a65fba246b2053338a27b38524cad86f2f785579","2012-11-17 10:04:28+00:00","Update sample repos list with current JGit repo url

Taken from http://git.eclipse.org/c/jgit/jgit.git
"
"60fe23051b01da0fe4a4e0ed5d52259c85dab74b","2012-12-22 16:59:19+09:00","Add Japanese translation.
"
"1122d8fa4a73a5ec77455a46ffdefc3cbed19ba6","2012-12-22 09:47:59-08:00","Merge pull request #87 from monaka/pr-japanese-translation

Japanese translation.
"
"5a74361922b93c379057580526db5b4a957c6f3c","2013-01-11 19:35:52+01:00","[BUGFIX]:
re-translation into german for the current version. old was very incomplete.
"
"355cbc2f2fece41cc214ef4bce470d09a9f981a0","2013-01-12 10:12:31-08:00","Merge pull request #89 from datenhirn/language_german-translation

[BUGFIX]: re-translation into german
"
"b81598b458f70877c4f8a659e7666692629a8517","2013-01-31 07:38:18+02:00","Fix quotes within German translation.  XML requires excaping single
quotes.  Update copyright statement to 2013.

I disclaim copyright on these changes and thus put it in the public domain.
"
"e548e809e4c9dffa5ed90c9afcd4843fc6118c3f","2013-02-01 00:34:48-08:00","Merge pull request #90 from ClashTheBunny/master

Fix build because of translation.  Update year for copyright.
"
"7b769dfb959822aba12a3f2bd8e7c72bf8f44ad9","2013-02-01 08:52:16+00:00","Fix #88 - Old Robotium not working on Nexus 4

https://github.com/rtyley/agit/issues/88
"
"eeee83ce9f2f840707053fc45444060441e6a166","2013-02-01 09:01:22+00:00","Update to latest version of scala-maven-plugin - requires Maven 3.0.4
"
"dc01a9eadc885096ee271177174c9aaa58d5c34b","2013-02-01 09:06:58+00:00","Fix #79 - Specify a version for maven-resources-plugin

Latest version I see in Maven Central (v2.6) seems to work?

$ java -version
java version '1.7.0_09'
OpenJDK Runtime Environment (IcedTea7 2.3.4) (7u9-2.3.4-0ubuntu1.12.10.1)
OpenJDK 64-Bit Server VM (build 23.2-b09, mixed mode)
$ mvn clean install
...
[INFO] BUILD SUCCESS
[INFO] ------------------------------------------------------------------------
[INFO] Total time: 2:04.906s
[INFO] Finished at: Fri Feb 01 09:00:17 GMT 2013
[INFO] Final Memory: 55M/690M
[INFO] ------------------------------------------------------------------------

Maven 3.0.4, Ubuntu 12.10

Not sure how this affects issue #78 but the manifest at
./agit/target/filtered-manifest/AndroidManifest.xml has the value
'android:versionCode='130200108'' which is fine...

https://github.com/rtyley/agit/issues/78
https://github.com/rtyley/agit/pull/79
"
"8e7fe341185e63c2256e914e860b6ad3927c8e05","2013-02-01 09:12:41+00:00","[maven-release-plugin] prepare release agit-parent-1.35
"
